Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,・有珠山の噴火の影響も薄れ、観光客の動きも大分回復している。大阪のユニバーサル・スタジオ・ジャパンのオープンが北海道観光にどのように影響を及ぼすかが不安材料である。
,,◎,住宅販売会社（営業担当）,・４月に新しい展示場を２つオープンしたところ、春ということもあり大勢の客が来場している。冬期は住宅購入を検討する人は少ないが、これから２、３か月後は住宅契約に向けた話が期待できる。
,,○,百貨店（売場主任）,・天候による夏物商材の活発な動きが予想される。また、新内閣に対する期待感がある。
,,○,スーパー（企画担当）,・道内の失業率は依然として高い水準だが、小泉政権の誕生で消費マインドは上向く。
,,○,一般レストラン（スタッフ）,・５、６月の食事予約が少しずつ入ってきているので、売上の増加が見込めると期待している。
,,○,旅行代理店（従業員）,・旅行受注件数が個人客で上向きにあり、法人客でも若干ではあるが先行きが明るい状況になっている。
,,○,住宅販売会社（従業員）,・来客数が増加傾向にあるので、価格競争はあるものの営業展開によっては多少状況が改善される。
,,□,商店街（代表者）,・購買動向が消極的かつ慎重になっている。
,,□,商店街（代表者）,・依然として慎重な客が多く、必要な物を必要なときに買うという考え方が主流である。また、季節商材についても今後ますます価格競争が激しくなる。
,,□,スーパー（店長）,・地域の基幹産業である水産業で、漁獲量割当ての削減による低迷が続いている。
,,□,スーパー（店長）,・観光シーズンも本番に入り、有珠山噴火の影響もなく、観光客の増加も期待できるが、客単価の低下が利益を圧迫することが懸念される。
,,□,コンビニ（エリア担当）,・気候が良くなり来客数は増加しているが、全体として安い物に走るので売上は前年と変わらず、今後もこの傾向は続く。
,,□,コンビニ（エリア担当）,・来客数は回復基調にあるが、買上点数が変化しておらず、今後も客単価の上昇が期待できない。
,,□,衣料品専門店（店長）,・買い渋りが目立っている。
,,□,衣料品専門店（店員）,・最近は洋服にお金をかける客が少なく、小物、バック、帽子に目が行くようである。洋服を多く売るには来客数も多くしなければいけないがその見通しが立たない。
,,□,乗用車販売店（従業員）,・法人客で買換えが控えられている中で、個人ユーザーもこれに引きずられている。
,,□,自動車備品販売店（店長）,・売上は、この２か月間好調であるが、来客数については、前年をクリアするのがやっとという状況である。
,,□,住関連専門店（営業担当）,・競争が激しく価格低下が続いている。
,,□,高級レストラン（スタッフ）,・観光のオンシーズンに入り前年の悪影響も払拭され好調に推移するとみられるが、地域経済に明るい材料がなく今後も個人消費の伸びはあまり期待できない。
,,□,高級レストラン（スタッフ）,・低価格志向が続き、来客数が増加しても売上増加は見込めない。
,,□,タクシー運転手,・夜間や雨の日などタクシーの利用が増加するときに、利用が増加していない。
,,□,観光名所（役員）,・道外客は団体客から個人客にシフトしており、道内客の状況も先細りである。
,,▲,商店街（代表者）,・低価格志向が続いており、売上の増加が全く期待できない。
,,▲,百貨店（売場主任）,・単品買い中心であり、高額品の動きがない。
,,▲,スーパー（店長）,・当地域においては今年度の春闘ベースアップがほとんど上がらない状態であり、可処分所得も実質マイナスの状況である。
,,▲,スーパー（企画担当）,・春物衣料に動きが出たが、食品、日用雑貨については買い控えが続き、全体的に生活防衛の意識が薄らいでいない。今後は食品など買い回り頻度の高い物の買い控えが強まる。
,,▲,コンビニ（エリア担当）,・客単価の低下が続いている。天候が良くなっても、ビールや飲料水の伸びが悪い。
,,▲,観光型ホテル（スタッフ）,・連休中の宿泊状況は満室であるが、５月以降の予約状況は出足が非常に悪い。
,,▲,タクシー運転手,・観光客の入込は多いが、１人当たりの購買力は非常に鈍っている。
,,×,スナック（経営者）,・３、４月は歓送迎会需要があると期待したが芳しくなく、これからも明るい見通しはない。
"企業
動向
関連

(北海道)",,◎,－,－
