Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・客の秋物を求める動きがみられ始めている。今年の秋物はトレンドがはっきりしており、客の求める物が明確なので、商品の動きが良くなる。
,,○,百貨店（販売促進担当）,・依然として来客数、売上ともに増加している｡
,,○,住宅販売会社（営業担当）,・住宅金融公庫の民営化がニュースで取り上げられるようなってきている。２、３か月後にもっと具体的情報が出てきたとき、来年以降に家造りを計画している人が前倒しをして取り組む可能性がある。
,,□,百貨店（売場主任）,・婦人服、服飾雑貨関係で依然として来客数が低迷している。この数か月、食品の動きが目立っている状況からみると、必要以外の物の出費を抑える状況が続く。
,,□,百貨店（売場主任）,・身の回り品、コート関係の動きが昨シーズンよりも明確であり、秋物に期待をしたい。
,,□,スーパー（店長）,・客単価、１品単価の低下が依然として続いており、客が必要な物しか買わない傾向が今後も続く。
,,□,スーパー（店長）,・夏物衣料が不振なので、見切り価格で販売しても消化状況が良くない等、良くなる要素がほとんど見当たらず、先がみえない。
,,□,スーパー（店長）,・競合店と比較して買う傾向が強い等、消費者が購買に対し非常に慎重である。また、政府が補正予算をどの程度組むかが非常に大きなポイントになる。
,,□,スーパー（企画担当）,・客単価が低下している状況は今後も続くとみられ、この状況が普通だと思って取り組まないといけない。
,,□,コンビニ（エリア担当）,・秋以降も競合の出店が続き、価格競争を避けられない。
,,□,衣料品専門店（店員）,・３か月先は、秋物、冬物等、高単価の物が売れる時期だが、これらはコストも高い商品なので売上利益はそれほど変わらない。
,,□,家電量販店（店員）,・来客数は減少しており、今後も景気が良くなると思われない。
,,□,乗用車販売店（従業員）,・客の購買傾向に低価格車種への移行が依然としてみられ、ローンで購入する客も増加している。
,,□,高級レストラン（スタッフ）,・予約客の単価が低い。秋に名産品フェアを開催するが、現状維持が精一杯である。
,,□,旅行代理店（従業員）,・旅行の先行受注状況は増加していないが、締切り間際の申込が増加傾向にあるので例年と変わらないとみられる。
,,□,観光名所（役員）,・客は低価格に対する違和感が無くなってきており、価格に見合う価値、サービスに対する目が厳しくなってきている。
,,▲,商店街（代表者）,・先行き不安のためか買物がより慎重になっており、安い物しか売れない。
,,▲,スーパー（企画担当）,・お中元ギフト商戦も全般的には堅調に推移したが、これは他業界の客を取り込んだ結果とみられる。例えば、例年はビールのギフト需要が大きく伸びるが、今年は発泡酒需要の伸長が顕著であり、このような面からみても節約ムードはまだまだ続くとみられる。
,,▲,スーパー（企画担当）,・景況感の悪化、失業率の５％超過等の状況からみて、客はますます生活防衛に走る。具体的には１品単価の低下が続き、来客数を維持しても販売量や売上が前年を下回る。
,,▲,衣料品専門店（店長）,・中年層以上の客は、将来の年金等、生活に不安を持っているので、買い控えが進む。
,,▲,乗用車販売店（従業員）,・釧路地方の基幹産業があまり良くないので､これから先行き悪くなっていく｡
,,▲,住関連専門店（営業担当）,・夏期関連の在庫が多く、秋物商戦も出遅れている。また他店との競争で低価格が進展している。
,,▲,その他専門店［医薬品］（経営者）,・今必要な物をできるだけ安く購入しようとする客が増加しており、健康増進関連の高額商品は、店頭での動きが悪くなっている。また、化粧品については、利用率が低下している客が増加している。
,,▲,スナック（経営者）,・地域経済の状態が良くない中で、地元信用組合が破綻し、その受皿の見通しが立っておらず、飲食店がダメージを受けている｡
,,▲,観光型ホテル（経営者）,・構造改革がより具体化すると職を失う人が多くなり、観光マインドが徐々に冷え込むため、売上の減少が危惧される。
,,▲,観光型ホテル（スタッフ）,・予約の入り方が遅くなっている。また、単価の下落も今後懸念される。
,,▲,旅行代理店（従業員）,・先行受注の状況が悪い。
