Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・店に並べている商品が夏物素材に近いため気温が上がる２、３か月後には動きが良くなる。夏物のトレンドのほうが客にとっても受け入れやすい。
,,○,一般小売店［土産］（店員）,・前年は４月が有珠山の影響で大幅に前年度割れとなったが、今年はその影響もなくなり良くなる。
,,○,コンビニ（店長）,・冬期は１日に１回しか来ない客も夏期は２、３回来る。気温の上昇と共に飲料、弁当の売上が増加する。
,,○,観光型ホテル（経営者）,・前年は３月末に有珠山の噴火があり半年間悪い影響があったが、今年は、その影響がなくなり、やや良くなる。
,,○,住宅販売会社（従業員）,・低額商品の売行きが活発である。
,,□,商店街（代表者）,・気温の上昇、暖かくなることを期待しているが、現在の様子では冬物の衣替えは４月下旬ごろと考えられる。
,,□,商店街（代表者）,・消費者は買物に非常に慎重であり、目新しい商品に興味を示すが、実売につながらない。
,,□,百貨店（売場主任）,・ユニバーサル・スタジオ・ジャパンなどが観光スポットとして注目を浴びそうであり、観光に頼る道内では多少の影響が出るが、前年の有珠山噴火の影響がなくなった好材料もある。
,,□,スーパー（店長）,・家電リサイクル法施行前の駆け込み需要の反動による売上の低迷と内祝いギフトの低価格志向、輸入野菜による価格の低迷、100円ショップへの客の流失などがみられる。
,,□,コンビニ（エリア担当）,・有珠山噴火の影響がなくなり、観光客は増加するが、客が支出する金額は減少する傾向がみられる。
,,□,家電量販店（店長）,・今月は家電リサイクル法施行前の駆け込み需要で良い状況だが、来月からはまた厳しい状況が続く。
,,□,自動車備品販売店（店長）,・全般的な取扱品目の状態をみると、単価が低下しており、去年と比べてオーディオ製品では５～10万円の物が売れにくく、３～４万円の商品の販売が中心である。また、アルミホイールも10万円以上の商品は売れにくい状況である。
,,□,高級レストラン（スタッフ）,・前年の有珠山噴火による風評被害や航空運賃による足かせも幾分緩和され宿泊数の増加も見込まれるが、全体的にみると変わらない。
,,□,高級レストラン（スタッフ）,・観光客の需要はそこそこあるが、客単価が低く売上増加につながらない。また、観光客のレストラン利用は減少する傾向にある。
,,□,一般レストラン（スタッフ）,・前年７月から団体旅行客が12か月連続して落ち込んでおり、今後も団体旅行客が伸びる要素がない。
,,□,スナック（経営者）,・３月は決算時で赤字という客の声を多く聞く。また、これから倒産も多くなるという見方をする客が多い。
,,□,タクシー運転手,・客との会話では、２、３か月で景気が回復して良くなるとは誰も思っていない。
,,□,タクシー運転手,・催し等を除き、タクシーの利用を控える傾向が続いている。
,,□,観光名所（役員）,・３か月先はオンシーズンであるが、今の状況では来客数の増加は期待できず、客単価の上昇も期待できない。
,,□,美容室（経営者）,・３か月前より状況が良くなっているが、この先この調子で良くなっていくという好材料が特に見つからない。
,,▲,百貨店（売場主任）,・春闘でのベースアップが望めないという中では購買の増加に結び付かない。低価格志向も大きな要因である。
,,▲,スーパー（企画担当）,・ハンバーガーに代表されるファーストフードやコンビニのおにぎりや弁当の最近の安売り競争の影響で、スーパーマーケットにおける食品購入の際の低価格志向に一層拍車をかけている。
,,▲,コンビニ（エリア担当）,・来客数が回復しておらず、これから先も厳しい。
,,▲,コンビニ（エリア担当）,・スーパー、コンビニ等の出店で競争が激化している。また、釧路の基幹産業、漁業、炭鉱も低迷している。
,,▲,衣料品専門店（店員）,・今後は夏物の需要があるが、客単価が低下しており、かなり来客数が増加しなければ売上の確保は厳しい。
,,▲,家電量販店（店長）,・家電リサイクル法施行前の駆け込み需要の影響で、４月に入ると商品需要が低下し、来客数も減少する。
,,▲,住関連専門店（営業担当）,・３月は家電リサイクル法施行前の駆け込み需要があったが、今後はその反動で消費行動が鈍くなる恐れがある。
