Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,・夏期の繁忙期であり、有珠山噴火の影響も解消したことから、来客数が増加する。
,,○,商店街（代表者）,・現状からみて２、３か月先のバーゲン時期に買いだめすると予測ができるので、今後の売上は増加する。
,,○,家電量販店（店長）,・家電リサイクル法施行前の駆け込み需要の反動による売上低迷がなくなり、夏場からエアコンを中心に需要が活性化する。
,,○,自動車備品販売店（店長）,・来客数の増加に加えて、年輩が中心であった客層がファミリー層にも拡大している。
,,○,住関連専門店（統括）,・客単価は低下しているが、新規の客が増加している。
,,○,その他専門店［医薬品］（経営者）,・去年と比較して横ばいの水準まで売上が回復しており、来客数も若干回復している。ただし、予断を許さない状況にある。
,,○,観光型ホテル（経営者）,・従来は、入込客の月変動が大きかったが、この３か月は一貫して大幅に増加しており、２、３か月もこの傾向が続くとみられる。
,,○,美容室（経営者）,・客単価が少しずつ上昇している。
,,□,百貨店（売場主任）,・釧路地域の経済の低迷が続いており、購買が回復する見込みがない。また、高額商品の荷動きが依然として良くない。
,,□,百貨店（売場主任）,・夏物商戦は気温に左右されるが、今現在で２けたに近い伸びなのでこれ以上の増加は難しい。
,,□,スーパー（店長）,・夏物衣料販売のピークを迎えるが、単価の低下が見込まれ、利益確保が厳しくなる。
,,□,コンビニ（エリア担当）,・地元客の来客数、客単価が低調に推移しており、夏場の観光需要は期待できるものの一過性の要素が強い。
,,□,衣料品専門店（店員）,・来客数が増加する見込みがない。また、３か月後は真夏ということもあり、おそらく単価も低い。
,,□,家電量販店（店員）,・今の時期に客がよく下見をしており、大型商品のテレビ、冷蔵庫、エアコン、洗濯機が夏商戦に向けて売上の増加が見込まれるが、エアコン、冷蔵庫に関しては天候次第である。
,,□,乗用車販売店（従業員）,・ボーナス商戦に入るが、買換えを控えている客が例年よりも多い。
,,□,住関連専門店（営業担当）,・気候が良くなりブームのガーデニング用品の売上が伸びているが、全体としては例年並みで変化がない。単価の低下傾向も続いている。
,,□,高級レストラン（スタッフ）,・観光シーズンに入っても、イベント等をしてツアー客を呼び込まないと来客数が減少する恐れがある。
,,□,高級レストラン（スタッフ）,・誕生日、歓迎会等の小グループの利用が増加しているのは明るい兆しだが、全体的にみると変わらない。
,,□,高級レストラン（経営者）,・３か月先は夏場の観光シーズンに入るので今よりは忙しくなるが、今年は観光客がユニバーサル・スタジオ・ジャパンの開業した大阪に流れないか不安である。
,,□,観光型ホテル（スタッフ）,・夏期に入り、観光客の増加は期待できるが、単価が上昇していないことが懸念される。
,,□,旅行代理店（従業員）,・個人需要の先行受注は順調に推移しているが、法人需要は低迷している。
,,□,タクシー運転手,・タクシーの昼間、夜間利用が今後２、３か月の間で増加する見込みはない。
,,□,観光名所（役員）,・道外客を中心に入込客数が増加傾向にあるが、消費単価が低下傾向にある。
,,□,住宅販売会社（営業担当）,・展示場の来客数がそれほど大幅に増加していないので、２、３か月後に土地、建物の契約に至るまでにはいかない。
,,▲,商店街（代表者）,・低価格志向が続いており、売上増加が期待できない。
,,▲,百貨店（売場主任）,・客の購買が、カジュアル商品中心で、単品買いになっている。また、高額商品に動きがない。
,,▲,スーパー（企画担当）,・ゴールデンウィーク後もガスボンベ、炭、紙コップ等の行楽関連商品の動きは好調であるが、日常の食材の動きが極めて鈍い。
,,▲,スーパー（店長）,・今年度の春闘ベースアップは不十分な状況であり、夏季のボーナス商戦も期待できない。
,,▲,コンビニ（エリア担当）,・周辺の競合店スーパーの値下げ等により、以前は敏感に反応した価格設定でも、現在は客の反応が鈍くなっている。
,,▲,家電量販店（店長）,・高額商品の動きが良くない。
