Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,一般小売店［土産］（店員）,・米国テロの影響で増加した国内旅行客が、東京ディズニーシーやユニバーサル・スタジオ・ジャパンに流れる傾向にはあるが、北海道への観光客も増加する。
,,○,百貨店（販売促進担当）,・来客数が増加している。
,,○,旅行代理店（従業員）,・個人旅行の需要は根強く、長期的には拡大傾向である。現在の米国テロの問題が解決すれば必ず回復する。
,,□,商店街（代表者）,・セール時期だからといっても、売上は増加しない。
,,□,百貨店（売場主任）,・先行きが不安であり、来客数の増加が見込めない。
,,□,スーパー（店長）,・来客数は増加しており、客単価さえ上昇すれば明るくなると期待している。
,,□,家電量販店（店長）,・これから年末にかけて、ボトムゾーンの商品の売上は増加するが、高単価の商品は期待できない。
,,□,家電量販店（店員）,・年末年始であり、そこそこ売れるだろうが、前年より多くなるとは考えられない。
,,□,住関連専門店（営業担当）,・新規出店が続き、低価格傾向に拍車がかかる。
,,□,その他専門店［医薬品］（経営者）,・風邪関連の薬品のように必要な物は買うが、余裕を持った購買には至っていない。
,,□,高級レストラン（スタッフ）,・BSE（牛海綿状脳症）問題の影響による客足の鈍りはないとみられる。米国テロの影響による道外観光客の増加は見込めるが、客単価の低下が予想されるため、全体としては変化しない。
,,□,タクシー運転手,・冬季の需要期になっても、大きな期待はできない。
,,□,美容室（経営者）,・来店頻度、単価に変化がない。単価を上げるために付加価値を付けても浸透しない。
,,▲,百貨店（売場主任）,・ミドルからシニアにかけての商品は好転するがが、ヤングやカジュアルは苦戦する。
,,▲,コンビニ（エリア担当）,・新規競合店の出店に伴い、年末商戦では一層の低価格化が懸念される。
,,▲,衣料品専門店（店長）,・中高年の人は本当に目新しい物でなければ買わない。また彼らは将来に向け貯蓄しているように見受けられる。
,,▲,住関連専門店（統括）,・他店との競争が激しく、年末にかけて乱売合戦になる恐れがある。
,,▲,高級レストラン（スタッフ）,・11、12月の予約のスタートが悪く、前年の６割程度である。
,,▲,観光型ホテル（スタッフ）,・米国テロの影響で、修学旅行客や、新婚旅行客は若干増加しているが、全体的にみて宿泊動向は鈍い。
,,▲,旅行代理店（従業員）,・米国テロ以降、海外旅行の申込件数が前年を大きく割り込んでおり、代替となる国内旅行についても前年を維持するのが精一杯である。
,,▲,タクシー運転手,"・米国テロ等の影響で観光客が減少する。また、先行き不安等から消費がますます冷え込むと予想され、タクシーの利用も減少する。
・道外観光客の訪問先が、海外や沖縄から北海道にシフトすることも考えられるが、その効果は来年の春以降になる。"
,,▲,観光名所（役員）,"・冬の北海道観光の目玉商品である「さっぽろ雪まつり」規模を来年は縮小する等、観光業界にとって悲観的な内容が報じられている。
・食をテーマとした全道的なキャンペーンをする等、何らかの対応策を実施しなければ、道外客の減少に加えて、地元客の手控えが浸透する懸念がある。"
,,▲,設計事務所（所長）,・先行き不安感が続くなかで、個人住宅の需要が活発になる気配はない。
,,×,スーパー（企画担当）,・消費者心理の冷え込みは一段と強くなり、年末商戦は過酷になる。
,,×,コンビニ（エリア担当）,・競争激化により客単価が低下する。また、BSE（牛海綿状脳症）問題の影響で、基幹産業である農業やその関連産業に従事する人達の収入が減少する。
,,×,旅行代理店（従業員）,・米国テロ以降、海外旅行客が激減し、３か月先も壊滅的な状態である。
,,×,設計事務所（所長）,・仕事の依頼が皆無であり、冬に向けて更に需要が減少するとみられる。周囲の人々の間でも明るい話題は出てこない。
"企業
動向
関連

(北海道)",,◎,－,－
,,○,食料品製造業（経営者）,・BSE（牛海綿状脳症）問題の影響で、水産物の需要が拡大しており、鍋物商品や年末商品の拡販が期待できる。
