Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・今年の節電により、秋冬に関しても暖房をかなり節約するとみられることから、ミドルゲージやローゲージの羽織物等が例年よりも早めに動くことになる。
,,○,百貨店（販売促進担当）,・夏休み、盆期間に入り、来道者数が堅調に推移しており、来客数が東日本大震災前の水準まで回復しつつある。さらに、国慶節期間の中国人観光客が増加することが見込まれることから、景気は回復基調で推移する。３月に開通した駅前通の地下歩行空間の利用者数も当初予想を上回っており、今後も安定的に利用されれば、来客数の増加に有効に働く。
,,○,百貨店（販売促進担当）,・空港発着機種の縮小に伴う観光客減少が一巡することになるため、来客数の前年比ベースが同一基準となる。客単価上昇の傾向が継続的に続いているため、来客数の基準ベースが上がることで状況は上向くことになる。
,,○,コンビニ（エリア担当）,・来客数も商品の販売量も順調に伸びているため、今後についてはやや良くなる。
,,○,乗用車販売店（営業担当）,・秋の増販期に入り、受注残が売上につながってくると同時に新型車の投入も売上を後押しすることになるため、やや良い傾向になる。
,,○,旅行代理店（従業員）,・７月以降、来客数が微増傾向にある。受注内容は２～３か月先のものがほとんどであることから、今後については、状況が若干改善することになる。
,,○,旅行代理店（従業員）,・先行受注状況をみると、国内旅行は９月が前年比102.1％、10月が前年比83.7％となっており、海外旅行は９月が前年比114.5％、10月が前年比123.4％となっている。さらに、申込傾向が出発間際にあることから、９月以降は若干期待が持てる。
,,○,旅行代理店（従業員）,・東日本大震災からの復興ムードが高まっていることに加えて、消費者の我慢もそろそろ頭打ちとなることが見込まれるため、今後についてはやや良くなる。新政府への期待感もある。
,,○,タクシー運転手,・このまま観光客が増えてくれば、秋に向かっても好調が維持できる。ただ、増税などにより、個人負担が増えることになれば、消費が冷え込むことになるため、タクシーの売上にも影響が出てくる。
,,○,通信会社（社員）,・第３四半期に入り、各種イベントが増えてくる時期となるため、消費が刺激されることになる。自粛疲れも出てくる時期とみられることから、今後についてはやや良くなる。
,,○,通信会社（企画担当）,・スマートフォンに対する注目度が高まるとともに、今まで興味がなかった人にまで認知度が浸透していることから、今後の端末販売の伸びが期待できる。
,,○,観光名所（従業員）,・団体客は海外観光客を始め、停滞したままであるが、個人客が好調で、来場者、売上がほぼ前年並みまで回復してきている。個人客は客単価が高いことに加えて、９～11月は祝祭日や連休も多く、さらに高速道路の延伸が11月に決まっているなど、観光業にとっては好条件が続く。
,,○,住宅販売会社（経営者）,・今後、円高の解消、株式市場の回復が進むことになれば、住宅投資、消費等の意欲が上がってくる。
,,□,百貨店（売場主任）,・３か月の長期予報によれば、９月は残暑が残り、10～11月は平年並みとなっている。前年は９～10月が非常に高温で、コート、ジャケット、パンツ、セーター等の秋物商材が前年比90％台で推移したため、その反動から、今年は前年を上回って推移することが期待できる。
,,□,百貨店（売場主任）,・客単価の上昇により、売上が上向き傾向にあるものの、来客数は前年比95％前後で上向いてこないことから、今後も変わらないまま推移する。
,,□,スーパー（企画担当）,・依然として、客の節約、引締め感が強いことから、今後も変わらない。
,,□,スーパー（役員）,・農産物を中心に福島第一原子力発電所事故の風評被害がかなり発生している。特に米への影響が顕著で価格上昇、消費減退の恐れがある。
,,□,衣料品専門店（店長）,・現状からしばらくの間は現在の状態が続く。景気が良くなる材料も全くみられない。
,,□,衣料品専門店（店員）,・消費者の生活にゆとりを持つ意識がないと変わらない。消費意識が向上しない限り、現状のまま推移する。
,,□,自動車備品販売店（店長）,・前年はエコカー補助金等、国策の追い風もあったため、それなりの実績を上げることができたが、特需のない今年は懸命に努力して前年並みが精一杯とみられる。
