Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,商店街（代表者）,・消費が東日本大震災の支援になるということが少しずつ理解されてきているため、今後については期待が持てる。
,,○,商店街（代表者）,・自粛ムードが和らぐなか、当地の最大イベントを迎える時期となるため、来街者及び購買客の増加が見込める。また、ゴールデンウィーク以降、20歳前後の若年者層の来街者数が幾分増加しているという明るい材料もみられる。
,,○,百貨店（販売促進担当）,・自粛ムードの終息と気温の上昇に伴って、客の購買に対する意欲は日に日に高まっており、この傾向は夏まで続く。
,,○,スーパー（店長）,・花見の時期は終了したが、ここ最近、気温が上昇し天候が回復しつつあることから、アウトドアや行楽といった部分での需要が確実に上向いてきている。また、日差しが強くなったことでＵＶ関係の衣料品の需要も上向いてきているため、徐々に改善されつつある。また、節約をキーワードとした、節水・節電・省エネといった商品も動きが良くなっているため、これから夏にかけて、こうした商品の動きが良くなっていく。
,,○,衣料品専門店（店員）,・東日本大震災の影響が一段落し、復興に向けての動きが出てくることで、身の回り品の消費動向も上向いてくることが期待される。
,,○,乗用車販売店（従業員）,・これから売上が少しずつ良くなっていくのは確実とみられる。ただ、利益が厳しいのは変わらない。
,,○,自動車備品販売店（店長）,・確実に店舗の雰囲気が向上しつつあるため、当分は来客数、販売量とも増加を見込める。
,,○,高級レストラン（経営者）,・夏に向かって、観光客が今よりも動き始めるとみられる。
,,○,旅行代理店（従業員）,・ゴールデンウィークまで控えられてきた需要が、７月以降の夏休みから９月の連休にかけて復活することが期待できる。
,,○,タクシー運転手,・東日本大震災の後は約15％の落ち込みであったが、現在は約７％の落ち込みまで回復しつつある。観光客も、北海道内からの旅行客が来ているため、多少は売上が増加しており、今後も復興が進むにつれて、景気が良くなる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・夏に向けて避暑による来訪が期待できる。
,,○,住宅販売会社（従業員）,・現状は悪い状態であり、今よりは少し上向くと考えるが、あまり楽観はできない。経済全体が徐々に落ち着いてくることで、客全体の購買活動も東日本大震災前の状態に徐々に近づいてくる。しかし、財政難から公務員給与が削減されるとみられるため、マンション購入客に公務員の占める割合の高い北海道では、市場回復の足かせとなることが懸念される。
,,□,商店街（代表者）,・夏物の売行きについては、暑さがいつまで続くかにもよるが、秋物の出足については、今の東日本大震災後の状況から、客が買物に走るという意向にはないとみられるため、今後も変わらないまま推移する。
,,□,一般小売店［酒］（経営者）,・現在の売上の状況が非常に良くなく、東日本大震災の影響もなかなか回復しないため、当面はこういう状況が続く。
,,□,百貨店（売場主任）,・長期予報で今後３か月は暖かくなるという予報が出ているため、夏物衣料の動きは良くなるが、やはり東日本大震災の影響で生活不安、先行き不安が生じていることで消費動向が鈍ることが懸念されるため、先行きについては不透明である。
,,□,百貨店（販売促進担当）,・一般顧客においては、東日本大震災による心理的な買い控えからの回復がみられるものの、高額商品については、衣料、雑貨ともに回復の動きが遅いため、今後も変わらない。
,,□,コンビニ（エリア担当）,・売上は前年を上回っているが、観光地の店舗が振るわない。日常生活に必要な商品は安定的に売れている。
,,□,コンビニ（エリア担当）,・観光需要が大きくなる時期であるため、東日本大震災の影響がどう出るかが不安ではあるが、傾向としては大きくは変わらない。
,,□,コンビニ（エリア担当）,・たばこの売上が戻ったことで、客単価は改善されたが、依然として来客数の減少傾向が続いている。
,,□,高級レストラン（スタッフ）,・涼しい北海道に道外からは例年以上の観光客が訪れるとみられるが、まだ、海外客の需要がないため、景気は変わらないまま推移する。
