Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,家電量販店（店員）,・地上デジタル放送の開始に伴う薄型テレビの需要は、年内一杯続くことが見込まれる。
,,○,家電量販店（地区統括部長）,・札幌以外の地方都市においては、地上デジタル放送開始により年末の薄型テレビの需要が一層促進される。また札幌圏においても年末は前年の反動減がなくなるため、全体としては微増となる。
,,□,商店街（代表者）,・原油高に伴うコスト増による各商品の値上がりは必至で、消費者の生活防衛意識が強まることが見込まれる。
,,□,商店街（代表者）,・２～３か月後は既にバーゲンの時期となっているが、まだ冬物が本格的にスタートしていない今年の状況から、それなりの購買が出てくる。ただ、今年は防寒衣料の価格が元々高めになっており、このことがセール時に影響してくる可能性もある。
,,□,一般小売店［酒］（経営者）,・消費マインドは依然として冷え込んでおり、何か月後かに好転するという予測は立たない。年末に入るので売上は多少伸びるかと思うが、基調は今と変わらない。
,,□,百貨店（売場主任）,・３か月の長期予報が発表になり、11～12月と寒くなるという予報があるので、防寒物やウォームビズ関連の商材に動きが出てくる。
,,□,スーパー（役員）,・北海道の消費者にとって、この冬における灯油の値上がりが一番痛い。現在のところ客単価の落ち込みも無く推移しているが、越冬野菜、漬物関連商品の動きが悪いことから、今後の動きが心配される。
,,□,その他専門店［医薬品］（経営者）,・購買傾向はやや上向きだが、全体的にはほとんど変わらない。
,,□,高級レストラン（スタッフ）,・灯油代の値上がりや消費税の増税論など、個人の消費意欲をそぐようなニュースが目に付いており、今後、景気が上向くとは考えにくい。
,,□,観光型ホテル（経営者）,・食への疑惑、ノロウイルス問題など、決して良い環境にない。地元道内客の入込に期待するが、楽観視できる状況にはない。
,,□,旅行代理店（従業員）,・景気が上向く要因が見当たらず、上昇感が感じられない。
,,□,旅行代理店（従業員）,・この秋は道外客が堅調に推移しているが、道内発着分については一般団体旅行の落ち込みが目立っている。10～12月上旬は修学旅行の需要で底支えされているが、全体的な状況は変わらない。
,,□,タクシー運転手,・この先、本格的な冬の訪れとなる北海道だが、欠かすことのできない燃料、灯油が大幅な値上がり傾向にあり、各家庭ではより一層財布のひもが固くなる。景気が良いとされるのは一部の大企業であり、中小企業、零細企業が圧倒的に多い地域性から、景況感が悪い状況は今後も変わらない。
,,□,観光名所（役員）,・９月以降、観光入込客は若干ながら増加傾向が続いているが、国内団体客が不振であり、海外客の増加に頼る部分が大きく、先行きに対する不透明感がある。
,,□,美容室（経営者）,・今後への不安感は多少解消されてきているが、これから高騰した灯油を使用するシーズンに入ること、また除雪費の支出も増えることから、当面は現状維持の状況が続く。
,,□,住宅販売会社（従業員）,・労働条件の悪化、賃金の低迷が業績低迷の大きな理由になっていると感じる。経済の抜本的な部分が変わらない限り、そう簡単に状況は変わらない。
,,▲,百貨店（販売促進担当）,・年金問題の影響で消費税の税率引上げが論議され始めていること、また原油高等に起因する食品などの値上げが続いていることから、消費マインドの低下が心配材料として急浮上している。癒しに分類される自分へのご褒美的な購買は影響を受けにくいと思われるが、その他の購買については、生活防衛意識の高まりから、値段の安いものやワンランク下のものを買ったり、余分なものは買わないといった行動が取られるようになり、財布のひもが固くなりそうである。
,,▲,スーパー（企画担当）,・原油価格高騰による冬場の暖房費の負担増が懸念される一方で、商品価格の値上げ圧力も高まってきており、年末から年始にかけてかなり厳しくなることが予想される。
,,▲,コンビニ（エリア担当）,・来客数は前年並みだが、客単価が前年を下回っている。客の買上点数は前年と変わらないが、商品の単価が下がっているほか、たばこやビールのまとめ買いが減少している。ただ、年金支給日についてはまとめ買いが増加している。これらのことから消費者の節約志向がうかがわれる。
