Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・観光客の入込が前年よりも多くなることが見込まれる。
,,○,商店街（代表者）,・２～３か月後は夏物の最盛期であり、バーゲン時期にも当たる。今月の初夏物の動きからみると、売上が上がってくることが見込まれる。
,,○,スーパー（企画担当）,・来客数が回復しており、前年実績をほぼ確保できている傾向から、２～３か月後もやや良くなることが見込まれる。
,,○,コンビニ（エリア担当）,・来客数も買上点数も安定的に推移していることから、２～３か月後もやや良くなることが見込まれる。また、雇用が好転してきたのか、各店舗でのパートの募集が以前より難しくなったとの声も聞こえてくるようになってきた。
,,○,コンビニ（エリア担当）,・団塊世代の消費が追い風となっているのか、一時期のように限られた商品のみを購入するのではなく、デザートやビール、ワイン、ウイスキーなどのぜいたく品の販売が好調になってきている。
,,○,高級レストラン（スタッフ）,・周年記念のイベントを設定しているので、少なからず売上が増加することが見込まれる。ただし、地域においては経済の上向き傾向がなく、あくまでも企業的な戦略によるものである。
,,○,観光型ホテル（経営者）,・道外からのツアー客の入込は、前年と同様に堅調であり、総消費単価も続伸していることから、今後についても期待できる。
,,○,旅行代理店（従業員）,・高額な海外旅行商品が好調に販売を伸ばしており、今後についても期待できる。
,,○,旅行代理店（従業員）,・４月の販売額が好調であったため、今後についてもやや良くなることが見込まれる。
,,○,旅行代理店（従業員）,・現在、前年度と比べて10％程度売上が伸びており、今後についても期待できる。
,,○,観光名所（役員）,・ゴールデンウイーク以降の予約状況が強含みであり、今後についても期待できる。
,,○,美容室（経営者）,・ここ数か月連続で、売上が前年を５％程度上回っていることから、客の購買意欲が出てきているように感じられる。
,,○,その他サービスの動向を把握できる者,・例年よりも高山植物の開花が１週間程度早まっていることから、予約の出足が早く、比較的好調に推移している。
,,□,商店街（代表者）,・業種により若干のばらつきはあるが、商店街全体としては消費を刺激するような要素も無く、トレンドに変化はみられないことから、今後の消費動向も現状と変化が無いと見込まれる。
,,□,百貨店（売場主任）,・相変わらずの天候不順が予想され、特に５～６月と寒さが続くようなので、夏物の動きが懸念される。また、クールビズも３年目に入り、状況が読めないところもある。
,,□,百貨店（販売促進担当）,・道内においては、景気や消費動向が改善するような明るい話題に欠ける。一方で、商業施設の新規オープンや増床、拡大などが目白押しであり、小売業では増えないパイを奪い合う構図がしばらく続く。
,,□,スーパー（店長）,・毎月一進一退が続いている状況である。衣料品は、気温の推移に大きく影響される。液晶テレビ、携帯音楽プレーヤー、新機能付きの白物家電を除いた日用消耗品については、競合店との価格競争に影響される。気温の推移が影響する面が大きく、一方、食品は、依然として生鮮食品が前年実績を上回って堅調に推移している。
,,□,スーパー（企画担当）,・買上客数はほぼ前年実績の水準で推移しているが、客単価は引き続き低下している。特に、販売単価の低下傾向は、月々の上がり下がりはあるものの、底を打つような動きになっていない。
,,□,スーパー（役員）,・３か月前と比べて、客の動きも単価も売上もそう大きな変化はなく、今後についても変わらずに推移する。
,,□,コンビニ（エリア担当）,・建築工事従事者の来店が好景気の要因となっているが、工事需要が継続しているため、当面は好調が持続することが見込まれる。
,,□,コンビニ（エリア担当）,・道路、ホテル等の工事需要が継続しており、工事従事者による利用が引き続き見込まれることに加えて、一般小売店の閉鎖も継続していることから、今後も現状の市場環境が継続する。
,,□,乗用車販売店（従業員）,・春闘、春の賃上げにおいて、大幅な値上げはみられなかったことから、今後も変わらないまま推移する。
,,□,高級レストラン（スタッフ）,・地域別の来客数をみると、道内客が前年比160％と増えている。ビジネス客の増加が中心であるようだが、景気が上向いてくるような傾向がうかがえる。
