Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,百貨店（販売促進担当）,・参議院選挙が終わり、選挙を控えて抑制されていた支出が通常の水準に戻ることを期待している。
,,○,コンビニ（エリア担当）,・天候要因が悪化しているため、前年比は伸び悩んでいるが、漁業、農業が好調であることから、来月以降、回復する気配が感じられる。
,,○,家電量販店（経営者）,・地上デジタル放送開始に伴う、薄型テレビ、ＤＶＤレコーダーの新規需要が見込まれる。
,,○,家電量販店（地区統括部長）,・札幌エリアを除いた北海道地域都市の地上デジタル放送が10月から始まるので、薄型テレビの需要が増えてくると見込まれる。
,,○,旅行代理店（従業員）,・秋の旅行シーズンに向けて、新商品の告知方法を工夫することで、販売量の増加が期待できる。
,,□,商店街（代表者）,・秋物についてはこれまでとは違ったトレンドが出ており、秋物商戦のスタートダッシュが良くなると見込まれるが、コートなどの重衣料については単価の上昇が危ぶまれており、どのような出足となるのか今一つ不安な面がある。
,,□,一般小売店［酒］（経営者）,・やや良くなってほしいという希望はあるが、ここ２～３か月の流れをみると、そういう気配は一向に感じられない。上昇する月もあれば、動きが止まってマイナスに転じる月もあり、非常に不安定な状態が続いている。
,,□,百貨店（売場主任）,・このところ、団塊世代のスーツ離れからカジュアル商品の動きが顕著に良くなっており、旅行関連用品も活発に動いていることから、秋の動きにも期待できる。また、ウォームビズ需要にも一部期待が持てる。
,,□,スーパー（店長）,・急速な回復は望めないものの、１～６月の前年比トレンドから食品、生鮮の数字が底を打ちつつあり、緩やかながら上昇軌道に乗りつつある。
,,□,スーパー（店長）,・５～６月よりも販売量は増えているものの、重苦しい低迷のトンネルを抜け出せずにいる状態であり、今後についても変わらない。
,,□,スーパー（役員）,・客単価で若干の落ち込みはあるが、来客数が増加している。１人当たりの買上点数は前年並みであることから、徐々に回復傾向にあり、今後についても変わらないまま推移する。
,,□,コンビニ（エリア担当）,・ガソリン代が高くなったためか、行楽が控え目であり、また買物時に掛かるお金も気にするようになるなど、客の消費意欲に元気が無い。
,,□,コンビニ（エリア担当）,・依然として北海道の景気は厳しいが、競合他社の閉店が続いており、今後も前年の売上を維持する状態が続く。
,,□,衣料品専門店（店長）,・３か月後には北海道は冬支度に入るが、今年は燃料の高騰が景気の足を引っ張っているため、秋から冬にかけては厳しくなる。
,,□,家電量販店（店員）,・地上デジタル放送が間近に迫り、薄型テレビ、ＤＶＤレコーダなどがよく売れるようになる。
,,□,乗用車販売店（従業員）,・地域全体の自動車市場は相変わらず前年割れで推移している。当社は新型車効果で若干ではあるが前年を上回ったものの、今後は中越沖地震によるメーカーの生産遅れが影響しそうである。
,,□,その他専門店［医薬品］（経営者）,・客は必要な物以外は買わない傾向が続いており、医薬品の販売量が頭打ちとなりそうだ。
,,□,観光型ホテル（スタッフ）,・原材料や原油の値上げの影響で個人消費が抑えられているようであり、高額商品の動きが悪い。
,,□,タクシー運転手,・すすきのの飲食店従業員に聞いた話では、通勤には自転車を使用しており、悪天候時以外は極力タクシーへの出費を抑えているとのことであり、今後も厳しいまま変わらない。
,,□,観光名所（役員）,・依然として国内の個人団体客の予約の動きが鈍く、また海外からの観光客も頭打ちとなっているなど、厳しい要因しか見当たらない。
,,□,設計事務所（職員）,・原油高騰に伴う物価上昇、冬に向かうという北海道の季節要因などから、建設需要が高まり、景気が回復するとはとても考えられない。
,,□,住宅販売会社（従業員）,・景気低迷の大きな理由として、所得の低迷が挙げられる。それが解消されない限り、状態が上向く可能性は低い。
