Ⅱ．景気の先行きに対する判断理由,,,,,
,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめる以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(北海道)",,◎,－,－,
,,○,百貨店の売場主任・担当者,・百貨店でミセス層の客の消費動向が上向いてきている。,
,,○,レストラン（高級）スタッフ,・２～３か月後の予約状況は前年に比べて伸びている。例年からみてはっきりと伸びており、景気は上向いている。,
,,○,旅行代理店店員,・客の先行受注状況からみると、前年よりやや多い。,
,,□,商店街代表者等,・景気回復策が打たれているという実感がない。中小企業でボーナスカット、給料カットが新年度に予定されている。,
,,□,スーパーの店長・店員,・売行きが良いのは一部商品だけであり、他は今までに経験のないほど売れない状態である。,
,,□,家電量販店の経営者・従業員,・将来に対する不安がある。雇用不安や、夏のボーナス上昇の目途が立たないことが原因である。,
,,□,レストラン（高級）スタッフ,・現況からみて、起爆剤となる大きな要素がないため、２～３か月は現状維持であろうと思われる。,
,,□,タクシー運転手,・観光客は前年より少し少ない気がする。観光も安く済ませている。,
,,▲,スナック経営者,"・例年２、３月は人の流れはあまりない。
・建設関係の客は春の仕事が例年より少ないと嘆いている。
・必要な物は購入するが、スナックの出入りは経費節約のため減らしている。",
,,×,＊,＊,
"企業
動向
関連

(北海道)",,◎,－,－,
,,○,食料品製造業,"・希望的回答である。景気回復策の浸透効果が期待できる。
・水産加工業界も消費回復傾向がみえるため。",
,,○,非製造業,・希望的観測が大きいが、徐々に良くなっていく雰囲気がある。,
,,□,非製造業,・先が見えないので設備投資をしない、という客が多い。したがって、ここ２～３か月では景気は変わらない。,
,,▲,輸送業関係者,・道内の経済を底支えしている公共投資が切れる年度末から年度初にかけて、景気が多少悪くなると思う。,
,,×,＊,＊,
"雇用
関連

(北海道)",,◎,－,－,
,,○,＊,＊,
,,□,求人情報誌編集スタッフ,・サービス業、製造業ともに、前年、一昨年と比較して変化がない。,
,,▲,－,－,
,,×,－,－,
,,,,,
　２．東北,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(東北)",,◎,－,－,
,,○,百貨店の売場主任・担当者,・進入学、就職やブライダル関係用品を中心に購買力がやや良くなっていくものと思われる。,
,,○,レストラン（高級）スタッフ,・法人需要の回復が見込まれる。,
,,○,タクシー運転手,・転勤や入社などによる会合が増え、乗客の利用が増えていくものと思われるが、一時的なものでその後どうなっていくかはわからない。,
,,○,住宅販売会社販売員,・景気対策の進展や新年度を迎えての期待感がある。,
,,□,商店街代表者等,・全体としてまだ消費に対する意欲が感じられない。,
,,□,百貨店の売場主任・担当者,・やや消費活動が活発になっていると思われるものの、一過性のものか、継続していくものか、しばらく注視していかなければならない。,
,,□,乗用車販売店の経営者・従業員,・需要の拡大は当面望めず、先行きはあまり明るいとは思えない。,
,,□,レストラン（一般）スタッフ,・歓楽街の客が減り、タクシーも列をなしている状況が続いており、変化の兆しが何もみられない。,
,,□,競輪・競馬・競艇場職員,・これ以上、下がりようがなく、あまり変わりようがない。,
,,□,設計事務所職員,・今後３か月程度では、現在の状態が改善する見込みはない。,
,,▲,百貨店の売場主任・担当者,・４月のベースアップも見込めず、先行きへの不安から商品もますます売れなくなる。,
,,▲,スナック経営者,・業績悪化の企業が多く、年度末を迎えて倒産やリストラに対する危機感が今よりも増大していくものと思われる。,
,,▲,ホテル・旅館（観光型）の経営者・スタッフ,・明るさや希望を感じさせる予感がなく、経済的な面よりも心理的な面が大きく影響している。,
,,×,レストラン（一般）スタッフ,・客単価の低下が続いており、食べ物に対してまで支出を抑えている傾向が日々強くなっている。,
"企業
動向
関連

(東北)",,◎,－,－,
