Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,一般小売店［土産］（店員）,・夏期に観光を控えていた客が、夏は行かなかったので冬の雪のイベントは行きたいとの意向が出てきており、来客数が増加することが期待されている。
,,○,スーパー（企画担当）,・高額商品でも、客の趣味やライフスタイルに合致した商品であれば売上は好調であり、単価低下に歯止めがみられる。
,,○,一般レストラン（スタッフ）,・団体客、企業グループの利用は減少しているが、個人客の利用は増加しており、この先も需要増加が期待できる。
,,○,スナック（経営者）,・忘年会の予約が入っており、新年会にも期待したい。
,,○,タクシー運転手,・それほど多くはないが、業績が良い方向にあるという話が、タクシーの中の客との話題で出るようになっている。
,,○,観光名所（役員）,・財布のひもは固いものの、人の動きが上向いてきている。
,,○,美容室（経営者）,・売上が増加しており、近所の商店街における店の売上も増加していると聞いている。
,,□,商店街（代表者）,・中核店舗であるデパートの集客に変化がみられない。
,,□,商店街（代表者）,・本来なら、ボーナスシーズンや商店街の年末年始の大売出しに期待がかかる時期だが、ボーナスの上昇もあまり期待できず、郊外の大型店オープンや、札幌そごうの閉店セールなどのマイナス要因も多く、全体的には変わらない。
,,□,百貨店（販売促進担当）,"・婦人衣料品はトレンドを押さえた商品かどうかで、ブランドの優劣が明確になり、この傾向が春物商戦まで続く。
・紳士服についてもトレンド商品の開発が厳しいと考えられ、今後もこの傾向が続く。"
,,□,スーパー（店長）,・管内にある大型店が増床することから、価格競争が続き、景気自体の底上げとはならない。
,,□,スーパー（店長）,・販促チラシの価格に左右される客が多くなってきている。また、特にチラシを配布した初日にはふだん来たことのない顔が目立つようになっている。
,,□,コンビニ（エリア担当）,・客の買い方や販売促進に対する反応からみて変わらない。
,,□,コンビニ（エリア担当）,・クリスマスや年末年始の予約商品状況をみると、例年と大きな変化はない。
,,□,衣料品専門店（店長）,・客の買い方からみて、変化はない。
,,□,衣料品専門店（店長）,・集客力が低下したままである。
,,□,家電量販店（店長）,・市場が拡大しておらず、厳しい競争が続く。
,,□,家電量販店（店員）,・１つの商品を買うのに、各店の価格を調べて最も安い店で買う傾向がみられる。
,,□,乗用車販売店（従業員）,・高額車の商談が少ない。
,,□,乗用車販売店（従業員）,・今まで買い控えをしていたユーザーがやっと動き出した感があるが、大きな変化にはならない。
,,□,自動車備品販売店（店長）,・３か月後には夏タイヤ商戦の時期に入るが、ここ数年の傾向からみて上向きになるとは期待できない。
,,□,住関連専門店（統括）,・ヒット商品が出ておらず売上の増加は見込めない。
,,□,高級レストラン（スタッフ）,・湿原観光列車運行の効果が現れ、観光客の増加がみられるが、景気が上向くほどではない。
,,□,高級レストラン（スタッフ）,・旅行代理店からの予約状況が良くない。
,,□,スナック（経営者）,・忘年会や新年会もあり12、１月は今月よりはましであるが、例年と比べて大きな変化はない。
,,□,旅行代理店（従業員）,・先行受注についてみると、セクション別に特に良い部分も悪い部分もなく、総じて変化がない。
,,□,旅行代理店（従業員）,・法人関係の旅行需要があまり期待できないなかで、個人旅行の好調が売上を支えており、全体的には横ばいである。
,,□,通信会社（企画担当）,・オンライン書籍販売などのコールセンターが北海道の地理的メリットを利用して進出しているが、全体的な景気の底上げとはならない。
,,□,美容室（経営者）,・店内で客に対し口頭でセールスをしているが、乗ってこない。
,,▲,商店街（代表者）,・年内からのバーゲンが間延びし、客の購買意欲が低下する上に、単価も低下する。
,,▲,百貨店（売場主任）,・そごうデパート閉店セールの影響で、その反動が出ることが懸念される。
,,▲,百貨店（売場主任）,"・単品傾向、低価格志向が強く、高額商品の売上が芳しくない。
・ヒット商品がなく、お歳暮商戦の出足があまり良くない。"
