Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・青果物の収穫期を迎えるため、今後についてはやや良くなる。
,,○,一般小売店［土産］（経営者）,・アジアを始めとした外国人観光客に助けられている面が強いが、日本人客も少しずつ増加していることから、今後についてはやや良くなる。７月の売上が前年比98.4％となったのは、気温の低い日が続いたことが影響したためとみられる。
,,○,一般小売店［土産］（経営者）,・本格的な夏の観光シーズンを迎えることから、今後、少しずつ景気が上向いてくる。また、日韓関係も政治の問題なので、今後２～３か月中には両国の関係が改善することを期待している。そういう状況が改善されれば、民の方もムードとしてはすぐに回復して活発な交流となり、インバウンドの回復にもなるのではないかと期待しており、若干プラスに転じてゆくと考えている。
,,○,百貨店（営業販促担当）,・消費税増税前の駆け込み需要で高額品に動きが出てくることになる。また、秋冬商材について、衣料品メーカーが早期展開する動きがみられることから、前倒しの需要も見込める。
,,○,スーパー（役員）,・お盆明け以降、10月の消費税増税に向けたセールが活発になり、一時的に消費が盛り上がることが期待できる。
,,○,家電量販店（店員）,・今後も暑さが続くことで、夏物家電の需要が期待できる。
,,○,乗用車販売店（従業員）,・消費税増税の影響で買い控えの客が増えることが懸念されるものの、減税対策の周知を行うことで、前年並みでの推移が期待できる。
,,○,旅行代理店（従業員）,・今年は夏季の需要低下がみられるが、９月には需要が回復し、落ち込み分をカバーできると期待している。また、前年９月は関西国際空港の台風被害や北海道胆振東部地震の影響で観光需要が大きく減少したため、その反動増も期待できる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・８月以降は外国人観光客も含めて、利用客の増加が期待できる。
,,□,一般小売店［酒］（経営者）,・ゴールデンウィークの大型連休が終わってから、売上に勢いがみられない。６～７月と同じような状況が続いているため、今後数か月は同じような状態で推移する。
,,□,百貨店（売場主任）,・８～９月にかけて消費税増税前の駆け込み需要が生じることを期待しているが、10月以降は消費マインドの低下により、売上の落ち込みが懸念される。
,,□,百貨店（販売促進担当）,・道内の景況感が上向いていないことから、外国人観光客の活発な購買力と相殺される状況が今後も続き、現状と余り変化はないまま推移する。
,,□,スーパー（店長）,・景気が上向いていないため、今後も変わらないまま推移する。
,,□,スーパー（企画担当）,・北海道においては東京オリンピックの影響も悪い方にしか表れていない。労働力が東京へと向いていることで、一層の人手不足を招いている。
,,□,家電量販店（経営者）,・キャッシュレス・消費者還元事業を販促としてうまく活用できれば、消費税増税による落ち込みはさほど生じないと期待している。
,,□,乗用車販売店（経営者）,・新車受注において、消費税増税前の駆け込み需要がみられないことから、今後も同様の状況が続く。
,,□,乗用車販売店（経営者）,・年末にかけて新商材の発売が予定されているため、少しは上向きに転じることを期待している。ただ、業界環境の変化もあり、大きく景気が上向くことまでは期待できない。
,,□,その他専門店［医薬品］（経営者）,・処方せん事業が健闘しているものの、一般薬の販売量の落ち込みが大きいことから、今後も景気は変わらない。
,,□,高級レストラン（スタッフ）,・現時点において、観光客は例年並みの利用がみられる。一方、地元客は、今年のゴールデンウィークやお盆休みが長期間となっていることで、飲食店控えの傾向がうかがえる。この先の消費税増税の影響も見通しにくいことから、今後の景気は変わらないまま推移する。
,,□,旅行代理店（従業員）,・景気が良くなる要素が見当たらないため、今後も変わらない。
,,□,旅行代理店（従業員）,・来客数が伸びてこないため、今後も景気は変わらない。
,,□,旅行代理店（従業員）,・明るい話題も暗い話題も特にないことから、今後も景気は変わらない。
