Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・新聞やテレビでみる全国のニュースと比べても、当地の観光は明らかに伸びており、経済も良くなっている。特に東南アジアからの観光客は明治時代への憧れが強く、当地の文化に明治時代の雰囲気が眠っていると感じている。これらのことから、今後も当地の景気は良くなる。
,,○,商店街（代表者）,・２～３か月後は来街客のピークを迎える時期となるため、天候などで悪い影響が生じない限り、飲食を中心とした多くの業種で売上を伸ばすことが期待できる。
,,○,一般小売店［酒］（経営者）,・５月は今年のゴールデンウィークが10連休となった特殊要因の影響で、ここ最近の流れとは全く異なり、大きなショックを受けるほどの景気の悪さであった。今後については、こうした特殊要因もなくなるため、これまでと同様の状態に回復することになる。
,,○,百貨店（営業販促担当）,・月末の気温上昇に伴い、帽子、日傘、カットソー、ＵＶ商品などのシーズンアイテムに動きが出てきている。今後も商品展開の前倒し、それに伴う催事の開催が後押しとなり、実需の伸びが期待できる。消費税増税前の駆け込み需要も夏から始まることになる。
,,○,スーパー（役員）,・５月の景気がやや良かったことから、このまま景気が良くなることを期待している。ただし、今後、天候要因や消費税増税前の駆け込み需要がどのような業態に影響してくるか不透明な部分もある。食品スーパーにおいては、現状の景気の良さが下期までは続かないことも懸念される。
,,○,スーパー（役員）,・10月の消費税増税が近づくにつれ、客が増税前の購入を考えるようになり、消費が活発になることが期待できる。
,,○,コンビニ（エリア担当）,・天候次第ではあるが、夏場の天候が前年より良いと予想されているため、景気はやや良くなる。
,,○,観光型ホテル（スタッフ）,・国内客の個人旅行、特に夏休みのファミリー予約が好調に推移している。７月の大型コンサートイベントもプラスとなる。
,,○,旅行代理店（従業員）,・７～８月は観光の繁忙期となる。前年の航空需要は９月の北海道胆振東部地震で大きな影響があったが、今年２～３月には回復し、４月以降は前年を上回る傾向が続いている。現状では、特に悪い要素も見当たらないため、今後の観光需要は好調に推移する。
,,○,旅行代理店（従業員）,・当地を舞台にしたドラマの効果により、例年以上の人の流れが生じると期待できる。
,,○,旅行代理店（従業員）,・客に動きが出始めており、新規受注が微増していることから、今後についても期待できる。
,,○,観光名所（従業員）,・今年に入ってから、修学旅行生の土産利用について、来客数と客単価が上向きとなっている。以前は買物できる店舗を指定する学校が多かったが、今年は景気回復を背景に、制約がほとんどなくなっており、今後もこの傾向が続く。
,,○,美容室（経営者）,・今年の春頃から食事や旅行などの話題を客から聞く機会が以前よりも増えていることから、今後、売上が増加するような雰囲気がある。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・現在の予約状況から、今後も好調に推移することになる。
,,□,商店街（代表者）,・客の反応が多種多様であり、今後の景気がどうなるか分からない。
,,□,商店街（代表者）,・これからオンシーズンへと向かうが、今年についてはゴールデンウィークが10連休という長期連休となったことの反動がどのように出てくるか不透明な部分がある。
,,□,商店街（代表者）,・今年は７月に参議院選挙が行われるため、再度、影響を受けることになる。一方、外国人観光客については、大きな影響もなく、順調に推移することが見込まれる。
,,□,商店街（代表者）,・５月の気温が例年にないほど高いことから、７～８月の青果物の育成に影響が生じることを懸念している。強風の影響も懸念される。
,,□,百貨店（売場主任）,・消費税増税前の駆け込み需要が動き出すのは７月頃になるとみられ、それまでは現状のままで推移する。
,,□,百貨店（販売促進担当）,・消費税増税前の駆け込み需要が本格化するのは９月になるとみられ、それまでは外国人観光客頼みの状況が続く。
,,□,百貨店（役員）,・競合店閉店の影響がいまだにはっきりとしていないことから、今後の景気がどうなるか分からない。
,,□,スーパー（店長）,・景気が変動するような要因が見当たらないため、今後の景気は変わらない。
