II．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,百貨店（売場主任）,・前回の消費税増税時は増税の４か月後に前年並みの売上まで回復した。今回も前回と同様の傾向で推移すれば、１月以降、景気が良くなるとみられる。また、外国人観光客の動向については、今年の中国の春節が１月となり、当地の冬の恒例イベントと時期がずれることで来客数が分散され、１～２月にかけて上向くことが期待できる。
,,○,コンビニ（エリア担当）,・キャッシュレス・消費者還元事業が続く限り、現在の景気の良い状況が続く。
,,○,乗用車販売店（従業員）,・消費税増税から少し時間が経過することで、多少は景気が良くなると期待している。
,,○,乗用車販売店（従業員）,・例年、北海道においては10～12月の消費が落ち込み、１月からの春先需要で盛り上がることになるが、消費税増税の影響があるため、例年よりも消費が冷え込むことが見込まれる。ただ、新車種などの発売も控えているため、２月以降の回復が目に見えており、今よりも景気は良くなる。
,,○,乗用車販売店（従業員）,・春に向けて新型車の発売が控えていることに加えて、消費税増税の影響が12月で底を打ったとみられることから、今後の景気はやや良くなる。
,,○,旅行代理店（従業員）,・流氷観光を中心とした冬季観光での集客が期待できる。ただ、消費税増税に伴う個人観光の抑制、前年はあった韓国からの観光チャーター便の運休などが懸念要因として挙げられる。
,,○,旅行代理店（従業員）,・年度末を控えて駆け込み需要が生じることが見込まれるため、今後の景気はやや良くなる。
,,○,通信会社（企画担当）,・通信端末の値引き制限により、実質的な価格が値上がりしたが、そのことに対する客の理解が僅かずつではあるが、広まっていることから、今後の景気はやや良くなる。
,,○,美容室（経営者）,・ここ数か月、大幅ではないが、売上が増加しているため、今後も同じような傾向で推移することになる。
,,□,商店街（代表者）,・例年と同様に、出控えの時期となるため、地域住民の日配品購入に伴う来街は見込めても、それ以外での来街者が増加することは見込めない。
,,□,一般小売店［土産］（経営者）,・どこを探しても景気に影響を与えるような大きな変化はみられないため、今後も景気は変わらない。
,,□,一般小売店［酒］（経営者）,・12月の芳しくない状況から、短期間では回復しづらいとみられることから、ここ２～３か月はこのままの状況が続く。
,,□,百貨店（販売促進担当）,・年が明けたことで、消費税増税の影響が少しずつ薄れていくことになる。また、春節の影響で外国人観光客が増え、消費が活発化することが見込まれるため、売上は前年並みに回復することになる。
,,□,百貨店（営業販促担当）,・消費税増税に対する影響は徐々に薄れていくとみられるが、客の節約志向は今後も継続する。特に衣料品の買い方、店の使い分けなどは以前の流れには戻らないとみている。
,,□,スーパー（店長）,・プレミアム付商品券を利用する客が多いが、全額分を使用した後は通常の買物状態に戻り、余り消費喚起につながっていない。このため、今後、客の節約志向は一層強くなるとみられる。
,,□,スーパー（店長）,・景気の変動要因がないため、今後も景気は変わらない。
,,□,スーパー（役員）,・現状、売上の推移は悪くないため、今後も景気は変わらない。キャッシュレス・消費者還元事業の影響はそれほど大きくないが、各業態におけるポイント還元やディスカウント率が高くなっていることから、コストが大幅に上がっているとみられ、今後の対応にもよるが、利益面では決して良い状況にはならない。
,,□,スーパー（役員）,・キャッシュレス・消費者還元事業により、スーパー各社のポイント付与や割引といった販促が増えているが、効果は余りないようであり、今後も消費税増税の影響が続くことになる。
,,□,コンビニ（エリア担当）,・景気は悪いままで変わらない。雪不足の影響は今後の天候次第であるが、消費税増税の影響で外食は今後も減少傾向となり、商品供給側も影響を受けることになる。特に酒やたばこなどの免許品の減少が大きくなるとみられる。
,,□,衣料品専門店（店長）,・カジュアル志向が主体となってしまっている現在の流れから、年明けの大きなトレンド発表までは厳しいまま推移する。
,,□,衣料品専門店（店長）,・客がお買得な買物の仕方を常に考えていることから、今後も景気は厳しいまま変わらない。
