Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,商店街（代表者）,・消費税増税後となるが、プレミアム付商品券を利用する客が増加することで、結果的に前年以上の売上が期待できる。
,,○,商店街（代表者）,・年末にはかなりの需要が見込める。
,,○,コンビニ（エリア担当）,・新たな宿泊施設を建設する動きが出ているため、今後への期待が持てる。
,,○,家電量販店（経営者）,・キャッシュレス・消費者還元事業により、売上アップを見込める。
,,□,商店街（代表者）,・外国人観光客については、韓国人の大幅な減少傾向がみられるが、元々消費額が少ないため、韓国人観光客を専門に受け入れていた特定の施設を除けば、大きな影響はみられない。７月以降、全体的に観光客の入込が落ち込んできていたことから動向を心配していたが、９月に入り改善の兆しがうかがえる。
,,□,一般小売店［土産］（経営者）,・外国人観光客による売上は前年と比べて10％程度減少している。その一方で、伸びないと思っていた日本人観光客による売上が増加している。ただ、日本人観光客の増えている要因が国内景気とどう関連しているのか、いまだに分からない。また、どの企業も社員を募集しても集まらないため、大変な思いをしている。
,,□,一般小売店［酒］（経営者）,・今後２～３か月の売上については、消費税増税が足を引っ張る要因となるため、厳しいものがある。ただ、そうした影響は一過性のものとみられるため、基調的には余り変わらない。
,,□,百貨店（役員）,・10月になると、消費税増税の影響が出てくるのは間違いないが、それ以降の年末年始にかけての流れがどうなるかがまだ分からない。
,,□,コンビニ（エリア担当）,・消費税増税前の駆け込み需要後となるため、消費は落ち込むことが見込まれる。ただ、食品関係については、軽減税率が適用されること、キャッシュレス・消費者還元事業があることなどから、現状と同様の景気を維持することが期待できる。
,,□,乗用車販売店（経営者）,・消費税増税を10月に控えて、新車登録は計画どおりに増加したが、10月以降の受注動向が懸念される。
,,□,乗用車販売店（経営者）,・消費税増税後であり、景気が好転する材料に乏しい。ただ、新型車の投入も予定されているため、これ以上の悪化はないとみられる。
,,□,自動車備品販売店（店長）,・前年の北海道胆振東部地震時の買い控え分が今年の購入につながっている。ドライブレコーダーについては、年内一杯は好調に推移するとみられるが、タイヤや乗用車については、10月以降、９月の駆け込み需要の反動が出てくるため、厳しくなる。
,,□,高級レストラン（スタッフ）,・これから閑散期に入るため、客足は自然と減少していくが、今年は消費税増税の影響がじわじわと出てくることが懸念される。レストランでの増税額は高が知れているかもしれないが、増税前に大きな買物をした人は外食の機会を控えることになり、今後しばらくは景気が変わらないまま推移する。
,,□,観光型ホテル（経営者）,・冬季の観光シーズンに向けて、韓国人観光客が回復する見通しが立たない。また、香港のデモの影響に加えて、台湾や中国における景気悪化の懸念などから、全体的に外国人観光客の予約が伸びていない状況にある。
,,□,旅行代理店（従業員）,・来客数に変化がみられないことから、今後も景気は変わらない。
,,□,タクシー運転手,・乗務員不足が解消されないため、今後数か月は、これまでと同じようにタクシーの稼働が落ち込み、売上が前年を下回る状況が続く。
,,□,タクシー運転手,・国内観光客や外国人観光客の予約状況は、この先も減少傾向にある。一方、イベント関係での客の利用が期待できるため、今後の景気は全体的には変わらないまま推移する。
,,□,タクシー運転手,・現状からは、今後の景気回復が見込めない。この先についても、横ばいで推移するか、落ち込むことになる。特に秋から冬にかけては、元々需要が落ち込む時期でもあるため、大いに心配している。
,,□,観光名所（従業員）,・消費税増税後の外出控えが生じることは否めない。一方、当地ではホテルのオープンが続いており、宿泊数のキャパが大きくなるといったプラス要因がある。今後については、プラス要因とマイナス要因が相殺することで景気は変わらないまま推移する。
,,□,美容室（経営者）,・10月には、消費税増税の影響がある程度生じるとみられるが、それ以降は余り大きな影響は生じないと見込んでいる。
