Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・夏の観光シーズンを迎えて、観光需要が本格化することを期待している。ゴルフ目的の客を中心にインバウンドが増えていることもプラスである。前年との比較では、国体開催のような特殊要因がないこと、修学旅行客が前年ほど見込めないことなどから、減少が見込まれるものの、例年並みかそれ以上の入込がみられると期待している。
,,◎,観光名所（従業員）,・当地を舞台にした劇場アニメのシリーズ作品について、サブスクリプションでの配信が海外も含めて行われたことから、国内外からのファンによる聖地巡礼が過熱することが期待できる。
,,○,一般小売店［土産］（経営者）,・好天が続くなか、クルーズ船の寄港が多くみられること、アジアからの観光客が多様化していることなどから、６月の売上は想定以上のものとなった。こうした動きは今後も続くとみられることから、景気はやや良くなる。地元客から想定を上回る賃上げがあったとの話が聞かれることもプラスである。
,,○,一般小売店［酒］（経営者）,・これから年間で最も売上の良い時期を迎えることになる。また、今年は取引先からの受注量が増えていること、客単価が上昇傾向にあることから、今後の売上は大きく増加すると期待できる。
,,○,百貨店（売場主任）,・今後もインバウンドと国内の富裕層による購買が好調を維持すると見込まれる。
,,○,スーパー（店長）,・今年の夏は例年よりも気温が高くなると予想されていることから、猛暑対策として衣料や日用品の動きが活発になると期待している。そのため、現状と比べて多少は景気が良くなる。
,,○,コンビニ（エリア担当）,・夏の観光シーズンを迎えること、暑い夏が予想されることから、来客数は増加することになる。ただし、現状を踏まえると、楽観視できる状況でもない。
,,○,衣料品専門店（エリア担当）,・イベントや行楽に出掛ける人が増加するとみられることから、それに伴って衣料品への支出が増加すると期待している。
,,○,旅行代理店（従業員）,・夏季繁忙期を迎えて、国際線の就航が活性化し、インバウンドが増加することが期待される。ただし、国際線の就航については、地上業務の人手不足や2024年問題、燃料不足などの影響で、新規国際路線やチャーター便の運航に支障を来すケースが顕在化しており、それらの影響が懸念される。今後の観光客回復に影響を及ぼす事案のため、観光関連事業者からは早期解決を望む声が強まっている。
,,○,タクシー運転手,・タクシーの売上は天候に大きく左右される。例年４月から６月にかけては年間で最も客の利用が減る時期であり、６月下旬から気温の高い日が増えてくることで少しずつタクシーの稼働が上向くことになる。特に今年は７月以降、暑い日が多くなると予想されているため、タクシー１台当たりの売上も徐々に良くなる。また、乗務員が増えている分、会社の売上も前年比プラスで推移することになる。
,,□,商店街（代表者）,・物価上昇が続くなか、賃金の上昇が追い付いていない。社会保障や税の負担が増えていることもあって、先行き不安が払拭されない限り、消費が活発になることはない。
,,□,商店街（代表者）,・外国人観光客が好調に推移しているものの、若干の陰りがうかがえる。本来であれば、外国人観光客の北海道観光は冬がメインであるため、仕方のない面もあるが、これまでに余りみられなかった国からの観光客が増えていることもあって、景気が上向くことを期待している。
,,□,スーパー（企画担当）,・国によるエネルギー関連の補助金が終了したものの、８月からの３か月間、補助金を再開することが決まったことから、今後の景気は落ち込むこともなく、現状を維持する。
,,□,コンビニ（エリア担当）,・し好品の消費が減っていることから、全体売上が落ち込んでいる。今後についても横ばいで推移することになる。
,,□,コンビニ（店長）,・物価が上がっている一方で、客単価が低下していることから、売上が増えてこない状況にある。今後もこうした動きは変わらない。
,,□,乗用車販売店（経営者）,・自動車メーカーの認証不正問題が新たに発生したことから、厳しい状況が続くことになる。また、物価上昇や円安などの様々な課題が複合的に絡み合い、消費者の購買意欲を低下させていることもマイナスである。
,,□,乗用車販売店（従業員）,・賃金のベースアップが行われているが、物価の上昇に追い付いていないことから、現状と変化のないまま推移することになる。
,,□,乗用車販売店（従業員）,・６月末に主要車種のモデルチェンジが予定されていることから、今後しばらくは受注量のやや良い状況が続く。
