Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,・エアコンの販売が好調を維持しており、今後も好調な状況が続くとみられる。
,,○,商店街（代表者）,・当商店街は、夏祭りのメイン会場となっていることから、今後、地元客、帰省客、観光客の来街が増えるとみられる。それに伴って、業種全体的に売上が伸びることになる。特に飲食店や土産店では前年以上の売上が期待できる。
,,○,一般小売店［土産］（経営者）,・国内観光客は減少しているものの、東南アジアなどの外国人観光客が増加することで、今後の景気はやや良くなる。ただし、歴史のある街として、一層の努力が必要である。また、零細企業の多い当地においても、従業員確保に向けてベースアップを行う企業が多くみられることもプラスである。
,,○,一般小売店［土産］（経営者）,・今は旅行疲れのような傾向が若干みられるが、これから夏を迎えて、観光などで人が動き始めるとみられる。来道者が増えてくることで、当店の売上も比例して増加すると期待できるため、今後の景気はやや良くなる。航空会社やホテルが様々なキャンペーンを行うとみられることもプラスである。
,,○,一般小売店［酒］（経営者）,・売上の基調が力強さを取り戻しており、今後の売上の増加が期待できる。
,,○,百貨店（売場主任）,・インバウンドを始めとした観光客の増加が見込まれる。物価高の影響で、今後も客単価の低下傾向は続くとみられるものの、それを上回る来客数の増加が期待できる。
,,○,スーパー（店長）,・インバウンドなど、観光需要が引き続き伸びている。これから観光のトップシーズンを迎えるため、今後の景気は若干ながらも回復することになる。
,,○,乗用車販売店（従業員）,・今後については、新型車の販売が始まり、試乗もできるようになるため、間違いなく販売が上向くことになる。ただし、納車は先となってしまうため、売上面ではやや厳しい状況となることも考えられる。
,,○,乗用車販売店（従業員）,・物価は上昇しているが、今年はベースアップを行っている企業が多く、これまでよりも欲しい物を購入しやすい環境になると期待している。旅行を計画している社員も多く、夏を迎えて、景気はやや良くなる。
,,○,旅行代理店（従業員）,・電話やＷｅｂでの問合せ件数が増えていることから、今後の景気はやや良くなる。
,,○,タクシー運転手,・これから７月にかけて、祭りや音楽フェスティバルなどのイベントが予定されていることから、今後、来客数が多少は増えることになる。
,,○,観光名所（従業員）,・劇場アニメの舞台となったことでファンの聖地巡礼が期待できるほか、豪華客船の寄港増加による効果を期待できる。今後については、当店の来客数増加に加えて、当地での活発な消費行動を期待できる。貸切観光バスにおける乗務員配置の一層の厳格化によって、稼働率が低下し、団体客の利用が停滞することも懸念されるが、全体的な景気はやや上向くことになる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・前年と比べて、航空機との接続ダイヤが改善されていることから、今後の輸送量の増加が期待できる。
,,□,商店街（代表者）,・外国人観光客の動きがやや落ち着き、前年ほどの爆発力がみられなくなっている。ただし、前年の状況は出来過ぎな面があり、全体的には、今後も好調な状況が続くことになる。
,,□,百貨店（販売促進担当）,・夏を迎えて、来街者の増加が見込まれる。ただし、物価の上昇が続いていることから、今後も客の購買意欲は高まらないとみられる。
,,□,コンビニ（エリア担当）,・消費者の生活防衛意識が日に日に強くなっている。打開策も見つからないため、今後も景気は変わらない。
,,□,衣料品専門店（経営者）,・今後も過度な水準の円安が続くとみられることから、景気は変わらない。
,,□,衣料品専門店（エリア担当）,・来客数、買上点数の動きが鈍化しているものの、客単価が前年を上回って推移している。こうした状況は３月からそれほど変わっていないため、今後も景気は変わらない。
,,□,乗用車販売店（経営者）,・新車の受注残があるため、今後も安定した売上が見込めるものの、新車受注、中古車販売の動きが鈍化していることは気掛かりである。地域性もあって、観光関連の動きは活発になるとみられるが、個人消費は弱い動きが続くことになる。
,,□,乗用車販売店（従業員）,・多少は景気が良くなっているが、景気が一段と上向くような要因が見当たらないため、今後も景気は変わらない。
