Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［酒］（経営者）,販売量の動き,・７月に入って、客先１件当たりの納品量が増えており、景気の回復を実感している。
,,◎,旅行代理店（従業員）,来客数の動き,・当地の航空需要は４月から５月にかけて前年をやや下回っていたが、６月は前年比101％となり、第１四半期はほぼ前年並みの水準となった。ただし、コロナ禍前の2019年比では94.5％にとどまっている。成田便や関西方面の便はインバウンドの乗継客や北海道観光需要の高まりなどで利用客が増えており、羽田便の落ち込み分を補填している。
,,○,商店街（代表者）,来客数の動き,・７月初旬から中旬にかけては、昼夜共、来街者が少なく、景気の悪い状態が続いていたが、下旬になり、中心部に期間限定ビヤガーデンがオープンしたことで夕方以降の来街者が増加している。ただし、来街者が増加している一方で、昼間の物販やビヤガーデン以外の夜型飲食店の景気は依然として余り良くない。全体的には、景気が余り良くないなか、僅かに景気が上向いている状況である。
,,○,一般小売店［土産］（経営者）,お客様の様子,・売上は2023年比で115.4％、2022年比で204.9％、2021年比で601.2％、2020年比で818.1％、コロナ禍前の2019年比で127.3％となっている。
,,○,百貨店（販売促進担当）,単価の動き,・来客数は微増であるが、海外からの旅行客が増加していることで客単価が上昇している。特選ブティックや絵画などの高額品の売上がアップしており、全体の売上増加に寄与している。
,,○,スーパー（店長）,お客様の様子,・衣料品や家電などの動きが良く、食品以外の身の回りの物に消費の意識が向かっている様子がうかがえる。
,,○,自動車備品販売店（店長）,お客様の様子,・集客のため、購入記念品や数量限定品を作り、そのチラシを折込配布したところ、50台駐車できる駐車場が満車となる状況が２時間以上続いた。この結果、７月の来客数は前年比105％となるなど、良い結果が出た。
,,○,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比が伸びている。特に、夏の暑さ対策に関連した商品について、客が積極的に購入する様子がみられる。
,,○,高級レストラン（スタッフ）,販売量の動き,・客層が変わってきたことで、販売価格が好転しつつある。
,,○,高級レストラン（スタッフ）,販売量の動き,・レストラン部門の売上は横ばいであるが、販売部門の売上が３か月前と比べて増えており、全体売上を引き上げている。
,,○,旅行代理店（従業員）,来客数の動き,・来店での相談件数が３か月前と比べて増えている。
,,○,タクシー運転手,来客数の動き,・今年になって、乗務員の採用が増えており、前年から25％増加している。タクシー１台当たりの売上は、日勤が前年並み、夜勤が前年を５％程度上回った。乗務員が増えたことでタクシーの稼働台数も増えており、夜勤の売上が前年を上回ったことで、７月の売上は前年から30％の増加となった。
,,○,観光名所（従業員）,来客数の動き,・曜日にかかわらず利用客でにぎわう日が増えている。国内、国外を問わず個人観光客が増えており、コロナ禍前よりも利用者数が15％ほど増加している。外国人観光客は、海外で日本の人気が高まっていることもあって、これまで接客したことのない国の方もみられる。国内観光客は、アニメの聖地巡礼を目的とした方がとても目立つ。
,,□,商店街（代表者）,来客数の動き,・暑い日や天候の悪い日は客足が極端に減るため、景気は変わっていない。
,,□,商店街（代表者）,来客数の動き,・円安の影響で旅行客が海外ではなく、国内を旅行先に選んでいる様子がうかがえる。年配の家族など、例年よりも多様なグループ客が数多く来道している。消費単価も高いことから、売上にもプラスとなっている。
,,□,百貨店（売場主任）,単価の動き,・これまでと同様に、来客数が好調を維持している。客単価も外国人を中心に伸びている。
,,□,スーパー（店長）,来客数の動き,・値上げが進んでいることで、客単価が上がっているものの、来客数がなかなか増えてこない。生活費を削減する動きもあって、客の買物回数が減ってきている。
,,□,スーパー（企画担当）,販売量の動き,・曜日並びの関係で、前年と比べて土日が少ないことから、全体売上は前年を下回っている。ただし、同じ曜日の売上を比較すると、前年を上回っている。来客数は減少しているものの、販売点数が伸びていることから、客の購買意欲は衰えていないとみられる。
,,□,スーパー（役員）,販売量の動き,・米不足の影響が出ている。米の価格が上がっていることで、米の売上は前年から20％以上増加しており、全体の売上を押し上げている。一方で、客の節約志向も高まっており、全体的な景気は３か月前と変わっていない。
,,□,コンビニ（エリア担当）,販売量の動き,・夏のイベントについて、前年までは自粛が多かったが、今年は平常どおりに開催していることが多いため、イベント需要が前年を上回っている。ただし、商品の値上げが続いていることで、全体的に流れが悪くなっており、売上は前年を下回っている。
,,□,コンビニ（エリア担当）,お客様の様子,・客は相変わらず必要な物しか買っていない。ただし、暑い日が続いているため、冷たい飲料やアイスを購入する客は増えている。
,,□,衣料品専門店（エリア担当）,来客数の動き,・前年と比較すると、来客数が頭打ちとなっている。セールなどの割引販売では来客数が増加していることから、客の節約意識が依然として高いことがうかがえる。
,,□,乗用車販売店（従業員）,販売量の動き,・新車販売台数は前年並みで推移しているが、受注できる車種が限られていることから、売上は前年実績や目標を大きく下回っている。
,,□,その他専門店［造花］（店長）,お客様の様子,・催事の来場者数が前回を上回るなど、客の購買意欲の向上がうかがえる。ただし、実際の購買の様子をみると、購入に対して慎重な客が多くみられた。
,,□,高級レストラン（スタッフ）,販売量の動き,・７月は比較的良いペースで売上が推移していたが、20日を過ぎるとランチの女性客が急に減り、前年を下回りそうな状況となっている。夏休みに入った子供の世話で主婦が出歩かなくなったためとみられる。一方、観光地や都市部のホテルは来客数が増えており、飲食部門は人手不足のなか、どうにか営業している。あるホテルでは朝食が混雑して人手が足りないため、ふだん調理部門以外の事務職をしている従業員がちゅう房のヘルプに回ることがあると聞き驚いた。
,,□,スナック（経営者）,来客数の動き,・景気は余り悪くもなっていないが、良くもなっていない。今は難しい状況にあり、このままだと将来は絶望だと感じる。
,,□,観光型ホテル（経営者）,来客数の動き,・国内客については、物価高の影響もあって、個人客、団体客ともに、予約数が落ち込んでいる。インバウンドについては、需要はあるものの、グランドハンドリングの人手不足と航空燃料の不足により、道内空港への国際便数が激減している。集客にとってはダブルパンチであり、景気は厳しいまま変わっていない。
,,□,タクシー運転手,来客数の動き,・来客数にも、予約状況にも変化がみられない。観光客やイベント関係の客による利用も横ばいのため、景気は変わっていない。
,,□,タクシー運転手,販売量の動き,・地域のイベントは予定どおりに開催されているが、気温の高い日が多いため、外出しようという気運が高まらない状況にある。
,,□,タクシー運転手,お客様の様子,・７月の客の流れをみると、数か月前とほとんど変わらない。これから夏本番を迎えて、少しでも良くなることを期待している。
,,□,通信会社（企画担当）,お客様の様子,・若年層を中心に、他社の通信サービス、特に格安系の通信サービスへの流出が増えている。
,,□,美容室（経営者）,お客様の様子,・消費者が出費を抑える傾向がみられ、客の来店周期が以前よりも長くなっている。こうした傾向は当分続くとみられる。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・ツアー客が減少しているものの、個人客が増加している。個人客が増えていることで、乗用車の航送台数も伸びている。
,,□,住宅販売会社（従業員）,来客数の動き,・新築マンションの価格が高騰しているため、中古マンションの需要が高まっている。ただし、全体的にみると、景気は変わらない。
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良いものではなかった。
,,▲,一般小売店（経営者）,来客数の動き,・客の動きが悪すぎるため、３か月前と比べると、景気はやや悪くなっている。
,,▲,スーパー（企画担当）,来客数の動き,・足元の動きをみると、来客数が再び減少傾向に転じている一方で、買上点数が増加している。客の来店頻度が落ちているためであり、買い控え傾向が強まっていることがうかがえる。
,,▲,乗用車販売店（経営者）,競争相手の様子,・大手自動車メーカーの不正問題が解決していないことから、受注や生産を停止している車種が引き続き多く、受注量が前年を大きく下回る状態が継続している。
,,▲,乗用車販売店（経営者）,販売量の動き,・販売量が減少している。
,,▲,乗用車販売店（従業員）,来客数の動き,・新型車の販売をうまく行えている店舗は販売台数が伸びているが、そうでない店舗は販売台数が減っており、厳しい状況にある。また、リコールが入ってきているため、全体的にサービス部門の売上が伸びにくくなっている。これらのことから、売上はやや厳しくなっている。
