Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［酒］（経営者）,・年末年始を迎えて、売上が増加することを期待している。
,,○,商店街（代表者）,・103万円の壁の引上げや減税が実現することになれば、今後の景気は上向きになる。
,,○,一般小売店［土産］（経営者）,・物価が予想以上に上昇しているものの、給与も上がっているため、今後の景気はやや良くなる。観光客が増加傾向にあることもプラスである。
,,○,一般小売店［土産］（経営者）,・今後については、冬の観光シーズンとなるため、客が増えることになる。インバウンドは、特に中国方面の便数の回復が遅れているため、前年並みにとどまるとみられるが、円安を追い風に客単価が上昇することを期待している。
,,○,百貨店（販売促進担当）,・年末年始から春節にかけてインバウンドの増加が見込まれる。地元客はまだ購買意欲が低いものの、クリスマスや年末年始のイベントに向けて消費が上向くことを期待している。
,,○,スーパー（役員）,・正月のおせちなど、料理の予約が前年を２割ほど上回っている。また、今年の年末は帰省客が増えることで消費が活発になると期待している。
,,○,家電量販店（店員）,・年末商戦や初売りなどのイベントで来客数の増加が見込まれることから、今後の景気はやや良くなる。
,,○,乗用車販売店（経営者）,・今後については、生産量が徐々に回復することで、受注量及び販売量が上向くと期待している。新車への期待感が高いこともプラスである。
,,○,旅行代理店（従業員）,・国内航空需要が堅調なことに加えて、冬季の航空便の運航スケジュールにおいて国際線の直行便が増えたことから、１月以降のインバウンド需要の伸びを期待している。主要なスキー場の宿泊予約が前年を上回っているとの情報があることもプラスである。ただし、地域によってはオーバーツーリズムの影響が出てくることも懸念される。
,,○,タクシー運転手,・前年よりも乗務員が60人ほど増えており、年末までにあと10人程度が入社予定である。乗務員の増加に伴ってタクシーの稼働台数も増えることから、これから年末にかけての繁忙期には前年を大きく上回る売上となることが期待できる。
,,○,タクシー運転手,・これから忘年会などで人流の増える時期となるため、景気が良くならなければ困る。ただし、最近の客の動きをみると、都市部のような夜間の人出は余りなく、夜遅くまで飲食店を利用するような風潮もなくなっているため、一抹の不安を抱いている。
,,○,美容室（経営者）,・年末年始を迎えて、景気が良くなることを期待している。
,,□,商店街（代表者）,・今後については、道内客、道外客、外国人にかかわらず、観光客の少ない時期であり、周辺住民の外出控えも顕著な時期となる。多くの業種で売上を伸ばすような要因が見当たらないことから、今後も景気は変わらない。
,,□,商店街（代表者）,・忘年会の予約が前年よりも早くなっているなど、好調な兆しがうかがえる。景気が安定していることで、年末商戦への期待が高まっている。
,,□,百貨店（売場主任）,・当地のホテル数が増加していることから、インバウンドの増加を期待している。冬のボーナスが増加見通しであることもプラスである。ただし、プラスの影響が生じるのは一定の客層に限られるため、全体としては現状のトレンドが続くことになる。
,,□,スーパー（店長）,・政局が変化していることで、先行きへの不透明感が増しており、今後しばらくは消費が大きく上向くことはないとみられる。
,,□,コンビニ（エリア担当）,・売上を大きく伸ばすことは難しいものの、常連客の利用を維持していくことで、現状と同様の売上を維持できるとみられる。
,,□,コンビニ（エリア担当）,・値上げの動きは落ち着いてきたものの、客の購買にはつながっていない。今後は価格競争が激化することが懸念される。
,,□,衣料品専門店（経営者）,・円安が続き、物価高が収まらないことから、客の財布のひもは固いままである。今後もこうした状況は変わらない。
,,□,衣料品専門店（エリア担当）,・必要な物については、今後も客の消費行動が変わらないとみられる。
,,□,家電量販店（経営者）,・暖房器具などの季節商材は例年並みの売上で推移しているものの、テレビの売上が伸び悩んでいることから、全体的な売上は横ばいで推移することになる。
,,□,乗用車販売店（従業員）,・売上は前年並みとなっており、冬のボーナスも前年並みの水準が見込まれる。同様の企業が多いとみられるため、今後も景気は変わらない。
