Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・前年と比べると、来客数が約20％増加している。特に国内観光客では高齢者層、インバウンドでは台湾からの団体客が好調である。
,,○,一般小売店［土産］（経営者）,お客様の様子,・11月の売上は23年比で115.5％、22年比で269.6％、21年比で268％、20年比で147.9％、19年比で187.3％となっている。客船の寄港がゼロだったことに加えて、雨の日が10日、雪の日が７日あるなど、天候面が今一つであったにもかかわらず、売上が前年を上回っていることから、景気はやや良くなっている。
,,○,百貨店（販売促進担当）,来客数の動き,・ここ２か月、インバウンド及び国内旅行者の来客数が落ち込んでいたが、いずれも11月に入り増加している。地元客の購買意欲は落ち込んだままであるが、インバウンド及び国内旅行者による消費が増加していることで、全体としては上向いている。
,,○,スーパー（役員）,お客様の様子,・当地を舞台にしたアニメ映画の効果で観光客の増加が続いており、飲食店の利用客が増えている。その影響で、食料品や酒の売上が伸びている。
,,○,衣料品専門店（経営者）,来客数の動き,・東北と北海道では、10月以降、秋や初冬の気配が感じられる天候となっており、客の動きが良くなっている。
,,○,その他専門店［医薬品］（経営者）,来客数の動き,・入居している大型店が10月から１か月ほど休店していたことの反動で来客数が増加している。一過性のこととはいえ、景気はやや良くなっている。元の状況に戻る前に顧客化を進めたい。
,,○,高級レストラン（スタッフ）,お客様の様子,・オフシーズンとなったことで、夏場に比べると観光客の入込は減っているものの、例年ほど大きな落ち込みとはなっていない。
,,○,観光型ホテル（スタッフ）,単価の動き,・インバウンドが宿泊単価の上昇をけん引している。また、地元客をメインターゲットとする宴会の単価も堅調に推移している。
,,○,旅行代理店（従業員）,来客数の動き,・道外客については、観光の閑散期であるが、人気アーティストのコンサートがあったことで、航空機やホテルが混雑するほど、人の動きが活発であった。道内客については、高校の修学旅行シーズンであることに加えて、道外への観光需要やビジネス需要が多く、空港がにぎわった。
,,○,タクシー運転手,来客数の動き,・例年よりも初雪が早かったこと、天候の悪い日が多かったことから、11月のタクシー利用は前年よりも多かった。また、乗務員の採用に注力していることで、乗務員が前年よりも60人増えており、タクシーの稼働台数が前年から30％増加した。タクシー１台当たりの売上も前年比で約10％増加しており、会社の売上は前年比で60％の増加と大幅な増収となった。
,,○,通信会社（企画担当）,お客様の様子,・都市部の大型量販店を中心に、当社サービスへの乗換え客が前年を大きく上回って推移している。こうした流れは、これまで瞬間的な動きにとどまっていたが、今回は少なくとも２か月継続していることから、今後も続くと期待している。
,,□,商店街（代表者）,お客様の様子,・衆議院選挙の結果を受けて、客が減税を期待するようになっており、それに伴って客の消費意欲も上向いている。
,,□,商店街（代表者）,来客数の動き,・初冬の北海道は観光客にとって見どころが少ないため、例年、観光客が減少する傾向にあるが、今年は11月上旬に人気アーティストのコンサートなどがあったことで、国内観光客の入込が多かった。
,,□,一般小売店［土産］（経営者）,販売量の動き,・客１人当たりの買上点数が増えている。例年この時期は限定商品などが多く、そうした商品を何個かプラスして買う客が多くみられた。
,,□,一般小売店［酒］（経営者）,販売量の動き,・例年11月は売上が低調に推移する月である。今年も売上は余り良くないが、景気の良しあしとは連動していない。
,,□,スーパー（店長）,来客数の動き,・売上の総額は前年と大きく変わっていない。ただし、売上の内訳をみると、割引セール日の売上比率が月を追うごとに高まっており、買物に使う金額について、客がシビアになっている様子がうかがえる。
,,□,コンビニ（エリア担当）,来客数の動き,・夏以降、来客数が回復傾向にある。他の小売店が値上げ基調にあるなか、当店は牛乳、食パン、卵、豆腐などの日用品について、買い求めやすい価格を維持していることから、安定した客の利用がみられている。
,,□,コンビニ（エリア担当）,来客数の動き,・平日の来客数は横ばいであるものの、週末はイベント目的の客や観光客の利用が増えており、その分だけ来客数が増加している。ただし、野菜や米の高値が続いていることから、好調な状況がいつまで続くのか心配である。
,,□,衣料品専門店（エリア担当）,来客数の動き,・気温が高めに推移していることから、冬物商材の動きは余り良くないが、気温が下がった日や降雪があった日の売行きは悪くない。物価の上昇が続いていることで、必要な物以外は買い控えが生じているものの、必要な物はこれまでと変わらない購買行動となっている。
,,□,乗用車販売店（従業員）,お客様の様子,・例年11月はタイヤ交換などで忙しくなる時期であり、今年もサービス部門の売上が伸びている。一方、車両の売行きをみると、前月と比べてやや落ち込んでいる。
,,□,乗用車販売店（従業員）,販売量の動き,・新車登録台数は前年並みで推移している。ただし、受注台数が前年実績及び目標を大きく下回っていることから、先行きに不安が残る。
,,□,自動車備品販売店（店長）,来客数の動き,・11月は売上が前年比117％、来客数が前年比137％と一見すると良い状況であるが、売上の増加は冬タイヤの値上げが影響したものであり、来客数の増加はタイヤ交換の客が伸びたことによるものである。季節要因による影響が大きく、今後の動向は不透明である。
,,□,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比に変化がみられない。来客数や買上点数も変化がみられない。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格に変動がみられないことから、景気は変わっていない。
,,□,高級レストラン（スタッフ）,来客数の動き,・観光の繁忙期が過ぎ、例年であれば来客数が落ち込むところだが、観光客を中心に週末の来客数が高止まりしている。
,,□,旅行代理店（従業員）,販売量の動き,・全国的にはインバウンドが好調なようだが、日本人の海外旅行需要は低迷を続けたまま、回復していない。国内の旅行会社にとっては、景気がやや悪いという状況は変わっていない。
,,□,タクシー運転手,来客数の動き,・週末の来客数は微増しているものの、平日は変化がみられない。イベント関連や観光関連でのオーダーも余り変わっていない。
,,□,タクシー運転手,販売量の動き,・季節の変わり目でこれといったイベントもないため、単調に推移している。乗務員不足も解消されておらず、今後への不安が残る。
,,□,美容室（経営者）,それ以外,・スタッフの給与を引き上げるために値上げすることを客にきちんと説明するようにした結果、毎月の売上が増加した。
,,□,住宅販売会社（経営者）,販売量の動き,・住宅着工数が増えてこない状況に変わりはみられない。
,,□,住宅販売会社（従業員）,販売量の動き,・建築費の高騰が続くなか、住宅ローン金利の上昇により、購入可能な層が今まで以上に限定されることになり、受注量が減少している。
,,▲,商店街（代表者）,お客様の様子,・政局が不安定なこともあって、客の動きは決して良いものではない。
,,▲,百貨店（売場主任）,販売量の動き,・来客数に大きな変化はみられないものの、地元客の買上点数や単価が落ち込んでいる。特にファッション関連の冬物アイテムの動きが悪い。
,,▲,スーパー（店長）,販売量の動き,・価格の高騰が止まらないことが、買上点数の減少に拍車を掛けている。
,,▲,スーパー（企画担当）,販売量の動き,・10月以降、食品や雑貨の値上げが相次いでいる。特に米の価格は前年の1.5倍ないし２倍となっていることで、客の買上点数が前年を大きく下回っている。
,,▲,スーパー（企画担当）,販売量の動き,・来客数は前年並みだが、客１人当たりの買上点数が前年を下回っている。特に青果物と加工食品の価格高騰が買い控えを招いている。
,,▲,コンビニ（エリア担当）,来客数の動き,・物価上昇の影響で客がより価格の安い店舗に流れており、来客数の減少が続いている。
,,▲,衣料品専門店（店長）,お客様の様子,・営業の外回りが増えていることで、コートの需要が大きく上向いている。ただし、価格にシビアな客がほとんどであり、やむを得ず購入している様子がうかがえる。
,,▲,高級レストラン（スタッフ）,販売量の動き,・ランチは見込みに近い売上があったが、ディナーはグループ客が減少したことで売上が落ち込んだ。ただし、季節要因を考慮すると、売上は前年並みと判断できる。地方のホテルは予約を取りにくいほど混雑しているようだが、朝食を利用する客が少なくなっている。
,,▲,スナック（経営者）,来客数の動き,・11月の売上は10月までと余り変わりがなく、やや悪い状況が続いている。ただし、見込みほど悪くなかったこと、12月の予約が入り始めたことから、今後は景気が良くなると期待している。
,,▲,観光型ホテル（経営者）,来客数の動き,・インバウンドの集客に苦戦している。いまだにコロナ禍前の水準には戻っていない。
