Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・来客数が例年を大きく上回る状況が続いている。特にインバウンドの個人客と若者の小グループ客による利用が増えている。
,,○,一般小売店［土産］（経営者）,お客様の様子,・９月の売上は2023年比で107.5％、2022年比で185.5％、2021年比で524.2％、2020年比で421.7％、2019年比で118％となっている。豪華客船が複数回寄港していることもあって、景気はやや良くなっている。
,,○,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比が伸びている。特に日用品や季節商材の売上が増加しており、ふだん使いの商材の購買意欲が高まっていることがうかがえる。
,,○,高級レストラン（スタッフ）,販売量の動き,・９月に入って暑さが一段落したためか、ランチの客足が好調で売上は前年を超えた。例年９月は地域の食のイベントに客が流れるが、今年は影響が少なかった。また、スタッフの健康面についても、暑さが落ち着いたことで、夏バテなどの問題がみられなかった。
,,○,高級レストラン（スタッフ）,来客数の動き,・観光シーズンを迎えて、観光客に動きが出てきたことから、景気はやや良くなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・国内観光客が好調をキープしていることもあって、８月以降、来客数が高止まりしている。連休中の入込も好調に推移した。インバウンド需要が増加していることもプラスである。
,,○,旅行代理店（従業員）,来客数の動き,・国内線の利用客数の推移をみると、夏季繁忙期に入った７月はコロナ禍前と同水準であったが、８月は台風などの影響もあって、前年をやや下回った。国際線は、韓国便が好調を維持していることに加えて、中国便が増加したこともあって、大きく増加した。
,,○,旅行代理店（従業員）,販売量の動き,・客への聞き取り調査から、国内旅行については、ホテルの宿泊料金が高騰していること、全国的に気温が高く真夏日が続いていたことが、需要の減少につながっている。海外旅行については、世界情勢などの不透明感が強いため、需要が伸びなかったとみられる。
,,○,旅行代理店（従業員）,販売量の動き,・３か月前と比べると、問合せ件数が増えている。海外旅行に関する問合せも増えている。
,,□,商店街（代表者）,来客数の動き,・来客数がコロナ禍前の水準に回復している。一方、商材の客単価の２極化が進んでいる。趣味し好に関連する商品は高額でも売れるものの、ニーズ商品はより安い物を求める傾向が強くなっている。
,,□,商店街（代表者）,来客数の動き,・９月の北海道は災害が少なく、天候にも比較的恵まれたことから、人出が好調に推移している。日本人旅行客も好調を維持しており、商店街はにぎわっている。ただし、今年は暑い日が多く、秋を感じないまま冬を迎えそうなことから、ファッション系の店舗は秋物商材を中心に苦戦を強いられている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・売上はやや減少しているが、季節要因によるものであり、全体的な傾向は３か月前と変わっていない。
,,□,一般小売店（経営者）,販売量の動き,・８月に株価が暴落したが、その後、回復するにつれて、売上も回復してきた。
,,□,百貨店（販売促進担当）,来客数の動き,・９月に入り、インバウンドが大きく減少している。円高に振れ始めた影響もあるが、好調な首都圏と比べると、北海道を訪れる観光客は減っている。この傾向は年末まで続くとみられ、しばらくの間は景気が横ばいで推移することになる。
,,□,スーパー（店長）,販売量の動き,・気温の低下とともに、衣料部門や住宅余暇部門の秋冬物商材、暖房関連商材が売れるようになってきた。一方、食料品の買上点数は落ち込んだままであり、客の節約志向が根強いことがうかがえる。
,,□,スーパー（役員）,お客様の様子,・２度の３連休があったことから、引き続き観光客が増加している。居酒屋関係者のまとめ買いも増加している。
,,□,コンビニ（エリア担当）,来客数の動き,・新米が出回るまで米不足が続いていたため、納品された米がすぐに売れるなど、一時的には売上や来客数の増加がみられた。ただし、客の生活防衛意識が強まっている状況は変わっていない。
,,□,衣料品専門店（店長）,お客様の様子,・本来であれば、秋物商材の投入が進むにつれて、客の興味が増し、販売量が上向いてくる時期だが、今年は客の反応が余り良くない。景気の良さを感じられない状況が客の購入意欲の低下につながっている。
,,□,衣料品専門店（エリア担当）,来客数の動き,・必要な物を必要な時期に買うという客の動きに変化がみられない。
,,□,乗用車販売店（従業員）,来客数の動き,・決算期ということもあって、サービス部門も含めて、売上や販売量はかなり良い状況であった。ただし、他社と比較すると厳しい面もみられた。店舗間のばらつきも大きく、業績の良いところもあれば悪いところもあった。これらのことから、全体的な景気は余り変わっていない。
,,□,乗用車販売店（従業員）,単価の動き,・ここ最近、出荷台数に大きな変化がないことから、景気は変わっていない。新型車の発表も遅れており、需要を刺激する材料が見当たらない。
,,□,自動車備品販売店（店長）,お客様の様子,・客の様子をみると、必要な物は買う、不必要な物は買わないとはっきりしており、財布のひもが固くなっている。接客時に景気動向の話をする客も多くみられる。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・北海道も暑い日が多かったことから、体調を崩している人が多いとみられるものの、客足は鈍いままである。高齢の客にとっては、９月下旬になって急に涼しくなったこともこたえている。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格に変動がみられないことから、景気は変わっていない。
,,□,スナック（経営者）,来客数の動き,・９月に入ってから、来客数が前年や前々年とほとんど変わらない水準で推移している。そのため、これ以上、景気が悪くなることは考えにくい。
,,□,観光型ホテル（スタッフ）,単価の動き,・インバウンドを中心に客単価が上向いている。ただし、宿泊単価が上昇している分、稼働率が低下しており、全体的には現状維持で推移している。
,,□,旅行代理店（従業員）,お客様の様子,・2024年度下期に向けて、新規の法人営業を続けているが、客から前向きな回答を得られない状況が続いている。前年に久しぶりの職場旅行を実施した企業も２年連続で実施できるほど景気が回復していない。
,,□,タクシー運転手,来客数の動き,・９月のタクシー１台当たりの売上は前年から約５％のマイナスであった。一方、今年に入ってから、乗務員の採用が増えており、前年から約30％の増員となっている。タクシー１台当たりの売上はマイナスとなったが、稼働台数が約30％増えていることで、会社の売上は前年から約30％の増加となった。
,,□,タクシー運転手,来客数の動き,・８月はエアコン目的の利用客が微増していたが、９月に入り過ごしやすい気候となったことで、そうした客が徐々に減少している。また、９月に開催された食のイベントの効果で来客数が増加するようなこともなかった。全体的にはそれほど変化のみられない月であった。
,,□,タクシー運転手,販売量の動き,・気温の変化が大きいこともあって、客の外出意欲が落ち込んでいる。業績も前年を下回っており、景気が良いという状況にはない。
,,□,タクシー運転手,販売量の動き,・ここ３か月間、景気が若干上向きつつあるも、大きくは変わっていない。冬場を迎えると、タクシーの利用はどうしても落ち込んでいくため、今後の動向を注視していきたい。
,,□,美容室（経営者）,お客様の様子,・若干ではあるが、以前よりも旅行や外出の機会が増えており、それに伴って客の来店も増えている。
,,□,美容室（経営者）,来客数の動き,・９月の売上はやや良かったが、ここ３か月の動きをみると、来客数も売上もそれほど伸びているわけではない。
,,□,住宅販売会社（経営者）,販売量の動き,・引き続き、住宅の販売量が減少している。販売価格も高騰したままである。
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良いものではない。景気そのものは上向いているのかもしれないが、商材の値上げ幅が大きいことがマイナスとなっている。
,,▲,商店街（代表者）,来客数の動き,・来街者数の動きをみると、９月上旬は、地域住民、道内観光客、道外観光客のいずれも増加していたものの、中旬以降は、雨模様の日が多かったこともあって、地域住民を中心に来街者が減少した。また、車両のナンバーから判断すると、道内観光客の数は大きく変わっていない一方で、道外観光客が減少していることがうかがえる。外国人観光客は、ここに来て、数人の中国人グループ客の姿が前年よりも目立つようになってきた。全体的には、景気はやや悪い状態で推移している。
,,▲,スーパー（企画担当）,販売量の動き,・来客数は競合他社からの流入もあって、前年よりも伸びているものの、買上点数の減少が続いている。商材の値上げが家計に響き、客の買い控えが強まっていることがうかがえる。
,,▲,スーパー（企画担当）,販売量の動き,・競合の出店があったため、来客数が減少している。ここ数年続いていた値上げの動きは落ち着いてきたものの、客単価は低迷したままである。
,,▲,コンビニ（エリア担当）,来客数の動き,・米の高騰が家計に与える影響が大きいこともあって、客がコンビニで買物する機会が減っている。
