Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,お客様の様子,・10月の売上は、2023年比で127.6％、2022年比で209.7％、2021年比で382.9％、2020年比で312.8％、2019年比で152.3％となっている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・ここしばらく取引先からの受注量が増加傾向で推移している。
,,○,コンビニ（エリア担当）,来客数の動き,・値頃感のある価格を維持するようにしてきたことで来客数が回復しつつある。
,,○,自動車備品販売店（店長）,販売量の動き,・季節商材である冬タイヤの販売量が前年比110％となっている。来客数も前年比107％と前年を上回って推移している。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・コロナ禍から時間が過ぎ、客の購買動向がようやく以前の状態に戻っている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・客室の稼働率が堅調に推移している。宿泊単価も下がっていない。宴会も多くの予約が入っている。
,,○,通信会社（企画担当）,来客数の動き,・全体的に専門店の来客数が増加している。また、大型商業施設での出張販売も、都市部、地方を問わず、他社の通信サービスから乗り換える客が増加している。僅かではあるが、契約者数の動きが改善している。
,,□,商店街（代表者）,来客数の動き,・朝晩の冷え込みとともに、日中も寒くなる日が増えている。それに伴って、当区域を訪れる周辺住民の来街頻度が低下している。また、区域内のホテルの駐車場が満車となることもなくなり、道内外からの観光客が減少していることがうかがえる。日中に買物袋を携行して歩いている人もまばらである。
,,□,商店街（代表者）,来客数の動き,・衆議院選挙の選挙応援などで外出を控えた人が多く、消費動向はマイナスとなった。選挙が終わったことで通常の状態に戻るとみられるが、政治の不安定な状況が続いていることが懸念材料となっている。
,,□,百貨店（販売促進担当）,来客数の動き,・一時的に円高に振れた影響で、前月以降、インバウンドが減少している。売上は前年を上回って推移しているものの、これは物価高の影響で客単価が上昇したことが要因である。
,,□,スーパー（店長）,来客数の動き,・売上は前年を上回る水準で推移しているものの、相次ぐ値上げによる商品単価の上昇が要因であり、来客数や買上点数がなかなか上向いてこない。
,,□,コンビニ（エリア担当）,来客数の動き,・インバウンドを始めとした旅行客の動きは相変わらず良いが、通勤客や通学客の購買意欲は依然として低いままである。ただし、低価格商品だけは動きが良い。
,,□,コンビニ（店長）,お客様の様子,・買上点数が少なくなっている。
,,□,衣料品専門店（経営者）,お客様の様子,・円安を背景とした物価高により、客の節約志向が続いている。旅行や行事に参加する機会が減っていることで、外出着の需要が落ち込んでいる。
,,□,乗用車販売店（従業員）,販売量の動き,・直近の販売動向に大きな変化はみられない。販売できる車両が少ないため、受注量が上向くような要素もない。
,,□,住関連専門店（役員）,販売量の動き,・売上の前年比をみると、３か月前と変化がみられない。客の購買動向にも変化がみられない。
,,□,その他専門店［造花］（店長）,お客様の様子,・都市部の売上は前年と同様の水準で推移しているが、地方では１割を超える落ち込みがみられる。
,,□,高級レストラン（スタッフ）,販売量の動き,・10月の売上は何とか前年を上回りそうだ。ランチは好調を維持している。ディナーは低価格コースが中心ではあるものの、グループ客の利用がある日もみられる。高齢の顔なじみ客は足が遠のいているものの、新規客が増えている。地方では、中心部以外にも観光客が訪れており、ホテルが混雑しているとの話を聞く。
,,□,高級レストラン（スタッフ）,来客数の動き,・景気に大きな変化はみられないものの、観光客の減少する時期となったことから、徐々に落ち込みがみられつつある。
,,□,高級レストラン（スタッフ）,来客数の動き,・３か月前に観光の繁忙期に入ってから、来客数が高止まりしている。10月としては来客数が多いものの、３か月前との比較では変化はみられない。
,,□,スナック（経営者）,来客数の動き,・例年10月は余り売上が良くないが、前月も今月も状況は変わっていないため、景気は変わらない。
,,□,観光型ホテル（経営者）,来客数の動き,・国内団体客は漸減傾向にあるものの、海外からの個人客が大幅に増加している。
,,□,旅行代理店（従業員）,来客数の動き,・夏季繁忙期は、インバウンドが前年から大きく増えており、特に韓国路線が伸びをけん引していた。下期に入ってからは、国内客もインバウンドも減少しているものの、当地からの修学旅行客が増えている。台風などの影響もあったが、７月以降の国内旅客数は前年並みで推移しており、インバウンドは前年比２けた増で推移している。
,,□,旅行代理店（従業員）,お客様の様子,・旅行の問合せ件数についてみると、ここ数か月と比べて動きがかなり落ち着いている。生活必需品を始めとした物価上昇の影響で、旅行などの娯楽にかける金を絞っていることがうかがえる。また、旅行の相談件数も減っており、頭打ちとなっている。
,,□,タクシー運転手,来客数の動き,・乗務員の採用に注力していることもあって、10月の乗務員数は前年の150人から210人まで増えている。10月のタクシー１台当たりの売上は前年並みであったが、１年前と比べて乗務員が40％増えたことで、タクシーの稼働台数が増えており、売上は前年から約40％の増加となった。ただし、採用コストがかさんでいるため、利益は前年並みであった。
,,□,タクシー運転手,来客数の動き,・イベント関係のオーダーが微増したものの、観光客のオーダーが奮わず、結果的に来客数に変化はみられなかった。
,,□,タクシー運転手,販売量の動き,・前年と比べて、夜間に外出する人が減っている。夜間のタクシーが余っている状態となっている。
,,□,美容室（経営者）,来客数の動き,・良くもないが悪くもない変化のない状況が続いている。ただし、年金生活者の来店周期が以前よりも長くなっており、生活が厳しくなっていることがうかがえる。
,,□,住宅販売会社（従業員）,来客数の動き,・住宅ローン金利を引き上げる動きがみられることから、消費者マインドがどのように変化していくか注視する必要が出ている。
,,▲,商店街（代表者）,単価の動き,・高額品の売上が落ち込んでいる。生活必需品が値上がりしていることで、これまで高額な趣味し好品を購入していた消費者が手を出せない状況になっている。高額品の価格が上昇していることもマイナスである。
,,▲,商店街（代表者）,お客様の様子,・現在の景気はやや悪い。衆議院選挙の結果をみても、景気が上向くとは考えにくい。
,,▲,スーパー（企画担当）,販売量の動き,・競合店の新規出店もあって、販売量が落ち込んでいる。メーカーによる値上げの動きは落ち着きつつあるが、相対的に商品単価が高いことが買上点数減少の要因となっている。また、これから冬季を迎えるため、エネルギーコストの上昇を見越した買い控えも進んでいる。
,,▲,衣料品専門店（エリア担当）,来客数の動き,・来客数や客単価の動きが鈍くなっている。気温がやや高めに推移していることも少なからず影響しているが、米の値上げなどにより、生活費全般が増えていることが大きな要因となっている。
,,▲,乗用車販売店（経営者）,販売量の動き,・販売量が下振れしている。燃料価格や電気料金、生活用品価格の上昇により、家計の負担感が増していることから、客の購買意欲が低下傾向にある。
,,▲,乗用車販売店（従業員）,販売量の動き,・販売状況はまずまずであるものの、全体的にみると、新型車効果が薄れていることもあって、販売量は横ばい又は若干の減少となっている。景気の先行きが不透明なこと、明るい話題が少ないことから、販売量が大きく伸びるような状況ではない。
,,▲,旅行代理店（従業員）,来客数の動き,・宿泊料金の高騰により、旅客単価が上昇傾向にある一方で、来客数は減少傾向にある。団体旅行については、貸切バス料金の上昇に加えて、貸切バスが予定どおりに確保できないことで、成約に結び付かないケースが散見される。
,,▲,旅行代理店（従業員）,販売量の動き,・物価上昇、燃油高、円安が継続していることに加えて、衆議院選挙が行われたことも影響して、主要客である法人企業の動きが鈍化している。
,,▲,タクシー運転手,来客数の動き,・衆議院選挙の影響で人の動きが鈍くなっている。
,,▲,観光名所（従業員）,お客様の様子,・当地を舞台としたアニメの聖地巡礼キャンペーンが終了したことで、それまでの熱狂的とも感じた状況が平時の落ち着きを取り戻している。現在の客の様子をみると、施設の利用料金を見て入場をためらう様子がみられたり、カプセルトイ利用客が少なくなっているなど、停滞感がある。
,,▲,美容室（経営者）,お客様の様子,・いまだに食料品の価格が高騰しているため、他の物に金を使うことができない人が増えている。
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光客が減少していることで、旅客数が減っている。前年と比較しても落ち込みが目立っている。
,,▲,住宅販売会社（経営者）,販売量の動き,・住宅を建てようとする動きがみられない状況が続いている。建売住宅も売れていない。一方、住宅の建築コストは高止まりしたままである。
