Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,来客数の動き,・インバウンドが堅調に推移している。国内線においては、修学旅行客が増えているほか、卒業旅行とみられる若い世代の客もみられる。これらのことから、来客数は引き続き前年比２けたの伸びとなっている。,
,,◎,観光名所（従業員）,来客数の動き,・２月27日時点で利用者数が前年を35％上回っている。こうした利用者の増加傾向は今年度に入ってから継続しており、特に個人利用の外国人観光客の増加が顕著である。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・地元の人の動きは余り良くないが、観光客の入込が順調で客先の売上に大きく貢献している。,
,,○,百貨店（売場主任）,来客数の動き,・当地恒例の冬のイベントに加えて、春節の効果もあって、中国人を始めとしたインバウンドの売上が想定を上回って推移した。,
,,○,スーパー（店長）,販売量の動き,・婦人フォーマル、セレブレイトスーツなど、学校行事関連商材の動きが良い。,
,,○,スーパー（役員）,お客様の様子,・外国人観光客が大幅に増加していることで、ホテルや居酒屋などが混雑するようになり、地域全体に活気が出ている。,
,,○,乗用車販売店（従業員）,販売量の動き,・３か月前と比べると、受注量が伸びている。ただし、前年と比べるとやや落ち込んでいる。株価が上がっていても、一般家庭の消費行動にはそこまで反映されていない。,
,,○,観光型ホテル（経営者）,来客数の動き,・冬季観光シーズンとなり、各地の冬のイベントや春節の効果もあって、インバウンドを中心ににぎわった。,
,,○,旅行代理店（従業員）,来客数の動き,・２月初旬は春節の効果もあり、インバウンド需要が伸びた。中旬は気温が上昇したことで、冬のイベントが中止になるなどの影響がみられたものの、月全体をみると、観光消費は上向きとなっている。,
,,○,旅行代理店（従業員）,販売量の動き,・旅行需要は３か月前と比べてやや増加している。貸切バス料金や宿泊料金の値上げが続いていることで旅行単価が上昇傾向にあるものの、成約率も上昇傾向にある。,
,,○,旅行代理店（従業員）,単価の動き,・来店予約なしの客が増えている。旅行という娯楽を考える余裕が出始めていることがうかがえる。,
,,○,タクシー運転手,来客数の動き,・日中の来客数が微増している。ただし、夜間の来客数は低迷したままである。,
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・少数ではあるが、例年と比べてインバウンドの利用が増えている。,
,,□,商店街（代表者）,販売量の動き,・販売点数が２から３％減っている。,
,,□,商店街（代表者）,お客様の様子,・原材料価格の上昇に伴って、商品の価格も目に見えて上がっていることもあって、客の様子は決して良いものではない。,
,,□,商店街（代表者）,来客数の動き,・昼間も夜間も来街者数が減少している。特に夜間は新年会などの飲み会が落ち着いたこともあって、夜型飲食店の利用が団体客、個人客共に減少した。また、管外からのビジネス客や観光客も前年並み以下となっている。,
,,□,商店街（代表者）,販売量の動き,・今年は突然の大雪に何度も見舞われたことから、大雪の日を中心に客足が鈍り、苦戦を強いられた。ただし、当地恒例の冬のイベント期間中は天候に恵まれ、旅行客も多かったことから、にぎわいがみられた。２月全体としては比較的好調であった。,
,,□,一般小売店［土産］（経営者）,お客様の様子,・売上は2023年比127.1％、2022年比595.5％、2021年比1158.3％、2020年比191.5％となっている。,
,,□,一般小売店（経営者）,販売量の動き,・売上は悪くないが、来客数が減っている。,
,,□,百貨店（販売促進担当）,お客様の様子,・売上は増加しているものの、購買単価の高いインバウンドによるところが大きい。一般の消費者は物価上昇に対応するべく消費を控えている。,
,,□,スーパー（店長）,販売量の動き,・株価が上昇傾向にあるものの、個人の給料が上がっていないことから、景気は変わっていない。,
,,□,スーパー（店長）,単価の動き,・雪や寒さの影響で商圏が狭くなっていることから、数か月前と比べると、来客数の伸びが緩やかになっている。ただし、商品の値上げが続いているなか、客単価も伸びており、堅調に推移している。,
,,□,スーパー（企画担当）,単価の動き,・来客数は依然として前年を下回っているものの、客単価の上昇がいまだに続いており、来客数の落ち込みをカバーしている。,
,,□,コンビニ（エリア担当）,来客数の動き,・売上の伸びは鈍化しているものの、来客数が前年を上回る状態を維持している。,
,,□,コンビニ（エリア担当）,来客数の動き,・インバウンドを始めとした観光客が増加しているものの、コンビニのメインターゲットである日常使いの客は間違いなく減っている。客の買上点数も依然として少ないままである。,
,,□,コンビニ（エリア担当）,来客数の動き,・３か月前と比べて、特に変化がみられない。,
,,□,衣料品専門店（経営者）,お客様の様子,・物価がこれだけ上がり、消費者の実質賃金も減っている現状から、コロナ禍前のような消費の動きとはなっていない。安い商品を買うのが買物行動としてメジャーになっている。,
,,□,衣料品専門店（店長）,お客様の様子,・今年に入り、コロナ禍明けが鮮明となっている。新生活の時期を迎えて、新規客が明らかに増えており、忙しくなっている。ただし、衣替えに対する客の反応はとても鈍く、全体としてはややプラスの状況にとどまっている。,
,,□,衣料品専門店（エリア担当）,来客数の動き,・来客数の前年比が毎月ほぼ変わっておらず、前年をやや下回って推移している。ただし、外国人観光客や観光関連の従業者が多い地域の店舗では来客数が伸びている。,
,,□,乗用車販売店（従業員）,販売量の動き,・ここ数か月、新車の受注が低調に推移している。,
,,□,住関連専門店（役員）,販売量の動き,・３か月前と比べて、前年比の動きに変化がみられない。,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格の高止まりにより、客の節約志向が強まっている。,
,,□,その他専門店［造花］（店長）,お客様の様子,・催事において、実際の商品を確認するために来場する客が多く、即決購入する客が少なかった。また、必要な物を必要数だけ購入する傾向も続いている。,
,,□,高級レストラン（スタッフ）,販売量の動き,・２月は天候に左右された。前半は温暖な日が多く、売上も良かったが、後半は降雪や低温の影響で地元客が減り、売上も今一つであった。ランチは満席近い利用がみられるが、夜は予約状況が悪く、団体客を中心に来客数が減っている。,
,,□,高級レストラン（スタッフ）,来客数の動き,・例年２月は来客数の落ち込む時期である。今年はインバウンド需要が回復しているものの、国内客は相変わらず厳しい状況にある。,
,,□,観光型ホテル（スタッフ）,販売量の動き,・販売量が伸び悩んでいる。インバウンドを中心に利用はみられるものの、販売ペースが鈍化している。,
,,□,旅行代理店（従業員）,販売量の動き,・前月と状況は変わらない。国内旅行の販売量は順調に推移しているが、海外旅行の販売量はコロナ禍前の３割程度までしか回復できていない。円安に伴う海外旅行の費用上昇、燃油サーチャージの高騰が影響している。,
,,□,旅行代理店（従業員）,お客様の様子,・コロナ禍からの反動需要が継続している。先行きの旅行に対する問合せが個人客、団体客共、多くみられる。旅行代金の設定についても、物価の上昇にけん引されて、ある程度の増額であれば、客に許容されるようになっている。また、インバウンドの入込がコロナ禍前の数値に近づいていることもプラスである。,
,,□,タクシー運転手,来客数の動き,・前年５月末に15％の運賃引上げを行ったほか、12月に200円の迎車料金を導入したことで、前年と比べて約20％の値上げとなっているなか、２月の売上は前年比プラス20％とまずまずであった。うるう年で例年よりも営業日数が１日多いため、その分の売上が前年より増えている。前年末から若いドライバーの採用ができるようになり、稼働台数が前年と比べてやや増えていることもプラスである。,
,,□,タクシー運転手,販売量の動き,・人手不足が顕著であるため、冬季繁忙期にもかかわらず、稼働率の向上につながっていない。,
,,□,タクシー運転手,来客数の動き,・例年と同様に、冬を迎えて観光客などの利用が激減している。一方、地元客の利用はコロナ禍前の８割程度の水準まで回復している。,
,,□,住宅販売会社（経営者）,販売量の動き,・建売住宅が引き続き売れていない状況にある。それに伴って、材料や資材などの販売も停滞している。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客の購入意欲は依然として高い。事前に購入希望の部屋タイプとそれに合わせた予算を綿密にシミュレーションしている客も多く、商談に要する時間が比較的短い状況にある。,
