Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・６月の来客数は年度当初の見込みを30％上回る状況で推移している。割引率の高い団体客が大きく減少している一方で、個人客が大幅に増えていることから、客単価が大きく上昇しており、営業利益も上向きとなっている。
,,○,商店街（代表者）,来客数の動き,・料金負担が発生する駐車場の利用客やバスの乗降客の動きから、来街者数が増加しているような状況は確認できなかったものの、各店舗やホテルの駐車場では、２～３か月前と比べて満車となる時間帯が多くみられた。観光客も含めて、市外から訪れる客が増加傾向にあることがうかがえる。また、若年層の来街者も前年と比べて増えている。特にコンビニや駅周辺の店舗は売上を伸ばしたとみられる。
,,○,一般小売店［土産］（経営者）,お客様の様子,・６月の売上は2023年比で118.8％、2022年比で231.8％、2021年比で1661.5％、2020年比で1237％、2019年比で126.3％となっている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・取引先からの受注量が増えている。客単価も上昇傾向にある。
,,○,百貨店（売場主任）,単価の動き,・夏物衣料品の動きをみると、全体的な販売量が大きく伸びているわけではないが、国内外の富裕層の客単価が伸びている。
,,○,高級レストラン（スタッフ）,販売量の動き,・ゴールデンウィーク以降、飲食と比べて物販の動きが鈍くなっていたが、ここに来て物販の販売量がやや増加しており、全体売上の底上げが図られるようになっている。
,,○,旅行代理店（従業員）,お客様の様子,・全般的に予算にシビアな会社が少なくなっていることから、景気はやや良くなっている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・旅客の伸びが若干鈍くなっているものの、車両、特に乗用車の輸送量が増加している。
,,□,商店街（代表者）,来客数の動き,・６月は比較的天候に恵まれたことから、まずまずの売上を維持できた。周辺のイベントの集客も好調であり、こうした流れが続くことを期待している。
,,□,スーパー（企画担当）,販売量の動き,・緩やかな物価上昇局面にあることもあって、全体的な販売量は落ち込んでいるものの、１人当たりの買上点数は前年を維持している。
,,□,スーパー（役員）,お客様の様子,・食品の値上がりが続くなか、金を使うときは使って、それ以外のときは節約するというメリハリがみられるようになっている。観光やイベントなどで人が動いているものの、全体的な景気は横ばいで推移している。
,,□,コンビニ（エリア担当）,販売量の動き,・客の動きをみると、依然として、価格の安い店舗で必要な物しか購入しない傾向がみられる。賃金の上昇による効果を期待していたが、変化はみられない。観光客の動きも前年と比べて鈍くなっている。
,,□,衣料品専門店（エリア担当）,単価の動き,・３か月前と比べて、売上は変わっていない。客単価は若干上昇しているが、来客数が伸びてこないことから、衣料品以外への支出が増えていることがうかがえる。こうした流れは３か月前と同様であり、景気は変わっていない。
,,□,乗用車販売店（従業員）,販売量の動き,・自動車の生産状況が変わらなければ、状況は変わらない。自動車メーカーの不正検査問題が新たに発覚したが、今のところ、販売への影響はみられない。
,,□,住関連専門店（役員）,販売量の動き,・売上は前年並みに回復しているものの、需要が一部の季節商材に偏っている。販売量が回復していない商材も多く、買上点数と来客数が前年を下回っていることから、３か月前と比較して景気が上向いているとはいえない状況にある。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格が高値のまま推移していることから、客の節約志向が強くなっている。年内は燃料油価格激変緩和対策事業が継続するようであるが、その後が不透明なことも心配である。
,,□,その他専門店［造花］（店長）,お客様の様子,・前年と比較して客単価が低下傾向にある。取引件数だけでみると、そこまで変化はみられないが、大規模受注がないことから、月全体でみると、売上が大幅に減少している。
,,□,高級レストラン（スタッフ）,販売量の動き,・６月下旬まで天候不順が続き、外食控えの動きがみられたことから、売上は前年を下回るとみられる。また、客単価が低下傾向にあることから、客の節約志向の高まりがうかがえる。ＳＮＳで外食情報が減少していることもマイナスである。知り合いの農家レストランでは、天候不順の影響でいちご狩りのいちごが赤くならず、売上に大打撃を与えたとのことであり、気候変動に対する不安感が強まっている。
,,□,スナック（経営者）,来客数の動き,・客の入込が少しでも良くなることを期待していたが、来客数は４月や５月と比べても変わらなかった。
,,□,旅行代理店（従業員）,お客様の様子,・法人の団体旅行については、需要が回復していない。特に海外旅行は円安の影響を強く受けており、提案しても実施に至らないことが多い。国内旅行についても、全国旅行支援の反動を受けて、前年を下回る傾向が続いている。
,,□,タクシー運転手,来客数の動き,・６月のタクシー１台当たりの売上は、昼も夜も前年とほぼ同様であった。前年の秋以降、乗務員の採用に注力していることもあって、ここ数年減少し続けていた乗務員が増加に転じており、現在、ドライバーが前年比で25％増加している。ドライバーが増えた分、タクシーの稼働も増えており、売上は前年から約25％の増加となった。
,,□,タクシー運転手,販売量の動き,・慢性的に乗務員が不足しており、夜間の運行が手薄になっている。一方、地域のイベントなどが活発に行われていることから、今後のタクシー稼働が上向くことを期待している。
,,□,美容室（経営者）,来客数の動き,・相変わらず客の消費意欲が低調なままであり、来店周期が長くなっている。関連商材の売上も低調に推移している。
,,□,住宅販売会社（経営者）,単価の動き,・住宅着工数が増えていないこと、原材料価格と人件費が高止まりしたままであることから、景気は変わらない。
,,□,住宅販売会社（従業員）,来客数の動き,・イベントの来客数が減少している。
,,▲,商店街（代表者）,単価の動き,・物価の上昇に伴って、買上点数が減っている。客単価の２極化も一層進んでいる。
,,▲,商店街（代表者）,お客様の様子,・客との会話で、景気が良くなっていることがうかがえるような話がみられなかった。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・夏前ということもあって、インバウンドの入込は余り多くなかった。国内線の利用客は、前年と比べて年配客が増えているものの、若い世代の客が前年よりも減っている。前年に新型コロナウイルス感染症が５類感染症に移行したことの反動もあって、前年ほど多くの世帯が動いていない。旅行先の選択肢が広がっていることも影響している。
,,▲,スーパー（店長）,来客数の動き,・これまでは値上げによる商品単価の上昇で、来客数の減少分をカバーできていたが、６月については、来客数の減少幅が大きく、商品単価の上昇でカバーできなかった。気温が上がらないこともあって、特に衣料品部門の来客数が顕著に減少している。
,,▲,スーパー（店長）,販売量の動き,・物価高に歯止めがかかっていないことから、景気はやや悪くなっている。
,,▲,スーパー（店長）,来客数の動き,・物価が上がっているなか、収入がそれほど増えていないこともあって、客の買物回数が減少傾向にある。
,,▲,コンビニ（エリア担当）,来客数の動き,・前年は卵不足で卵の価格が上昇するなか、購入者が殺到したことから売上が伸びていたが、今年はその反動もあって売上が前年を下回っている。それに加えて、４月以降も収入が増えていない世帯が多いなか、商品の値上げが続いていることから、全体的に消費が落ち込んでいる。
,,▲,乗用車販売店（経営者）,競争相手の様子,・自動車メーカーの不正検査問題の影響が大きい。受注及び生産を停止している車種が多いことから、地区全体の受注状況が厳しくなっている。
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・当店は60代から80代にかけての客が多く、売上の大部分を担っている。ここに来て、そうした年配客の来店率が明らかに低下している。これからの生き残りに向けては、若い年代の客の健康志向が強まっていくことが必須条件となる。
,,▲,高級レストラン（スタッフ）,来客数の動き,・賃金上昇の動きは地方には届いていない。一方、物価上昇が収まらないことから、消費を控える傾向が強まっている。当店においても、客足が鈍化している。
,,▲,観光型ホテル（経営者）,来客数の動き,・ゴールデンウィーク以降、空港のグランドハンドリング人材とジェット燃料の不足により、国際便の就航中止が相次いでいる。インバウンドが急減しており、市場が冷え込んでいる。
,,▲,旅行代理店（従業員）,来客数の動き,・国内路線の利用状況をみると、ビジネス需要の減少が続くなか、前年度まではコロナ禍で蓄積していた帰省需要や観光需要の回復により補填できていた。しかしながら、今年度に入ると、帰省需要や観光需要が一段落し、ビジネス需要の減少が顕在化している。物価上昇の影響もあって、全体的に人の動きが鈍っており、コロナ禍前の水準まで回復していない状況がいまだに続いている。
,,▲,旅行代理店（従業員）,来客数の動き,・来客数の減少が加速している。一方、他社の商材も含めて、インターネットに関する質問のために来店する客が増加している。
