Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［酒］（経営者）,販売量の動き,８月の売上は好調であった。購買に力強さがみられた。
,,◎,旅行代理店（従業員）,来客数の動き,・国内線の航空需要は、夏の繁忙期を迎えたことで観光客や帰省客が増加している。７月の航空便の利用客数はコロナ禍前の水準に回復している。国際線の航空需要は、韓国や台湾からのインバウンド客が好調に推移していること、中国との直行便がようやく増えてきたことから、コロナ禍前の８割強の水準まで回復している。
,,◎,観光名所（従業員）,来客数の動き,・単月の来客数は、これまで北海道新幹線の開業効果のあった2016年が過去最高であったが、今年８月の売上、営業利益はいずれも2016年を上回っている。
,,○,商店街（代表者）,来客数の動き,・８月初旬及び中旬は、毎年恒例のイベントである夏祭りが行われたこともあって、来街者数が増加した。また、夏祭り期間中の花火大会などの効果で、ホテルを利用する来街者も前年と比べて増えた。下旬は、来街者が落ち込んだものの、月全体でみると、来街者が多くみられ、多くの業種が前年よりも売上を伸ばしたとみられる。
,,○,一般小売店［土産］（経営者）,お客様の様子,・８月の売上は2023年比で123.9％、2022年比で222.1％、2021年比で531.4％、2020年比で529.3％、2019年比で122.3％となっている。
,,○,百貨店（販売促進担当）,単価の動き,・円安の影響もあって、インバウンドを中心に購買客数が増加しており、客単価も上がっている。
,,○,スーパー（店長）,来客数の動き,・米の販売量が増えていることで売上は良かった。また、売上増加に向けた様々な取組を少し前から行っており、その効果が徐々にみられ始めている。
,,○,スーパー（企画担当）,来客数の動き,・お盆の帰省客と観光客の増加により、来客数が伸びている。特に観光地に立地している店舗は好調であった。
,,○,コンビニ（エリア担当）,来客数の動き,・インバウンドが回復していることもあって、観光地の店舗を中心に来客数が増加している。
,,○,高級レストラン（スタッフ）,来客数の動き,・例年であれば、お盆の帰省期間が終わると、来客数が急激に減少することになるが、今年はインバウンドを含めた観光客の来店が増加している。特に週末は繁忙期と同様の来客数がみられている。
,,○,旅行代理店（従業員）,来客数の動き,・来客数が確実に増えている。
,,○,旅行代理店（従業員）,お客様の様子,・同業他社も含めて、取扱額が前年実績を上回っており、客単価も上がっている。宿泊施設やバスなどの手配において、満席との回答が返ってくることも多く、全体的に需要が供給を上回っている状況にある。
,,○,美容室（経営者）,お客様の様子,・お盆シーズンということもあって、人の動きが活性化しており、それに伴って当店の来客数も増加している。また、８月に入ってから値上げを行ったところ、多くの客が理解を示しており、安心している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・旅客も、車両も好調に推移している。特にインバウンドを含めた個人客の増加が目立っている。
,,□,商店街（代表者）,来客数の動き,・天候に恵まれたこともあって、前年と比べると、夏のイベントの人出がかなり増えている。店舗の来客数もやや増えている。
,,□,商店街（代表者）,来客数の動き,・全般的に景況感は上向いていると考えていたが、上半期の景況判断などをみると、インバウンド消費が伸びている一方で、個人消費が若干落ち込んでいる。個人消費が落ち込んでいる要因が分からないため、やや不安である。
,,□,一般小売店［土産］（経営者）,お客様の様子,・夏休みに入り、家族連れの客がかなり増えてきた。こうした旅行客は欲しい物は節約せずに買う傾向があるため、売上にもプラスとなっている。周りをみても、人気のある店は常に大行列ができていたり、限定商品などが数時間で売り切れるなど、消費意欲の旺盛な状況がみられる。
,,□,スーパー（役員）,来客数の動き,・観光客や帰省客の増加が売上の増加に結び付いている。人の動きは完全にコロナ禍前の状態に戻っている。
,,□,スーパー（従業員）,単価の動き,・物価が引き続き上昇傾向にあるため、景気は３か月前と変わらない。
,,□,コンビニ（エリア担当）,来客数の動き,・旅行やイベントの集客が好調なこともあって、観光地の店舗の売上は前年を上回っている。一方、通勤や通学での利用が中心の店舗は、客の来店頻度の低下や買い控えがみられ、苦戦している。
,,□,衣料品専門店（エリア担当）,来客数の動き,・前年は残暑が厳しく、夏物を買い求める客が多く来店したが、今年は前年ほど暑さが厳しくない分、来客数が前年を下回っている。ただし、前年のような天候であれば、来客数がある程度伸びていたとみられることから、景気は３か月前と変わっていない。
,,□,乗用車販売店（従業員）,来客数の動き,・例年８月は夏枯れの時期ということもあって、来客数が最低限の水準にとどまっており、これまでと同様に厳しい状況にある。新型車があることから、購入に向けた動きはある程度みられるが、店舗間や他社との格差が少なからずみられるなど、全体的な景気はそれほど良くない。
,,□,自動車備品販売店（店長）,来客数の動き,・店舗への客足はそれほど変わっていないが、購買客数が前年比90％と落ち込んでいる。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品の価格に変化がみられないことから、景気は変わらない。
,,□,高級レストラン（スタッフ）,販売量の動き,・観光客の増加が追い風となり、売上は悪くない状況にあるものの、地元客が減少傾向にある。じわじわと客単価が下がっており、客層も変わってきていることから、今後に向けての不安もある。一方、仕入れに関しては、コロナ禍の影響で中止されていた全国企業の食品展示会の再開が相次いでいることから、適正価格の食材を探すなどして、支出の見直しを進めたい。また、今夏は例年よりも高温多湿のため、スタッフの疲労蓄積がみられている。９月前半までは暑い日が続くとみられることから、夏バテや夏風邪など、従業員の健康管理に配慮する必要が出てきている。
,,□,スナック（経営者）,来客数の動き,・８月は暑さが厳しかったが、来客数の変動は余りみられなかった。
,,□,旅行代理店（従業員）,販売量の動き,・宮崎県の地震や南海トラフ地震臨時情報の発表、猛暑や台風の上陸など、旅行敬遠につながる要因が多く、予約の低迷や旅行の取りやめといった動きがみられる。ただし、３か月前も景気が良くなかったことから、下げ止まりという評価になる。
,,□,タクシー運転手,来客数の動き,・８月のタクシー１台当たりの売上は前年並みであった。ただし、前年10月以降、乗務員の採用が増えており、前年よりも乗務員が35％増えていることから、会社全体の売上は前年から約35％の増加となった。コロナ禍前の2019年と比較すると、乗務員はまだ約10％少ないものの、会社の売上はほぼ同じ水準まで回復している。
,,□,タクシー運転手,来客数の動き,・お盆期間中のタクシー利用やイベント関連のオーダーがやや増加したものの、お盆期間の前後は利用がやや落ち込んだことから、月全体の利用客数は余り変わっていない。
,,□,タクシー運転手,来客数の動き,・人の流れは前年並みであり、景気が大きく変わるような動きも見当たらなかった。
,,□,美容室（経営者）,販売量の動き,・８月の売上はやや減少したが、ここ３か月と比べても、景気が下向いているというほどの落ち込みはみられなかった。
,,□,住宅販売会社（従業員）,来客数の動き,・建築資材が高止まりしていることから、販売価格が下がる様子はみられない。また、金利の引上げに伴い、住宅ローンの借入額の上限が引き下げられることになるため、住宅取得のマインドが低下している。建築する建物も小ぶりな物件が増えている。
,,▲,商店街（代表者）,お客様の様子,・客の動きは決して良いものではない。値上げの動きが続いていることから、日々の買物に悩んでいる様子がうかがえる。
,,▲,百貨店（売場主任）,単価の動き,・物価が上昇していること、以前よりも円高になっていることから、海外富裕層の購買単価が低下している。
,,▲,スーパー（店長）,来客数の動き,・商品単価が上昇している一方で、来客数及び買上点数が減少している。その結果、売上が減少している。
,,▲,スーパー（店長）,販売量の動き,・物価上昇の動きが落ち着いてこないことから、景気はやや悪くなっている。
,,▲,スーパー（店長）,お客様の様子,・客の様子をみると、必要な物しか買っていない。
,,▲,スーパー（企画担当）,来客数の動き,・物価高が続いていることから、客の来店頻度が低下している。そのため、足元の買上客数は減少傾向をたどっている。
,,▲,コンビニ（エリア担当）,販売量の動き,・夏の最盛期の売上が前年を下回っている。天候要因以外にも、消費を冷え込ませている要因があることがうかがえる。
,,▲,乗用車販売店（経営者）,販売量の動き,・販売量の動きに停滞感がみられる。食材などの価格上昇やエネルギー価格の高止まりに加えて、観光などに支出がシフトしていることもあって、高額商材の買い控えが感じられる。
