Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,スーパー（店長）,・食品部門における来客数の回復傾向は今後も続く。また、前年は全く売れなかった高額ワインに動きが出ているほか、ボジョレーヌーヴォーが発売初日に完売するなど、前年にはみられなかった動きも出ている。
,,○,観光型ホテル（経営者）,・デフレ傾向ではあるが、需要が底を打っていることから、今後についてはやや良くなる。
,,○,通信会社（社員）,・今後、地上デジタル放送への移行キャンペーンが全国的に広がってくるため、消費者の意識が強まることにより、地上デジタル放送の再送信が可能なケーブルテレビに対するニーズが高くなり、受注量の増加が見込める。ユーザーは地上デジタル放送という言葉は知っていても、受信するための具体策を知らない人も多いため、その部分のケアをしっかり行うことができれば、ビジネスチャンスにつながる。
,,○,通信会社（企画担当）,・前年よりも幅広いラインナップ、価格帯で通信サービスを提供できていることに加えて、競合他社に対抗できるキャンペーンを準備していることから、売上の増加が期待できる。
,,□,商店街（代表者）,・今、冬物衣料が売れていないことから、バーゲンで動きが出てくることが期待できるが、客の様子をみると、本当の底値まで待つ状況がうかがえることから、売上的には良くはならない。
,,□,スーパー（店長）,・来客数は前年を上回って推移しているが、経済環境の悪化が再び強まる気配があるため、今後も引き続き増加傾向で推移していくことが期待できない。
,,□,スーパー（役員）,・失業者の増加による平均所得の減少、農家収入の減少、一部の生鮮食品の相場安などの影響で、商品単価が低下することが心配される。
,,□,コンビニ（エリア担当）,・ここ数か月、来客数の前年比がほぼ同じ状況となっているため、今後についても変わらない。
,,□,コンビニ（エリア担当）,・ボーナスの減額や就職難など景気を低迷させる要因が多い。公共事業も縮小され、現場作業に従事している男性客の減少も続いており、今後も良くならない。
,,□,衣料品専門店（店長）,・客との会話で、ボーナスも支払われず、会社がいつ潰れるか分からないという話をよく聞くため、今後について、あまり明るい期待はできない。
,,□,家電量販店（店長）,・エコポイント制度が終わるまでは、地上デジタル放送の特需は継続するが、その後の柱となりうる商品群にそれ以上の効果が見込めない。
,,□,その他専門店［医薬品］（経営者）,・風邪などの季節的な流行を受けて、医療関係では売上が増加する面があるが、今年は家庭での防衛策が強くなりそうなため、今後も変わらないまま推移する。
,,□,旅行代理店（従業員）,・１月分の売れ筋商品の立ち上がりは良かったが、その後の伸びに欠けている。１～２月の旅行需要が盛り上がらないまま、４月以降に目が向き始めている。
,,□,観光名所（役員）,・観光入込に対して、新型インフルエンザなどのマイナス要因がある一方で、プラス要因が見当たらないことから、引き続き厳しい状態で推移する。
,,□,美容室（経営者）,・客の様子から、暗い印象や家計を心配している様子はほとんどうかがえないが、これといった好材料もないため、今後についても変わらない。
,,▲,商店街（代表者）,・今後も景気回復は望めない。中心街を構成している百貨店や専門店はデフレへの対応力が弱い体質であり、デフレスパイラルが進んでいる現状では、今後も来街者が減少する。
,,▲,商店街（代表者）,・客の反応をみると、ますます価格に敏感になっている。こうした傾向は景気の動向に左右されるものではなく、今後、更に激しさを増す。
,,▲,一般小売店［酒］（経営者）,・マスコミ等で盛んに報道されているように、景気の２番底が心配されていることから、今後、更に消費が冷え込んでくる。年末に中小企業の倒産が相次ぐとの予想もあり、買い控えが更に顕著になってくる。
,,▲,百貨店（売場主任）,・12月のボーナスの減少に加えて、冬物の値下げが早まることにより、売上が減少する。１～２月は、春物の販売にはまだ早いため、今後については非常に厳しい状況となる。
,,▲,スーパー（店長）,・価格競争がますます進み、利益率や客単価の低下が避けられなくなるため、今後の景気は悪くなる。
