Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,・通常の年末需要に加えて、エコポイント制度が相乗効果となって、薄型テレビの販売が堅調に推移する。
,,○,家電量販店（店長）,・エコポイント制度におけるポイント申請に伴う商品券等の使用が増加するため、今後については良くなる。
,,○,家電量販店（地区統括部長）,・ここ２年間、ＯＡ機器やパソコンの不振が続いていたが、新しいＯＳの発売に伴い、パソコンの売行きが上向く。
,,□,商店街（代表者）,・来客数、単価が落ち込んだままの状況が続いている。イベントやセールを仕掛けても前年の50％達成が当たり前という状況であり、今後も変わらないまま推移する。
,,□,商店街（代表者）,冬のイルミネーション事業とクリスマスイベントが11月末から行われることから集客増が見込まれる。年末商戦の販促イベントと相まって、特に衣料品及び食料品の販売量が増加する。
,,□,商店街（代表者）,・節約ムード、デフレ、所得低迷などの傾向は変わらないため、客の消費動向も消極的なままで推移する。特に最近は若者層の購買力が低下している。
,,□,商店街（代表者）,・２～３か月後はセール商戦真っ最中となるが、現在の景気の状態等からは、ボーナスへの期待感などで購買意欲が増すことにはならず、現在の状況とそれほど変わらずに推移する。
,,□,一般小売店［酒］（経営者）,・今年に入ってから、底ばいの状況が続いており、現在の社会情勢を考慮すると短期間で変わるのは難しい。
,,□,百貨店（役員）,・客の低価格志向が更に鮮明になりつつある。客単価が低下することで、低価格商品を取り扱う店舗の来客数、販売量は伸びることになるが、低価格志向に対応できない百貨店業界は厳しさが続く。
,,□,スーパー（店長）,・来客数は前年を上回っているが、単価の低下傾向は変わらないため、今後も変わらないまま推移する。
,,□,スーパー（役員）,・今年は農作物の作柄が悪く、今後の農家の収入が激減する。来客数や客単価などの数値の動きからやや良くなるとの期待感もあるが、地域特性から農家の収入減少が景気に大きな影響を与えることになる。
,,□,コンビニ（エリア担当）,・自動車産業では回復がみられるが、影響が限定的であり、地域全体の景気を引上げるほどの経済効果は無い。また、他の製造業は依然として回復がみられないため、消費の抑制が当面続く。そのため、小売業は値引き競争がより激化することになる。
,,□,コンビニ（エリア担当）,・引き続き週末や休日の来客数が前年を上回って推移しているが、平日は夜間を中心に来客数の減少が続いている。全体的には、客の消費マインドの低迷が続いており、今後も変わらないまま推移する。
,,□,家電量販店（店員）,・エコポイント制度の効果により、引き続き薄型テレビや冷蔵庫の販売量が伸びていることから、今後も変わらないまま推移する。
,,□,乗用車販売店（営業担当）,・今後については、メーカーによるハイブリット車の投入の効果で、市場がある程度は活性化する。
,,□,その他専門店［医薬品］（経営者）,・客の健康に対する関心度は相変わらず高いが、財布のひもは固いままであることから、今後についても変わらないまま推移する。
,,□,一般レストラン（スタッフ）,・相変わらず客単価の低下が続いていることから、今後もデフレ傾向が続く。
,,□,旅行代理店（従業員）,・11～12月の受注状況は前年とほとんど変わっていないことに加えて、現在の低価格商品へのシフトを考慮すると、今後の景気が上向くことはない。
,,□,タクシー運転手,・10月１日からタクシー適正化・活性化法が施行され、新規参入や増車が規制されるようになるが、今まで増えすぎたタクシーを減らすような方策はすぐには実行できないため、これまでの供給過剰な状況に変わりはなく、景気もすぐに良くなることはない。
,,□,タクシー運転手,・電話注文数が増加するような要因が見当たらない。
,,□,通信会社（社員）,・必要最低限の商品を選ぶ客の思考が相変わらず強く、景気向上策や魅力的な新商品が出ない限り、現在の状況は変わらない。地上デジタル放送やインターネット、固定電話などのサービスの普及もある程度進んでいるため、低価格競争が進まない限り、客の購買意欲は変わらない。
