Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,家電量販店（店員）,・エコポイント制度の効果で、３月までは薄型テレビが好調に推移する。
,,○,タクシー運転手,・売上は依然として厳しいが、前年比の落ち込み幅が減少していることから、今月よりは良くなる。また、タクシー適正化・活性化法の効果が現れることも期待される。
,,○,通信会社（社員）,・顧客の反応をみると必要な物には支出増もやむなしの感があり、今後はいかに良い商品を選ぶかがポイントになってくる。放送・通信サービスの普及が落ち着いてきて、各社のサービス内容が出そろってきた現状を踏まえると、他社への切替えがより激しく進むことになり、マーケット自体は活況となる。
,,○,住宅販売会社（従業員）,・年末と比べると、例年、１～３月の販売量は２倍ぐらいに増える。今後は販売価格を一段と下げなければならないが、春先は販売量が伸びる分だけ、事業収益は上向く。
,,□,商店街（代表者）,・冬物を最終処分セールまで待って買う客がいるため、２～３月までは冬物による売上が多少見込めるが、春物のトレンドがまだはっきりしないことから、何とも言えない状況にある。
,,□,一般小売店［酒］（経営者）,・今月の売上をみると、ここ最近の中では、前年比の減少幅が縮小していることから、やや良い方向に向かっているが、デフレ傾向が強いことなどを考えると、消費者の買い控えは今後も続くため、現在の状況がしばらく続く。
,,□,百貨店（売場主任）,・好転要因が見つからないため、ここ数か月の傾向が変わらないまま推移する。
,,□,百貨店（販売促進担当）,・12月はお歳暮、クリスマス、正月といった季節要因により、生活モチベーションのある月だったが、１月以降は11月までの厳しい状況に戻る。
,,□,スーパー（店長）,・今後も食品の単価低下傾向、必要最低限の買物傾向が続く。正月明けは、財布のひもが固くなり、競合店との価格競争も激化する。
,,□,スーパー（企画担当）,・現在の施策に対する不安が客の間に広がっており、今の状態がしばらく続いても持ちこたえることができるような生活レベルを維持する動きが強まり、今後も変わらないまま推移する。
,,□,スーパー（企画担当）,・冬のボーナス支給による消費喚起の動きはほとんど感じられなかった。子ども手当の支給決定などの報道もみられるが、将来不安が払しょくできないなかでは、効果は期待薄である。
,,□,家電量販店（店長）,・家電業界はエコポイントがかぎを握っているため、来年度以降のエコポイント対象機種の動向により大きく変動する。
,,□,家電量販店（地区統括部長）,・世間一般的に不況のなか、必要な物しか買わないという傾向は、今後も続いていく。エコポイント以外の景気対策が行われない限り、薄型テレビだけが売れて、それ以外の商品は必要になった時にしか買わないことになる。
,,□,乗用車販売店（従業員）,・これ以上良くなるとは思えないため、エコカー減税などの補助金政策が打ち切られることになれば、今後に期待できない。
,,□,高級レストラン（スタッフ）,・新卒の高校生や大学生の就職率の低迷に代表される雇用不安に加えて、新政権への失望感から、今後についても悪いまま推移する。
,,□,一般レストラン（スタッフ）,・政権交代後の経済政策に不安があるため、今後についても変わらない。
,,□,観光型ホテル（経営者）,・現在の状況を改善するほどの好材料が見当たらないため、引き続きデフレ傾向が強まり、宿泊単価が下落する。
,,□,旅行代理店（従業員）,・２月の先行受注額をみると、国内旅行が前年比74％、海外旅行が前年比75％となっており、３月についても、国内旅行が前年比80％、海外旅行が前年比71％となっていることから、今後についても変わらない。回復の兆しが感じられない悪い状態が続いている。
,,□,旅行代理店（従業員）,・一部の季節商材が堅調であっても、同時期の売れ筋商品が伸びてこないことに加えて、売れている商品も前年と比べて値下げとなっているため、全体の取扱額を押し上げる要素となりえない。これらのことから、今後についても変わらないまま推移する。
,,□,観光名所（役員）,・国内客の先行きに明るい材料がないため、観光入込は外国人客頼みの状況が続き、当面、厳しい状況のまま推移する。
