Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,スーパー（店長）,・不景気感も一段落し、株価も回復基調にある。前年のリーマンショックのような悪影響もみられないことから、今後についてはやや良くなる。
,,○,スーパー（店長）,・民主党が政権与党となったため、今後の景気対策が期待できる。
,,○,家電量販店（経営者）,・エコポイント制度や定額給付金の給付による効果で省エネ家電の販売が伸びており、今後についても期待できる。
,,○,家電量販店（地区統括部長）,・エコポイント制度の効果が年末まで継続する。
,,○,住宅販売会社（経営者）,・補正予算の効果がじわじわと出てきている。公共工事も徐々に増えてきているため、客のムードも良くなる。
,,□,商店街（代表者）,・経済情勢や新型インフルエンザの影響によっても変わってくるが、客単価が低下している現在の流れは今後も続くため、秋冬商戦は苦戦する。
,,□,一般小売店［土産］（経営者）,・今はお金を使うムードではないという客が多いため、今後についても変わらない。
,,□,一般小売店［酒］（経営者）,・最近の売上動向をみると、10日単位といった短い期間で売上が良くなったり、悪くなったりしている。今年に入ってからは、一進一退の状況が続いているため、今後についても変わらないまま推移する。
,,□,百貨店（役員）,・総選挙後の動向も含めて、今後への不透明感が強すぎるため、様子見がしばらく続く。
,,□,スーパー（店長）,・原油相場が上昇しており、また政治の動きも変わる可能性が高いことから、今後についても客の生活防衛意識は大きく変わらない。
,,□,コンビニ（エリア担当）,・道路工事の増加により、朝の男性客が増えているなど、景気刺激策の効果を感じる部分もあるが、買上点数が伸びていないなど、依然として財布のひもが固く、今後についても変わらない。
,,□,コンビニ（エリア担当）,・自動車産業が復調しているが、前年との比較では大幅に減少しているのが実情である。他の製造業も厳しい状況が続いており、消費の回復はまだ先が見えない。政局の変化が経済にプラスの影響を与えても、小売まで影響が出てくるのは、しばらく先となる。
,,□,コンビニ（エリア担当）,・他系列のコンビニやスーパーなどの競合店の閉店により、売上が増加傾向にあるが、低単価商品の売上が増加しており、来客数の増加率に対して、売上面でのかい離が大きくなっているため、今後についても変わらない。
,,□,コンビニ（エリア担当）,・コンビニを含めて小売業界は現在下向きになっており、今後の動向については不透明な面がある。周辺の環境要因を含めても、厳しいことには変わりない。
,,□,衣料品専門店（店長）,・今までもあまり良くなかったが、秋に差しかかり、灯油などの費用もかかるようになるため、今後についても悪いまま変わらない。
,,□,家電量販店（店員）,・エコポイント制度の効果で、薄型テレビや冷蔵庫は前年よりも売上が伸びるが、その他の家電商品は買い控えが出てくるため、今後については変わらない。
,,□,観光型ホテル（経営者）,・９月の大型連休以外、宿泊予約が前年を下回っており、10～11月にかけても予約数が伸び悩んでいる。
,,□,旅行代理店（従業員）,・今後の新型インフルエンザの動向によって左右される。
,,□,旅行代理店（従業員）,・９月の大型連休の効果もあり、９月の販売額は前年を上回っているが、10月以降の受注の動きが鈍く、下期商品の発表後も同様の傾向が続いている。客単価も改善がみられず、商品も低価格傾向が続いており、秋口から冬場にかけてはあまり期待できない。
,,□,旅行代理店（従業員）,・９月の大型連休の効果でやや上向くとみていたが、新型インフルエンザの再流行を機に、旅行の中止や延期が始まっており、需要が更に先延ばしとなっている。
,,□,タクシー運転手,・タクシーの規制緩和の見直しが10月１日から実施されることに期待していたが、政権が代わったことで、今後の動きが不透明となっている。そのため、景気が急に良くなることはない。
,,□,タクシー運転手,・電話注文数が増加するような要因が見当たらないため、今後についても変わらない。
,,□,観光名所（役員）,・修学旅行の予約状況等から、秋の観光入込に若干の明るさもあるが、新型インフルエンザの流行など、マイナス材料も多々あるため、今後、状況が好転することは難しい。
