Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,家電量販店（店長）,・エコポイント制度の更なる浸透により、今後については良くなる。
,,○,家電量販店（地区統括部長）,・エコポイント制度に伴うポイント還元の影響で、今月よりは需要が上向く。
,,○,観光名所（職員）,・新型インフルエンザの影響や世界的な景気低迷も一段落しており、国内景気もやや好転しつつあることから、今後の行楽シーズンに期待できる。
,,□,商店街（代表者）,・消費の冷え込みが続いており、回復の兆しがみられない。売上減や資金繰りに耐えられない地場企業や小売店の倒産、廃業が続いており、負の連鎖となっていることから、今後についても変わらない。
,,□,商店街（代表者）,・秋物のトレンドが出てきているものの、景気への不安感が解消されないなかで、客が秋物の定価品を買うかどうか分からない面がある。
,,□,商店街（代表者）,・客からは、まだしばらくこの状態が続くだろうという話が出ているため、今後も変わらない。
,,□,一般小売店［酒］（経営者）,・ここ２～３か月、前年比で売上の減少幅が縮小しており、今後もしばらくはこのような状況が続く。
,,□,百貨店（販売促進担当）,・百貨店業界も消費者の低価格志向の強さに対応した対策を講じており、徐々に効果が出てくることが見込まれる。ただ、買上客数が上向いてきても、単価の低下に歯止めがかかるまでには至らず、売上としてはわずかな改善にとどまる。
,,□,百貨店（役員）,・例年の３倍の降雨量となる天候不順の影響で、夏物衣料が全滅するなか、市が発行したプレミアム付商品券の影響で、多少の消費回復につながったこともあり、全体として極端なマイナスとはなっていないことから、今後も変わらないまま推移する。
,,□,スーパー（店長）,・景気が底を打ち、回復基調にあるとの報道もあるが、現場では、まだ数字となって表れておらず、実感も得られない状況であることから、今後も変わらないまま推移する。
,,□,スーパー（企画担当）,・８月の総選挙結果への期待もあるが、選挙のある月の売上は期待できない。
,,□,コンビニ（エリア担当）,・前年より気温が低く、雨の日が多いため、来客数が伸びない一方で、朝の工事に向かう男性客が増えてきている。このまま冷夏で終われば、売上への影響は大きいが、工事などが増えることで、売上の減少分をカバーできるため、全体としては変わらないまま推移する。
,,□,乗用車販売店（営業担当）,・客の購買意欲が高まっているが、国の補助による一時的なものであり、景気が特に上向きになっているわけではない。補助がなくなれば、以前の状態に戻ることも懸念されるため、今後についても変わらないまま推移する。
,,□,高級レストラン（スタッフ）,・総選挙の結果次第では、接待客がある高級店には影響が出てくる。
,,□,観光型ホテル（経営者）,・９月の大型連休を除けば、３か月先までの予約状況が例年に比べて低調なため、今後も変わらないまま推移する。
,,□,旅行代理店（従業員）,・取扱人員数の伸び悩みと商品単価の低下が続いていることから、今後も変わらないまま推移する。
,,□,旅行代理店（従業員）,・経費削減のため、企業や官庁の出張が前年比75％程度の売上となっており、年度内はこの傾向が続く。また、個人需要も低単価傾向が続いており、下期の商品への問い合わせもあまりみられない。このため、現在の悪い状態が当分続く。
,,□,旅行代理店（従業員）,・新型インフルエンザや金融危機の影響からは持ち直してきつつあるが、８～９月の受注状況が前年並みであることから、今後２～３か月先については変わらない。
,,□,タクシー運転手,・タクシーの需要が減っているなか、４月から営業を始めた新規業者が増車で台数を増やしている。まだ乗務員は集まっていないようであるが、競争がますます激しくなることが見込まれるため、今後も厳しいまま変わらない。
,,□,タクシー運転手,・市内の景気は相変わらず低調で推移している。特に、夜の繁華街は客が全く見当たらない状況であることから、今後についても変わらないまま推移する。
,,□,通信会社（企画担当）,・競合他社の動きが低調であるものの、自社も他社と差別化できるサービス、商品を出し切れていないため、今後も変わらないまま推移する。
,,□,観光名所（役員）,・観光入込客が低迷している傾向に変化はないことから、今後も当面底の見えない状況が続く。
