Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・現在の不景気はしばらく続くとみられるが、トレンド、プライスの見直しなど、春にかけて商品作りの研究がされてきているため、今よりは多少良くなる。
,,□,スーパー（役員）,・今年は厳しい寒さの日も少なく、灯油価格も前年１～２月の70％程度で推移している。また、商品の市場価格も下がってきている。こうした好材料があることから、今後も引き続き良い状態で推移する。
,,□,コンビニ（エリア担当）,・来客数も売上も前年を上回っており、新聞で言われるほど景気が悪いという実感はないが、派遣労働者の雇止めなどの影響から、客の財布のひもが固くなり、低単価志向が強まる。
,,□,家電量販店（経営者）,・３～４月の新生活需要に期待したいが、今と状況はさほど変わらない。
,,□,観光型ホテル（経営者）,・様々な企画を準備しているが、なかなか集客できない状況にあるため、今後も変わらないまま推移する。インターネットによる個人客だけが順調だが、波があること、規模がまだ小さいことなどから、大きな期待はできない。
,,□,旅行代理店（従業員）,・受注状況の芳しくない状態が続いている。国内旅行、海外旅行共に旅行需要を喚起するようなイベントもないため、今後についても厳しいまま変わらない。
,,□,その他レジャー施設（職員）,・当施設のスポーツジムは公共性が高く、格安料金で利用ごとの支払ができるため、会員制のスポーツジムから客が流れてきているが、大きな変化はないとみられる。
,,▲,商店街（代表者）,・政治不安、決算期における赤字決算、倒産の増加、雇用の悪化などにより、家計がますます厳しくなるため、今後についてはやや悪くなる。
,,▲,百貨店（販売促進担当）,・顧客心理が閉塞感で埋め尽くされている。今後、しばらく景気が良くならないのであれば、今、物を買うことに金をかけるべきではないという意識が更に強くなる。消費の最前線でもデフレスパイラルが懸念される。
,,▲,百貨店（役員）,・全く先の読めない状況にある。マスコミが悪く書きすぎることは、消費にとってかなりのマイナス要因となる。
,,▲,スーパー（店長）,・北海道を代表する百貨店が民事再生法の手続きを取るなど、中小企業のみならず、大企業も大幅な赤字に転落するという連日のマスコミ報道で、ますます先行きの生活不安が高まり、財布のひもを固くする。
,,▲,コンビニ（エリア担当）,・工場での従業員解雇の影響により、１月に入ってから早朝、夜間の売上が減少している。日中の売上は増加しているが、早朝夜間の減少分をカバーするまでには至っていない。また、酒やビールの売上も減少が続いている。今後の雇用回復が不透明であることから、今後についてはやや悪くなる。
,,▲,衣料品専門店（店長）,・近ごろ、全てのマスコミが派遣切りなど、不景気に輪をかけた報道ばかりしているため、今後、更に客のマインドが低下する。
,,▲,その他専門店［医薬品］（経営者）,・客の買い渋りが始まっており、医薬品ですら買うことをためらっていることから、今後についてはやや悪くなる。
,,▲,その他専門店［ガソリンスタンド］（経営者）,・ガソリン以外の車関連商品の買い控えが目立ってきていることから、今後についてはやや悪くなる。
,,▲,旅行代理店（従業員）,・厳しい年度末決算の数値が日々メディアに流れ、先行きへの不安感が募ることになるため、今後についてはやや悪くなる。
,,▲,タクシー運転手,・景気とタクシーは連動していることから、景気回復が期待できない状況では、売上も伸びるはずがない。今後、タクシーの乗り控えが更に増える。
,,▲,美容室（経営者）,・自分で毛染めをしたり、カットの来店周期を長くするなど、客の節約意識が強くなってきていることから、今後については売上が停滞する。
,,×,商店街（代表者）,・商店街への来街者が日に日に減少していることから、今後については悪くなる。
,,×,一般小売店［土産］（経営者）,・今後、更に景気が落ち込むだろうということで、今は徹底してお金を使わないという会話が相当多く聞かれる。このため、今後については悪くなる。定額給付金も、使わずに貯金しておこうというムードになっている。
,,×,百貨店（売場主任）,・北海道を代表する百貨店で経営破綻が生じたため、今後、地元の取引先に大きな影響が出ることになる。
