Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・定額給付金の給付により、４月末から５月中旬にかけて家計消費が増加する。特に生活必需品ではなく一過性の商品を取り扱っている業種の販売量が増加することが見込まれる。
,,○,一般小売店［酒］（経営者）,・今年に入ってからの売上は良くなかったが、定額給付金などの明るい材料が出てきていることに加えて、株価も回復してきていることから、２～３か月後は少しは良くなる。
,,○,家電量販店（経営者）,・５月中に定額給付金の給付が予定されていることから、ある程度の経済効果が生じる。
,,○,家電量販店（店長）,・少なからず定額給付金の効果が出てくる。
,,○,乗用車販売店（営業担当）,・５月に新しいハイブリッド車が発売されるため、車両販売量が増加する。
,,○,旅行代理店（従業員）,・燃油サーチャージの大幅な減額や円高に加えて、年内に２度の５連休があることなどの好材料などから、今後についてはやや良くなる。
,,○,美容室（経営者）,・定額給付金の使い道に関する話題が予想以上に出ており、客の雰囲気が明るくなっている。前倒しで商品を買う客もすでに出ていることから、今後、売上が増加することが見込まれる。
,,□,商店街（代表者）,・消費動向に踊り場的な落ち着き感がある。どの年代にも共通して、無駄を排除しようとする意識が出てきていることから、今後も変わらないまま推移する。
,,□,商店街（代表者）,・客の買物に対する姿勢や商品の低価格化は、今後もこのまま続く。
,,□,一般小売店［土産］（経営者）,・将来への不安が消えないため、定額給付金が給付されてもタンス預金にするという客の話をよく聞くことから、今後についても変わらないまま推移する。
,,□,コンビニ（エリア担当）,・来客数の減少がみられず、また単価の低下もみられないことから、今後も変わらないまま推移する。むしろ、定額給付金等が刺激となって、消費が良い方向に向かう可能性もある。
,,□,コンビニ（エリア担当）,・高速道路料金引下げにより、週末の来客数が増加することが期待できる。また、定額給付金やプレミアム付商品券の動きと相まって生活必需品への消費が増加すれば、製造業の減産によるマイナスの影響をカバーできるため、今後については変わらないまま推移する。
,,□,家電量販店（地区統括部長）,・多少景気が上向き傾向にあるが、依然、消費者の財布のひもは固いままで推移する。
,,□,タクシー運転手,・来客数や電話注文の増える要素が思い当たらないため、今後も変わらないまま推移する。
,,□,その他サービスの動向を把握できる者,・２～３か月後は観光シーズンに入ってくるが、前年に比べて悪くなる要素はあっても、良くなるという要素が見当たらず、厳しい局面にある。
,,□,設計事務所（所長）,・好転する材料が見当たらない。
,,▲,百貨店（売場主任）,・春物商材、衣料品の動きが非常に鈍い状況が続いており、今後についても、客の様子から厳しいことがうかがえる。ただし、食品催事に関しては、今までどおり好調なことが見込まれる。
,,▲,百貨店（販売促進担当）,・デフレが確実に進行している。常用雇用者のボーナスカットなどの動きが出始めており、先行き不安から消費者の購買に対する心理はますます消極的になり、その結果、各企業の売上は一段と先細りになる。定額給付金を始めとした景気対策は、一定の効果を上げるとみられるが、この悪循環を断ち切るまでには至らない。
,,▲,スーパー（店長）,・客がチラシの目玉商品にのみ殺到する傾向が顕著になっている。商品単価が低下しており、客単価も落ち込んでいることから、今後についてはやや悪くなる。
,,▲,スーパー（企画担当）,・単価の高い商品やこだわり商品に動きがみられないことから、今後についてもやや悪くなる。
,,▲,スーパー（企画担当）,・大手スーパーを中心に今までにない品目数にわたる価格引下げが発表されたことから、今後の価格競争がますます激しくなる。
,,▲,スーパー（役員）,・マスコミの不況報道や節約を題材とした番組が非常に多いことから、消費者の生活防衛意識が高まっており、今後についてはやや悪くなる。
,,▲,コンビニ（エリア担当）,・アルバイトの募集に過去に経験がないほどの応募が集まっている。特に、40代の男性による応募が多いことから、今後の消費に影響が生じてくることが懸念される。すでにビールやたばこなどのし好品では売上が減少傾向にある。
