II．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,商店街（代表者）,・今後については、プレミアム付商品券等の利用期間に入るため、季節要因を考慮したとしても、新型コロナウイルスの新規感染者が頻発しない限り、全体的な景気は良くなる。ただし、夜型飲食店など、業種によっては多少のばらつきが生じることになる。
,,○,一般小売店［酒］（経営者）,・政府による自粛要請の緩和、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンなどの効果から、今後の景気はやや良くなる。消費者の自粛に対するストレスの反動も消費動向に良い影響を与えることになる。
,,○,百貨店（売場主任）,・10月以降、前年の消費税増税を前にした駆け込み需要の影響がなくなることがプラスに働く。新型コロナウイルスの影響は続くため、厳しい状況は続くとみられるが、今後の景気はやや良くなる。
,,○,百貨店（販売促進担当）,・年末に向けて、家なか消費の拡大が期待できることから、生鮮食品や加工食品、総菜、和洋菓子などの需要が増えることが期待できる。
,,○,百貨店（役員）,・現状、新型コロナウイルスの第３波が最も危惧される要因であるが、今のところ、その兆しがみえないことから、今後の景気は若干ながら回復する。
,,○,スーパー（店長）,・前年は９月に消費税増税前の駆け込み需要があった反面、10月以降は消費が低迷していた。今年はそうした影響がないため、10月以降は前年以上の売上が見込める。また、春夏と比べれば、学校行事や社会行事の少ない時期となるため、新型コロナウイルスの影響を受けにくいとみられる。
,,○,スーパー（役員）,・新しい生活様式に人々が慣れてくることで、年末の帰省も含めて、徐々に人の動きが活発になると見込まれる。そのため、今後の景気はやや良くなる。
,,○,家電量販店（経営者）,・前年と比べるとまだ厳しい面があるが、東京オリンピックの開催を控えてテレビ需要の増加が見込まれる。また、暖房器具などの季節商材の売上増加も見込まれる。
,,○,家電量販店（店員）,・新型コロナウイルスの影響が解消されることを期待している。また、秋が深まり、気温が低下することで、暖房機の需要が上向くことも期待できる。
,,○,乗用車販売店（従業員）,・今後については景気が良くなることを期待している。ただし、車の販売については、冬に向かって下向きになるため、やや心配している面もある。
,,○,乗用車販売店（従業員）,・周りをみると、外食などの回数が増えてきている。また、冬季に向けての準備などもあるため、今後については消費が上向くことになる。
,,○,自動車備品販売店（店長）,・新型コロナウイルスが落ち着いてきている雰囲気が出始めていることから、今後、客の行動範囲が広がり、消費が上向くことになる。
,,○,旅行代理店（従業員）,・今後の景気については、新型コロナウイルスの感染状況に大きく左右される面があるため、現状と変わらないことが前提であるが、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンを企業や組織の団体旅行で利用するところが徐々に増えてくることが見込まれるため、景気はやや良くなる。
,,○,旅行代理店（従業員）,・新型コロナウイルスの感染状況が拡大していないことが前提であるが、首都圏のテーマパークで新エリアがオープンすること、10月からＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンで東京が対象に加わることなどから、ほぼ道内需要しかない現状と比べれば景気はやや良くなる。
,,○,旅行代理店（従業員）,・新政権の政策への期待もあり、今後、民間企業の動きや個人消費が増えてくることを期待している。
,,○,タクシー運転手,・新型コロナウイルスの動向次第だが、景気が良くなることを期待している。
,,○,通信会社（企画担当）,・毎年秋に販売する人気スマートフォンに対して、客の注目が集まり、購買意欲が上向くことを期待している。
,,○,観光名所（従業員）,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの影響で、旅行を観光にという風が間違いなく吹いている。実際８～９月の祝日などでは、新型コロナウイルス発生以前と変わらぬ来客数の日もみられた。こうしたことから、国内個人観光客の動きがこれからますます加速することになる。
,,○,住宅販売会社（経営者）,・まだまだ予断を許さない状況ではあるが、新型コロナウイルスが終息して、今後に向けて景気が徐々に上向くことを期待している。
