Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・向こう２～３か月で新型コロナウイルスのワクチンが実用化されることを期待している。そうなれば景気は良くなる。日本製のワクチンが生まれるかどうかは、現在の日本の教育環境が問われているといえる。
,,○,スーパー（役員）,・11月に入り、北海道全域で新型コロナウイルスの感染者が増加しているため、自己を守るための行動から巣籠り需要が再び増加することが見込まれ、今後もスーパーマーケット業態の売上は良い数値を維持することになる。
,,○,スーパー（役員）,・新型コロナウイルスの感染拡大に伴い、外食の機会が減っている一方で、内食需要が増加している。この傾向は当分続くとみられるため、スーパー業態の景気はやや良くなる。
,,○,乗用車販売店（従業員）,・３月が決算時期に当たるため、２～３か月後は決算の一歩手前となることから、今よりは状況が良くなる。ただし、新型コロナウイルスがこれ以上拡大すると来客数に影響することになるため、新型コロナウイルスの感染状況次第の面がある。
,,○,観光型ホテル（スタッフ）,・札幌市がＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの適用対象外となる宿泊期間が12月15日を期限としており、それ以降の予約が回復傾向にあることから、今後の景気はやや良くなる。ただし、予約内容をみると、北海道内からの需要で週末の問合せが中心となっている。
,,○,旅行代理店（従業員）,・北海道における新型コロナウイルスの感染拡大傾向がこれからどのように推移するかで、冬期間の観光動向が左右されるとみられるが、当地においては感染症対策をアピールすることで、２月の流氷観光を中心とした冬季観光に多くの人が訪れることを期待している。
,,□,商店街（代表者）,・当地３大祭りの１つである冬のイベントの実施も危ぶまれるなか、これまでの状況を踏まえると、特に宿泊、交通、観光関連、飲食などの景気が好転することは期待できない。
,,□,一般小売店［土産］（経営者）,・新型コロナウイルスの感染拡大が今回の外出自粛要請などで一旦収まったとしても、旅行や人の動きについては、メンタル的な面で今後も自粛を続ける人が増えるとみられることから、年末から年始に掛けての感染者の増減にかかわらず、客の動きが鈍くなることを懸念している。今の状況は観光業にとって厳しいと言わざるを得ない。
,,□,一般小売店［酒］（経営者）,・新型コロナウイルスの状況によって売上が左右されるため、今後についてはどうなるか分からない。自助努力ではどうすることもできない状況にある。
,,□,百貨店（売場主任）,・北海道知事による札幌市の外出自粛要請期間が、当初の11月27日までから12月11日までに延長されたこともあり、現状からの回復が見込めない状況にある。
,,□,百貨店（営業販促担当）,・インフルエンザへの対策も含めて、来年の春先まで、客は外出に慎重になるとみられる。そのため、特に婦人服、スーツ関係は需要が落ち込むことになる。
,,□,乗用車販売店（経営者）,・全車種併売という商品力強化の追い風もあり、11月の新車受注は前年実績を上回る水準で推移している。このため、当面は新車販売の好調な状況が続くことが期待できる。
,,□,乗用車販売店（従業員）,・景気が若干回復しつつあったものの、新型コロナウイルスの感染状況が悪化してきていることから、客の来店が減ってきている。今後の販売動向にも影響が出てくることを懸念している。
,,□,旅行代理店（従業員）,・新型コロナウイルスの感染拡大によって多分な影響が生じている。ワクチンや治療薬が実用化されない限り、先行きの景況感は流動的なまま推移する。
,,□,旅行代理店（従業員）,・景気の先行きについて、今年に関しては新型コロナウイルスの感染状況による部分が大きいため、正直判断できない。業種的にも影響を直接受けるため、収束を願うのみである。ただ、感染拡大が収束したとしても、すぐに需要が完全回復するわけではないため、今年度は史上最悪の業績となる。
,,□,旅行代理店（従業員）,・今のところ、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンは来年１月で終了する予定であるため、延長されない限り、２～３か月先も数えることができる程度の申込みにとどまるとみられる。そのため、今後の景気は現在と変わらない。
