Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・当地はこれまで隣接する都市部からの観光客に助けられてきた面があるが、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの対象地域に東京も含まれるようになったことから、本州からの観光客が増加している。新型コロナウイルスの感染防止と経済の拡大を両立させる今の政府の手法に期待を持てることから、今後の景気は良くなる。
,,○,商店街（代表者）,・例年どおりの傾向であれば、年末年始にかけて景気が良くなるため、そのようになることを期待するばかりである。
,,○,一般小売店［酒］（経営者）,・新型コロナウイルスに対する一種の慣れのような感覚が消費者にみられ、神経質な反応が薄らいできている。また、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンも消費に好影響を与えていることから、今後の景気はやや良くなる。
,,○,百貨店（売場主任）,・高額商材に動きが出てきていること、催事などへの来客数が増えていることなどから、新型コロナウイルスについて現状の小康状態が続くことになれば、今後の景気はやや良くなる。
,,○,百貨店（販売促進担当）,・年末に向けて人の往来が増え、消費も増えてくることを期待している。ただ、新型コロナウイルスについての懸念材料も増すことが見込まれるため、景気が前年並みの水準に回復するまでしばらく時間が掛かるとみられる。
,,○,スーパー（店長）,・Ｇｏ　Ｔｏキャンペーンなどの景気回復策について、賛否はあるものの、外出の起爆剤となっている面は否定できない。また、地域共通クーポンを使用して通常の買物をする客も一部でみられることから、特別定額給付金のときほどではなくても、消費拡大につながることが期待できる。
,,○,スーパー（役員）,・今年のクリスマス、正月は家庭内で過ごす機会が増えるとみられるため、これからケーキやおせちなどの消費が活発になることが見込まれる。
,,○,コンビニ（エリア担当）,・新型コロナウイルスの影響は今後も続くとみられるが、景気は徐々に回復すると見込まれる。
,,○,家電量販店（経営者）,・暖房機器などを中心に販売量が伸びていることから、今後の景気はやや良くなる。
,,○,家電量販店（店員）,・プレミアム付商品券の効果が期待できるため、今後の景気はやや良くなる。
,,○,乗用車販売店（経営者）,・受注残が増えてきている状況から、今後、新車の供給体制の改善が進むにつれて景気はやや良くなる。
,,○,旅行代理店（従業員）,・新型コロナウイルスの状況次第の面があるが、今後の景気はやや良くなる。
,,○,通信会社（企画担当）,・新料金プランの導入に伴い、学生向けの割引プランが充実していることから、若年層を中心とした需要の回復が期待できる。
,,○,観光名所（従業員）,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンを利用する観光客が思いの外多くみられる。また、こうした客層では、地域共通クーポンを上手に使って楽しもうという傾向もみられる。このため、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが予定されている１月末までは、現在の好調な状態が続くことになり、落ち込んだ景気を引き上げることになる。
,,○,美容室（経営者）,・全国及び各地域の景気浮揚策の影響が、当店においても多少はみられることになる。
,,□,商店街（代表者）,・新型コロナウイルスの感染が収束するなり、ワクチンが開発されるなどの対策が明確にならない限り、新型コロナウイルスの流行以前の状況には戻らない。今は経済を少しでも回すため、不公平な部分はあったとしてもＧｏ　Ｔｏキャンペーンなどの対策を行っているが、抜本的な景気回復とはなっていない。経済を回復させるためには消費税の減税又は廃止が必須である。
,,□,商店街（代表者）,・今後については、新型コロナウイルス、インフルエンザの両方の感染リスクを回避する意味もあり、来街者の少ない状態が継続することになる。また、店舗によっては密接、密集を回避するため、年始の売出しの時期をずらす可能性もある。これらのことから、区域全体として来街者の一時的な増加も見込めない状況にある。
,,□,百貨店（役員）,・現状、前年の消費税増税とコロナ禍がどの程度影響しているのかがよくみえないことから、今後についても、どのようになるのか分からないというのが正直なところである。
