Ⅱ．景気の先行きに対する判断理由,,,,,,
,,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,
"家計
動向
関連

(北海道)",,◎,－,－,,
,,○,百貨店（販売促進担当）,・客の購買単価が上昇していることから、消費者の購買意欲が一時期よりも確実に高まってきており、このまま季節が進めば、秋冬物に対する客の購買行動は積極的になる。,,
,,○,衣料品専門店（店長）,・先物への問い合わせが多く、例年にないほど新作の動きが活発なため、シーズンインすればもっと動きが出てくることになる。,,
,,○,乗用車販売店（従業員）,・新型車の効果が期待できる。,,
,,○,乗用車販売店（従業員）,・新型車効果が少なからず出てくることになり、販売台数の上乗せが期待できる。,,
,,○,乗用車販売店（従業員）,・新型車両の発売予定があるため、今後は販売台数が前年を上回るようになる。実際、そのような予想で計画も立てている。,,
,,○,タクシー運転手,・全国大会が開催される予定であるため、交流人口が増加し、客の動きが良くなることが期待できる。,,
,,○,通信会社（社員）,・毎年恒例の人気商品が発売される時期であるため、来月以降、来客数、販売量ともに伸びてくることが期待できる。,,
,,○,観光名所（従業員）,・北海道新幹線開業後、開業効果で春、夏と利用客数が押し上げられ続けていることから、この先も秋、冬と季節が一巡するまでは開業効果が続く。,,
,,□,商店街（代表者）,・客の様子をみる限り、何らかの外部要因がない限り、現状のままで推移する。,,
,,□,商店街（代表者）,・高齢者を始めとして、商店街を利用する地元住民が冬に備えて消費を抑える時期であり、観光客などの来街も多くは期待できないことから、今後も景気のあまり良くない状態で推移する。,,
,,□,一般小売店［土産］（経営者）,・８月の後半は台風の影響で交通機関が運休したことが売上に響いたが、前半の売上はとても良く、国内経済に起因するような要因は見当たらないため、今後も変わらないまま推移する。ただ、当地では人手不足による倒産が続いていることが気がかりである。,,
,,□,一般小売店［土産］（経営者）,・今後も円高が続くとみられることに加えて、中国で海外で購入した商品を国内に持ち込む際の関税が引上げられたこともあり、訪日外国人の消費行動はモノよりコトという流れが強まることになる。そのため、外国人による売上は前年や前々年と比較してかなり落ち込むことになり、今後、こうした状況が数か月は続く。,,
,,□,一般小売店［酒］（経営者）,・ここ数か月、消費に力強さがみられず、売上が弱含みで推移する状況が続いている。この先の景気が良くなる様子もみられないため、今後２～３か月は変わらないまま推移する。,,
,,□,百貨店（売場主任）,・来店客の様子をみると下見傾向が強く、購入率も上がりきっていないなど、慎重な姿勢が続いている。その一方で、お中元商戦や大型催事の売上はほぼ前年並みとなっており、特別な機会への対応や値ごろ感のある商材に対する購買意欲は依然として強い。これらのことから、今後も景気は変わらないまま推移する。,,
,,□,百貨店（担当者）,・今後の景気が上向くような兆しは感じられない。ただ、悪化するような要因も見込まれないため、変わらないまま推移する。,,
,,□,スーパー（店長）,・天候不順や残暑が続くことで初秋物への購買意欲が落ち込むことが懸念される。,,
,,□,スーパー（店長）,・台風の影響で農作物の高騰が懸念される。客は価格に敏感なため、今後、節約志向が更に高まるとみられ、景気は変わらないまま推移する。,,
,,□,スーパー（店長）,・景気の方向性が変わるような大きな要因が見当たらないため、今後も変わらないまま推移する。,,
,,□,スーパー（企画担当）,・消費者の物分かりが良くなっており、高い行政サービスには高い税負担が必要という図式を納得するようになっていることなどから、一般消費者の暮らしが想像以上にタイトになってきており、今後も厳しいまま変わらない。,,
,,□,スーパー（役員）,・８月はお盆の曜日並びが良くなかったこと、若い世代の考え方の変化でお盆の帰省客が減少したことなどが売上に影響したとみられるが、やはり地方においては、人口減少、独居家庭の増加などの要因によりじわじわと来客数が減少してきているため、今後も景気は変わらない。,,
,,□,スーパー（役員）,・北海道新幹線の開業効果が続いている。少なくとも秋までは観光客の増加が期待できるため、今後も変わらないまま推移する。,,
