Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［酒］（経営者）,・９月一杯で緊急事態宣言が解除されるとみられるため、今後の売上は徐々に回復することになる。
,,○,商店街（代表者）,・緊急事態宣言が解除される見通しのため、今後の景気はやや良くなる。ただし、景気をより上向かせるためには、国民への給付金支給、消費税減税、長期的な視点での国土強じん化など、財政出動による救済策が求められる。
,,○,商店街（代表者）,・緊急事態宣言の解除が発表され安どしたところに、新たな自粛要請が発表された。確かに一気の全面解除については心配なことも理解するが、新規感染者数が基準を下回っているにもかかわらず営業活動が制限されることには納得できない。これまで頑張って協力してきた店舗からも大きな不満が出ている。また、第三者認証制度の準備が遅れているなかで、制度を導入したことにも憤りを感じている。このような事態が想像できるのに何故このような方法を採用したのかも理解できない。ましてや宣言解除の２日前にである。解除に向けた議論を行うだけの準備期間はあったはずであり、もう少し先を見越した計画を発表してほしい。今後予定されている行動緩和についても２度とドタバタ劇にならないような対応を望む。
,,○,商店街（代表者）,・青果物の価格について安定期に入ることが見込まれるため、今後の景気はやや良くなる。このまま台風などの影響が生じず、果物類が不作とならないことを期待している。
,,○,一般小売店［土産］（経営者）,・ワクチン接種が進展することの効果を期待している。現首相はとてもよくやっていたと捉えている。
,,○,一般小売店［土産］（経営者）,・今後、人流がある程度増えたとしても、ワクチンの効果で新規感染者数が大幅に減っていくと考えられる。そのため、これまで旅行を控えていた層が徐々に動き始めることが見込まれ、年末にかけて来道者や来客数が少しずつ右肩上がりになるとみられる。
,,○,百貨店（売場主任）,・ワクチン接種が若い世代にも行き渡ることで、新型コロナウイルスの新規感染者数が大幅に減少することが期待される。そうなれば、景気回復が進むことになる。
,,○,百貨店（販売促進担当）,・月明けの緊急事態宣言解除を受けて、来客数及び買上客数の増加が見込まれる。年末に向けて大きなカレンダーマーケットも増えてくるため、客の購買意欲は一層高まることになる。
,,○,百貨店（営業販促担当）,・ワクチン接種が幅広い世代に行き渡ることで、来客数の回復が見込まれる。また、人が動き出すことで、衣料、雑貨などにも動きが出てくることになる。特に出張、旅行、会合関連の需要が上向いてくるとみている。
,,○,百貨店（マネージャー）,・来客数及び売上が徐々に上向きになってきている。前月までは巣籠り需要が強まっていたこともあり、衣料品を始めとしたファッションゾーンが前年比70％台で推移するなど、特に厳しかったが、９月は前年比93％と善戦したことから、10月以降は緊急事態宣言解除に伴い回復基調に転じることになる。
,,○,スーパー（企画担当）,・新規感染者数が減少傾向にあること、ニューノーマルが定着してきていることから、緊急事態宣言の解除によって年末にかけて経済活動が活発になることを期待している。
,,○,コンビニ（エリア担当）,・緊急事態宣言が９月30日で解除されることが大きい。新型コロナウイルスの動向次第の面はあるが、今後の景気はやや上向きになる。
,,○,コンビニ（エリア担当）,・前年はＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンがあったことで一時的な回復がみられたものの、年末にかけて再度動きが鈍化した。今年は前年の反動が生じたとしても、年末にかけて前年を上回る回復が見込まれる。
,,○,コンビニ（エリア担当）,・ワクチン接種が進み、今後、行動制限が緩和される見込みであることから、景気はやや良くなる。
,,○,コンビニ（エリア担当）,・緊急事態宣言が解除されるため、今後の景気はやや良くなる。
,,○,家電量販店（店員）,・緊急事態宣言が解除されること、ワクチンを接種した人が増えていることから、今後の景気はやや良くなると期待している。
,,○,乗用車販売店（従業員）,・新型コロナウイルスの影響が落ち着くことで、飲食や観光を中心に景気が回復することを期待している。
,,○,自動車備品販売店（店長）,・緊急事態宣言が解除され、客の動向が変化することを期待している。スタッドレスタイヤの販売時期や年末年始を控えていることを考えると、景気は上向くことになる。
