Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,百貨店（営業販促担当）,お客様の様子,・引き続きイベントの集客が上向いている。11月以降、衣料品が前年を上回り始めており、前年不調だったコート類などの羽織物も動いている。
,,◎,家電量販店（経営者）,販売量の動き,・在宅時間が長くなったことで、修理、リフォームなどのいわゆる家ナカ需要が旺盛である。また、気温が低下していることで暖房器具の需要も旺盛である。
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染拡大が収まると人出が徐々に増え、来客数も増加傾向となる。12月は新規感染者数が低い水準で推移していることから、来街者が増えており、各店の来客数も増加している。
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いていることで少しずつ客足が戻ってきている。ただ、前々年と比べるとまだ80％程度の水準である。年末の忘年会需要も回復傾向にあり、週末は予約が入らないほどに回復しつつある。ただ、一次会で使われるような店は比較的良いが、二次会、三次会という流れはみられない。早々に帰宅する様子がみられ、コロナ禍の習慣と感染への恐怖を植え付けられた客が以前の感覚を取り戻すには時間が掛かりそうである。
,,○,商店街（代表者）,販売量の動き,・りんごの輸出の最盛期であることから、景気はやや良くなっている。
,,○,一般小売店［酒］（経営者）,単価の動き,・客先の飲食店の様子をみると、年末の忘年会需要はまだ戻っていないものの、個人客が思い切った金の使い方をしており、客単価がかなり上がってきている。
,,○,百貨店（売場主任）,販売量の動き,・11月から新型コロナウイルスの感染状況が落ち着いてきたことで、12月に入りボーナス商戦、クリスマス商戦で売上が伸びると期待していたが、中旬の降雪の影響もあり、見込みほどの伸びはみられなかった。ただ、インバウントを除いた日本人客による売上について、前年、前々年を上回る売上がみられるのは明るい兆しである。
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルス新変異株への脅威はあるものの、新規感染者数が小康状態にあるため、来街者が増加傾向にある。それにともなって来客数、買上客数も増加傾向にある。
,,○,百貨店（マネージャー）,来客数の動き,・来客数の動きをみると、９月が前年比91％、10月が前年比95％、11月が前年比95％、12月が24日現在で91％となっている。３か月前と比べると客の滞留時間が長くなっており、買上率も上がってきている。売上も来客数に比例して回復しているが、まだ前年並みの水準には届いていない。
,,○,スーパー（店長）,来客数の動き,・新型コロナウイルス新変異株が出てきたが、新型コロナウイルスの感染状況が落ち着いていることもあり、広域からの来客が増えている。
,,○,スーパー（店長）,来客数の動き,・バーゲンセール、クリスマス需要、年末需要といった大きいセールスが続くなか、衣料品の売上が前年と比べて顕著に伸びている。
,,○,コンビニ（エリア担当）,来客数の動き,・新型コロナウイルス新規感染者数が減っていることがプラスである。また、北海道が旅行者の消費喚起を目的に配布しているクーポンの利用が増えていることもプラスである。
,,○,衣料品専門店（店長）,単価の動き,・来客数は低迷したままだが、前年と異なり、成人式、フレッシャーズなどのイベントに向けた商材の販売量が回復しており、客単価が上昇している。
,,○,家電量販店（店員）,来客数の動き,・12月の来客数は前年とほぼ変わらない数字を保っている。ただ、感染症対策のためか、１日の後半になると客足がすぐに引いてしまう。
,,○,乗用車販売店（経営者）,販売量の動き,・メーカーの生産体制が以前よりも回復傾向にあることで、登録台数が徐々に回復してきている。特に新型車の受注が好調である。
,,○,乗用車販売店（従業員）,販売量の動き,・海外の新型コロナウイルスの影響で遅れていた新車の生産体制が回復しつつある。それにともなって客からの受注も増えてきた。
,,○,自動車備品販売店（店長）,それ以外,・新型コロナウイルスの感染状況が消費や景気を大きく左右するなか、当地の感染状況が落ち着いていることに加えて、クリスマスや年末といった行事が重なったことで、集客につながっている店舗が多くみられる。
,,○,その他専門店［造花］（店長）,お客様の様子,・感染状況が落ち着いてきたことで、若干ではあるが来客数が増加傾向にある。客もコロナ後を見据えた動きとなってきており、緊急事態宣言前の状況まで戻りつつある。
,,○,高級レストラン（スタッフ）,来客数の動き,・感染が収まっていることもあり、少しずつではあるが、客が戻りつつある。
,,○,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いていることで週末の来客数が増加している。平日についても僅かではあるが上向き傾向となっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・行政による需要喚起策により予約が堅調に推移している。コンサートイベントに関連した宿泊需要も回復の兆しがみられる。
,,○,旅行代理店（従業員）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いていることで航空機利用者が増加している。クリスマスから年末に掛けての利用状況も良く、帰省などの生活需要やスノーボードなどの冬季観光需要も回復してきている。
,,○,旅行代理店（従業員）,来客数の動き,・行政による旅行需要喚起策の効果もあり、個人客を中心に客が動き始めている。
,,○,タクシー運転手,来客数の動き,・前年12月はコロナ禍で人の移動が制限されたことで年末の繁忙期にもかかわらずタクシーの利用が大きく減った。今年は少しずつ人出が増えていることでタクシーの利用が大幅に増えており、売上は前年から約30％の増加となった。また、タクシー１台当たりの売上も前々年比マイナス５％となるなど、ほぼ新型コロナウイルス発生前の水準まで回復している。ただ、乗務員不足で車両の稼働が減っているため、全体売上は前々年を30％下回るなど、まだまだ前々年の水準に及ばない状況にある。
,,○,タクシー運転手,来客数の動き,・日中のオーダー件数がやや増加している。夜間の飲食店からのオーダーもやや増加している。
,,○,タクシー運転手,販売量の動き,・利用客数が前々年の75％程度まで回復している。新型コロナウイルスへの警戒心はまだ強いものの、少しずつウィズコロナを意識した経済活動が行われるようになってきている。
,,○,タクシー運転手,お客様の様子,・年末を迎えて前年よりも客の外出が増えている。タクシーの稼働状況も前年から20％の増加となっている。ただ、新型コロナウイルス新変異株の市中感染なども影響して、まだまだ予断を許さない状況にある。前々年並みの水準に回復するにはまだ時間が掛かる。
,,○,観光名所（従業員）,来客数の動き,・３か月前は緊急事態宣言の影響でやむなく臨時休業したが、現在は営業できていることで景気は良くなっている。12月の前年比は26日現在で164.25％となっており、新型コロナウイルス発生前の水準にははるかに及ばないが、希望がみえてきた状況にある。
,,○,美容室（経営者）,販売量の動き,・12月は新型コロナウイルスの感染状況が落ち着いていたため、売上は新型コロナウイルス発生前の前々年の90％まで回復している。
,,○,美容室（経営者）,販売量の動き,・３か月前と比べて売上は約10％伸びている。12月という時期的な影響もあるが、前年と比較しても多少良くなっている。
,,○,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスの感染が収まっていることで人出がかなり増えており、飲食、観光関係も徐々に盛り上がってきている。住宅の着工数も順調に推移しており、景気はやや良くなっている。
,,□,商店街（代表者）,お客様の様子,・現在も景気は変わらないと話す客が多い。コロナ禍の状態はもうしばらく続く。
,,□,商店街（代表者）,来客数の動き,・12月に入り年末大売出しなどの季節需要も生じているが、そうした季節需要を除けば、昼間の来街者数は目立って増加していない。ただし、夜型飲食店については悪い状況ではあるが、金曜の午後８時頃に小規模ながらも忘年会帰りとみられる酔客が毎週のように確認できたなど、改善の兆しが幾分うかがえる。
,,□,一般小売店［土産］（経営者）,販売量の動き,・北海道の新型コロナウイルス新規感染者数について１けた台が続いていることもあり、雪で天候が悪いなかでも近郊からの客が思いのほか多く来ている。12月の売上は前年比222.2％、前々年比59.4％となっている。
,,□,一般小売店［土産］（経営者）,お客様の様子,・緊急事態宣言が解除されてから、少しずつだが観光客の動きが良くなってきている。延期していた修学旅行が戻ってきたり、年配客の小団体旅行が増えたりと、緊急事態宣言期間中にはなかった客の動きがみられることは明るい材料である。
,,□,コンビニ（エリア担当）,単価の動き,・客単価が上昇している一方で、来客数が減少していることから、売上は微減となっており、景気は良くも悪くもない状況にある。今後については新型コロナウイルス新変異株次第の面がある。
,,□,コンビニ（エリア担当）,販売量の動き,・店舗の売上をみると、飲食店向けの取引は前年がかなり悪かったことの反動もあり、前年と比べて回復基調にある。その一方で、来客数は余り回復していない。
