Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,旅行代理店（従業員）,・新型コロナウイルス、特に変異種の感染状況とワクチン接種の実施状況によって変わってくるが、現状では首都圏の緊急事態宣言解除に伴って、春から初夏に掛けての旅行需要の回復が大いに期待できる。特に北海道は国内旅行の目的地として注目されている様子がうかがえる。
,,◎,観光名所（従業員）,・新型コロナウイルスに対して自己防衛しながら、楽しむことは楽しもうという客が増えてきている。このまま個々で対策しながら日常を取り戻そうという雰囲気が強まることを期待している。
,,○,商店街（代表者）,・４月中旬からワクチン接種が始まることになれば、当区域を訪れるきっかけにもなるため、これまで郊外に向けられていた客足も少しずつ回復していくことになる。新型コロナウイルスの感染状況にもよるが、初夏以降は道内外からの旅行客が微増することも期待できるため、交通、宿泊、飲食などの売上が伸びることになる。
,,○,一般小売店［土産］（経営者）,・現在はゴーストタウンに近い状態だが、医療従事者へのワクチン接種が始まったことで景気がやや良くなると期待している。
,,○,一般小売店［土産］（経営者）,・新型コロナウイルスの感染者はこれからも少しずつ増えていき、波が繰り返されるとみているが、それによってどのような状況になるのか見通せないというのが正直なところである。ただ、客の様子をみると、そろそろ旅行したいという欲求が高まっていると感じられるため、今後については感染対策を行いながら、少しずつ客が増えてくるとみている。
,,○,一般小売店［酒］（経営者）,・今後については、新型コロナウイルスの感染状況次第ではあるが、客の消費意欲が衰えていないことから、売上が回復すると期待している。
,,○,百貨店（売場主任）,・新型コロナウイルス感染対策に伴う自粛疲れもあり、客の購買意欲が上向いてきている。現在の感染状況のままで推移すれば、今後の景気は良くなっていく。
,,○,百貨店（販売促進担当）,・現状、来客数や買上率が回復傾向にあり、客の買い回りも活発になっている。今後もこうした傾向は続くとみられるため、消費は回復することになる。
,,○,百貨店（営業販促担当）,・イベントへの集客など、一部で回復の動きがみられるようになってきている。高額商材の動きも良くなっているため、全体的な景気も徐々に上向くことになる。取引先の対応も前年よりは改善することが見込まれる。
,,○,スーパー（店長）,・前年は感染拡大防止対策として、営業時間の短縮や専門店街の営業自粛などが行われていたが、今年は全て通常営業となっていることから、今後の景気はやや良くなる。一昨年の水準までは戻らないとしても、前年から２けたの伸びが見込まれる。
,,○,スーパー（役員）,・入学式や花見など、身近な行事の動きが少しずつ例年並みに戻っている。客の行動も明るい方向に進んでいることから、今後の景気はやや良くなる。
,,○,コンビニ（エリア担当）,・新型コロナウイルスの感染拡大に伴う客の行動抑制が緩和されることで、酒類を中心とした需要が増えていくことが見込まれる。ただ、回復の度合いは行動抑制の強弱で決まってくることになる。
,,○,コンビニ（エリア担当）,・自粛が１年以上続いていることから、新型コロナウイルスの感染が再拡大したとしても、我慢ができなくなり、周りの地域と人の行き来が増えることが見込まれる。また、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンに付随した内容の企画が進むことも期待できる。
,,○,コンビニ（エリア担当）,・前年４月は売上の減った時期であるため、前年比では上回ってくることが期待できる。来客数の減少を見込んだうえで、どのように単価を上げていくかが鍵となる。
,,○,衣料品専門店（店長）,・客が必要な商材を徐々に買っていくことが見込めるため、今後については緩やかな回復基調になる。ただ、経営的には危機的な状況がまだ続いており、先行きの見通しが立っていない。
,,○,乗用車販売店（経営者）,・大きな変化はないとみているが、人の動きが活発になることを期待できるため、新型車の効果も含めて、多少は景気が好転することになる。ただし、新型コロナウイルスの感染再拡大がないことが条件である。
