Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［酒］（経営者）,単価の動き,・緊急事態宣言が10月１日から解除されたことで売上が回復基調にある。特に高額商材の販売量が増えている。客先の飲食店では１人の客が１回で10万円以上使うといった話も珍しいことではなくなっている。
,,◎,美容室（経営者）,来客数の動き,・緊急事態宣言が解除されたことで、旅行や文化サークルなどが再開されるようになっており、人の動きが活発化している。それに伴って客の来店頻度も高くなってきている。関連商材の売上も増えている。
,,○,商店街（代表者）,来客数の動き,・緊急事態宣言が解除されたことで景気はやや良くなっている。ただ、前年と比べると来街者数、来客数は減っている。
,,○,商店街（代表者）,お客様の様子,・行動制限や時短営業が緩和されたことで徐々に人出が増え始めた。しかしながら、様子をうかがって恐る恐る出掛けているのが現状であり、一気に回復という雰囲気には程遠い。宴会の予約も顕著にみられるようになってきているが、少人数のグループばかりであり、店側も細かい対応を求められるなど、大変そうである。また、休業や時短営業によってアルバイトを解雇した飲食店がほとんどであるため、いざ忙しくなっても人手不足で対応できないことも多い。複数の店舗を経営している飲食店では、人手不足でいまだに一部の店を休業している。さらに、商材や燃料の価格高騰や品不足、部品不足などによって、店舗にも多大な影響が生じている。
,,○,百貨店（売場主任）,来客数の動き,・10月の前年比をみると、９月と比べて改善傾向がみられる。10月に入り、緊急事態宣言が解除されたことで来客数が増えており、気温の低下に伴って防寒衣料へのニーズも出てきている。また、緊急事態宣言中は自粛していた催事イベントについても、新型コロナウイルスの感染対策を十分に採った上で実施できるようになったことで、来客数の増加につながっている。
,,○,百貨店（販売促進担当）,販売量の動き,・緊急事態宣言が解除されたことで、来客数が伸びており、買上客数も増加傾向にある。
,,○,百貨店（営業販促担当）,来客数の動き,・催事を開催できたこともあり、来客数が前年を超えた。長らく不調だった衣料品にも動きがみられる。
,,○,百貨店（マネージャー）,来客数の動き,・直近３か月の来客数の推移をみると、８月が前年比83％、９月が同91％、10月が同96％となっており、着実に上向きになってきている。
,,○,スーパー（店長）,販売量の動き,・緊急事態宣言の解除後、気温が低下していることもあって、衣料品の動きが良くなってきている。また、修学旅行などの学校行事が再開していることで、トラベル関連商材が大きく伸長している。
,,○,コンビニ（エリア担当）,お客様の様子,・新型コロナウイルスの新規感染者数が減ったことで、客の動向が変わっており、来客数にも反映されつつある。景気はこのまま上向きになるとみられる。
,,○,コンビニ（エリア担当）,販売量の動き,・飲食店向けの販売を行っている店舗も多いため、酒類提供に係る時短要請が緩和されたことなどで、酒類を中心に販売量が増えている。景気は回復基調に転じている。
,,○,コンビニ（店長）,お客様の様子,・金曜の夕方や夜間、土日の日中の来客数が緊急事態宣言の期間中と比べて増えている。飲み会帰りや行楽客とみられる客が明らかに増加している。
,,○,家電量販店（店員）,販売量の動き,・前年と比べて、来客数も客単価もアップしている。10月後半からは暖房機の販売にも活気が出てきている。
,,○,自動車備品販売店（店長）,お客様の様子,・新型コロナウイルスの新規感染者数が落ち着きをみせていることで、来客数が前月と比較して５～10％増加してきている。
,,○,高級レストラン（スタッフ）,来客数の動き,・行動制限が解除されたことで、客に動きがみられるようになりつつある。
,,○,観光型ホテル（スタッフ）,来客数の動き,・地方自治体の需要喚起策を活用した予約が堅調に推移している。
,,○,旅行代理店（従業員）,来客数の動き,・緊急事態宣言が解除されたことで、航空機利用の団体旅行が回復し始めた。また、観光需要喚起策として、北海道の新しい旅のスタイルや各市町村の支援策も再開され始めており、アフターコロナに向けた動きが拡大してきている。
,,○,旅行代理店（従業員）,来客数の動き,・緊急事態宣言が解除され、新規感染者数が少なくなったことに加えて、北海道独自の旅行代金割引制度が再開されたことで、来客数、新規予約客のいずれも増えてきている。
,,○,旅行代理店（従業員）,お客様の様子,・緊急事態宣言の解除後、来客数や問合せ件数が増えてきている。
,,○,タクシー運転手,来客数の動き,・緊急事態宣言が解除され、10月１日から飲食店の酒類提供が時短要請付きで認められることになり、15日からは時短要請もなくなったことから、夜の人出が戻りつつある。タクシーの利用も増えており、１台当たりの売上も新型コロナウイルス発生前の水準に戻りつつある。ただ、乗務員不足でタクシーの稼働が前年より落ち込んでいるため、会社全体の売上は前年比マイナス５％となっている。新型コロナウイルス発生前の水準と比べると30％のマイナスとなっている。
,,○,タクシー運転手,来客数の動き,・緊急事態宣言が解除された直後から、夜間のオーダーが増えてきている。
,,○,タクシー運転手,販売量の動き,・緊急事態宣言が解除され、新規感染者数も抑えられていることから、徐々にではあるが、夜間の利用が回復してきている。
,,○,タクシー運転手,お客様の様子,・緊急事態宣言が解除されてから、観光客を始めとした客の動きが若干上向き始めている。第６波を懸念する動きもあるが、このままの状況が続くことになれば売上の増加が期待できる。
,,○,タクシー運転手,お客様の様子,・緊急事態宣言が解除されたことで、週末の夜の人出が徐々に回復してきている。ただ、平日の夜の状況は変わっていない。タクシーの稼働状況についても前月の30％ダウンから10％ダウンまで改善しているが、衆議院選挙の告示に伴って人出が落ち込む傾向がみられた。
,,○,観光名所（従業員）,お客様の様子,・明らかに観光客とみられる人を目にする機会が増えてきている。また、年配客がメインの国内団体ツアーが少しずつ復活してきていることも復調の兆しと捉えている。
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、緊急事態宣言期間中にため込んだ金を少しずつ使い始めている傾向がみられる。
,,□,商店街（代表者）,来客数の動き,・緊急事態宣言が解除されたものの、当地を訪れる客の数は増えていない。当地を訪れる客の多くが高齢者ということもあり、年金受給月である10月には冬物衣料などの購入に伴って、来街者数が若干増加すると見込んでいたが、街中を見渡す限りでは増加していない。また、道内からの旅行客とみられる車もまばらであり、土産店や交通事業者においても売上増加の兆候はみられない。
,,□,一般小売店［土産］（経営者）,販売量の動き,・10月の売上は前年比81.9％であった。前々年比でみると９月は21.7％であったものが、10月は35.1％となっていることから、景気はやや良くなっている。ワクチンの接種率が70％に達したことで隣接市からの客も少しずつ戻ってきている。
,,□,スーパー（店長）,それ以外,・８～９月と比べると回復してきているが、緊急事態宣言の発令によって大きく落ち込んでいたものが元に戻ってきただけである。来客数は前年並みの水準まで回復しておらず、こうした状況はしばらく続くことになる。
,,□,スーパー（企画担当）,お客様の様子,・緊急事態宣言の解除に伴って、百貨店、外食、飲食店の利用客が増加している一方で、食品スーパーの利用客が相対的に落ち着いてきている。特に好天となった週末はそうした傾向が顕著にみられた。
,,□,衣料品専門店（店長）,お客様の様子,・自粛期間が明けて外出や出勤の機会が増えてきていることで、サイズが合わなくなったスーツを仕方なく買い換える客が増えている。ただ、客単価は上がっていないため、現在の販売状況は一過性のものとみられる。
,,□,乗用車販売店（従業員）,販売量の動き,・９月決算のため、10月の販売量が落ち込む傾向にあるが、今年は８割くらいの水準にとどまっており、流れとしてはそれほど悪くないが、特別良くもない状況にある。ただ、来場する新規客が伸びていないことから、新型コロナウイルスの影響を考慮しても来客数が少なかったというのが正直なところである。
,,□,乗用車販売店（従業員）,販売量の動き,・自動車業界において生産遅れがみられるものの、新車受注は前年並みで推移している。中古車は下取り台数が減少しているが、限られた車両のなかで販売をつなぐことができており、前年並みで推移している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・原油価格の高騰に伴う石油製品価格の高騰により、１回当たりの販売量が減少している。
