Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,旅行代理店（従業員）,・新型コロナウイルス新変異株の感染状況にも左右されるが、北海道の冬季観光型イベントが規模を縮小しつつも開催予定であるため、国内航空機利用者の回復傾向は今後も継続又は拡大する。ただ、残念ながらインバウンドの観光需要回復にはまだ時間が掛かる状況であるため、観光需要は国内客に頼ることになる。
,,○,商店街（代表者）,・感染拡大が収まっていることから、少しずつ景気は上向きになる。ただ、既に廃業している店も多く、元の状態まで回復するには、消費税の減税など、政府の相当なてこ入れが必要となる。
,,○,一般小売店［酒］（経営者）,・新型コロナウイルスの感染状況次第ではあるが、月を追うごとに景気が回復していることから、今後も回復傾向で推移する。
,,○,百貨店（売場主任）,・北海道は観光で潤っている部分が多いため、日本人観光客が増え、外国人観光客の入込が再開されるようになれば、人流が活発になり、景気も良くなると期待している。
,,○,百貨店（販売促進担当）,・今後の新型コロナウイルス新規感染者数がどう推移するかは未知数だが、少しずつ日常が戻りつつあることから、今後の景気は回復することになる。
,,○,百貨店（営業販促担当）,・コロナ禍で動きが悪かったスーツ、フォーマル関係などの衣料品に動きが出始めている。そのため、今後も新型コロナウイルスの感染状況が同じような状態で推移することになれば、ある程度の景気回復が期待できる。春になり、旅行関係が本格的に動き出すことも期待している。
,,○,百貨店（マネージャー）,・客の動向をみると、外出や旅行に出掛ける人が増えているため、外出着やバッグなどを購入する機会が増えており、売上につながっている。緊急事態宣言解除後は極端な落ち込みもなく推移しているため、今後の景気は緩やかに回復することになる。ただし、新型コロナウイルス新規感染者数が増えた場合には厳しさが戻ってくる可能性が高い。
,,○,スーパー（店長）,・年末年始を過ぎても新型コロナウイルスの感染状況が現在のような小康状態で推移すれば、春先に掛けて様々な規制が緩和されていくと期待できるため、今後の景気はやや良くなる。
,,○,コンビニ（エリア担当）,・様々な商材が値上げ基調にあるため、家計の節約傾向が強まっているが、徐々に慣れてくるため、今後の消費は回復することになる。
,,○,乗用車販売店（経営者）,・新型車の売上が収益に貢献すること、年度内の増産効果が受注残の売上につながることが見込まれるため、今後の景気はやや良くなる。ただ、新型コロナウイルス新変異株の感染拡大の影響が心配される。
,,○,乗用車販売店（従業員）,・海外も含めた新型コロナウイルス新変異株の感染状況にも影響されるが、緊急事態宣言が発出されなければ景気はやや良くなる。
,,○,高級レストラン（スタッフ）,・コロナ禍の景気対策として実績のある地域割クーポン券の発行が予定されているため、今後、外出機会が増えることになる。当店においてもクーポン券利用を目的とした客の来店が増加すると見込まれる。
,,○,旅行代理店（従業員）,・新型コロナウイルス新変異株の影響が懸念されるものの、観光地や宿泊地などの感染防止対策や国民の感染対策意識が高いこともあり、景気は徐々に回復するとみられる。ただ、外国人の入国が再開されるなどして人流が活発になると、感染が一気に拡大し、逆に人流が止まってしまう恐れもある。
,,○,タクシー運転手,・新型コロナウイルスの新規感染者数の動きが不安定な状況ではあるものの、客の目的地となるような施設や店などでは感染対策を十分に行っていることから、利用客も徐々に戻ってきている。そのため、今後の景気はやや良くなる。
,,○,タクシー運転手,・新型コロナウイルス新変異株の感染状況次第だが、このまま景気の良い状態が続くことを期待している。
,,○,観光名所（従業員）,・外国人観光客の動向を見通すことはできないが、国内観光客、特に団体旅行の復調が顕著である。今後もＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンなどの各種施策の後押しを受けて、徐々に景気は良くなっていくと期待している。
,,○,美容室（経営者）,・新型コロナウイルスの感染状況が現在のような水準で推移することになれば、今後、外出の機会や行事の開催も増えることになる。それにともなって当店の来客数及び売上も徐々に増加することになる。
