Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,・当地では隣接している自治体への通勤が多いことなどから、新型コロナウイルスの感染者が増加傾向にあり、不要不急の外出自粛などが要請されている。今後については、より厳しい措置が必要になる可能性もあるが、ワクチン接種が始まることで景気が良くなると期待している。また、ワクチン接種が始まった後に、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが再開されることも期待している。
,,◎,住宅販売会社（経営者）,・何としても３～４月までには新型コロナウイルスの感染拡大を収束させてほしい。そうなればこの先の経済状況も改善すると期待できる。
,,○,一般小売店［酒］（経営者）,・新型コロナウイルスの感染状況次第の面があるが、緊急事態宣言の効果が出始めることになれば、回復の兆しも見えてくる。
,,○,百貨店（売場主任）,・２～３か月後は、前年の北海道独自の緊急事態宣言を受けて店舗休業を行った時期であるため、前年比では売上が良くなる。ただ、全体の景気は、新型コロナウイルスが終息するかどうかに掛かってくることになる。
,,○,百貨店（販売促進担当）,・緊急事態宣言が解除されれば、人の動きも活発になり、来客数や買上数も増加することになる。
,,○,百貨店（営業販促担当）,・寒さが緩むタイミングでワクチン接種が開始されるとみられ、安心感が広がることになる。外出を控えている年配者が動き出すことで売上も多少上向いてくる。
,,○,乗用車販売店（従業員）,・10～12月の状況から、しばらく景気は上向いてこないものとみていたが、現状をみると、景気は底を打って上向く状況がみえてきており、春先に掛けて、このまま販売量が伸びていくとみられる。また、新型コロナウイルスの感染状況が落ち着くことになれば、客も安心するようになり、財布のひもも緩むことになる。
,,○,乗用車販売店（従業員）,・新型コロナウイルスの感染状況が春に向けて改善されることを期待している。また、春先に新型車の発売を控えていることもプラスである。
,,○,その他専門店［造花］（店長）,・新型コロナウイルスの終息具合に応じて景気も上向くことを期待している。
,,○,観光型ホテル（スタッフ）,・新型コロナウイルスの感染者数の減少と東京オリンピックの開催判断によって景気が上向くことを期待している。Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが再開され、東京オリンピック開催に向けたプレイベントが行われることになれば、それがプラス要因となり、景気はやや良くなる。
,,○,旅行代理店（従業員）,・緊急事態宣言が奏功し、新型コロナウイルスの感染拡大が収まり、かつワクチン接種が開始されることにより、観光需要が復活することを期待している。また、ゴールデンウィークの花観光の集客に向けて準備を進めていく必要がある。
,,○,旅行代理店（従業員）,・今後については、新型コロナウイルスの感染状況が下火になり、ワクチン接種が動き出すことで、空気が変わってくることになる。
,,○,通信会社（企画担当）,・気温が上がり始めることに加えて、ワクチン接種のように新型コロナウイルス対策でも前向きな話が出てくることで、景気はやや良くなる。外出する人が増えるようになり、集客状況も改善すると期待している。
,,○,観光名所（従業員）,・季節が春に向かうなか、新型コロナウイルスの感染状況も減少傾向になるとみられることから、景気は今よりも上向くと期待している。
,,○,美容室（経営者）,・季節的に良い時期となってくることに加えて、新型コロナウイルスの感染状況も数か月前と比べると大分良くなっていることから、景気は今までより少しは良くなる。
,,□,商店街（代表者）,・まだ全ての人に新型コロナウイルスのワクチンが行き渡る予定が決まったわけではないため、それが分かってからでないと判断できない。
,,□,商店街（代表者）,・景気が上向く判断ができるような材料が見当たらない。区域内の店舗は、できる限りの感染予防対策を行った上で営業しているが、来街者にとって安心して買物できる環境にならない限り、現在の状況が継続する。
