Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・利用客の状況をみると、いつ緊急事態宣言が出るかと恐る恐る過ごしていた３か月前の８月と比べて25％ほど増加している。国内の団体旅行客も徐々に増えてきており、景気が上向いていることを実感している。
,,○,商店街（代表者）,来客数の動き,・緊急事態宣言が解除され、商店街の来街者も徐々に増え始めている。ただ、新型コロナウイルス発生以前の状態には戻っていない。これから少しずつ以前の状態に近づいていくとみられるが、客の動向によくつかめない部分がまだある。
,,○,商店街（代表者）,お客様の様子,・少しずつ客の動きが上向いてきている。
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いていることもあり、客足が少しずつ回復してきている。肌感覚ではあるが、来客数は以前の７～８割程度まで戻っている。夜の居酒屋なども予約が順調に入り始めており、週末の金曜、土曜は予約を取りづらい状況にまでなった。ただ、一次会で終わりというパターンが多く、二次会、三次会という流れにはなっていないことから、厳しい状況が依然として続いている。
,,○,商店街（代表者）,販売量の動き,・少しずつだが青果物の輸出が伸びてきている。
,,○,一般小売店［酒］（経営者）,単価の動き,・販売量はいまだに弱含みでの推移となっているが、前月に続き高額のシャンパン、ワインが好調であり、全体の売上をけん引している。
,,○,百貨店（売場主任）,来客数の動き,・11月の売上は前年と比べて大きく伸びている。ただ、前年は新型コロナウイルスの影響で売上を大きく落としていた時期であり、前々年の水準までには回復していない。
,,○,百貨店（販売促進担当）,来客数の動き,・緊急事態宣言の解除後から来客数が順調に伸びている。それに伴い買上客数も増加傾向にある。
,,○,百貨店（営業販促担当）,来客数の動き,・来客数が前年から２けたの伸びとなっており、改善の兆しがみられる。また、衣料品も前月と比べて動きが出てきている。ただ、客単価が低下していることから、来客数ほどの売上アップがみられない。
,,○,百貨店（マネージャー）,来客数の動き,・来客数の推移を前年比でみると、８月が83％、９月が91％、10月が95％、11月が26日時点で95％となっており、安定した動きになってきている。
,,○,スーパー（店長）,来客数の動き,・前年11月は感染拡大防止に向けた集中対策期間となっていた時期であり、その分客が戻ってきている。また、国内の各業態でブラックフライデーがセールスの企画として浸透してきており、年間でもトップクラスの売上を稼ぎ出すほどに成長している。
,,○,乗用車販売店（経営者）,販売量の動き,・半導体不足の影響による減産が改善に向かっていることから、当社の売上も回復しつつある。また、コロナ禍に伴う緊急事態宣言が解除されたことで、観光関連や飲食店などの活気が戻りつつあることもプラスである。
,,○,乗用車販売店（従業員）,販売量の動き,・緊急事態宣言が解除されたことで、３か月前と比べると販売量が上向いてきている。ただ、景気が良くなったと感じるほどの販売量には達していない。
,,○,その他専門店［造花］（店長）,お客様の様子,・緊急事態宣言の解除後、来客数や客の購入金額が上向いてきている。
,,○,高級レストラン（スタッフ）,来客数の動き,・ワクチン接種率の向上に伴って新型コロナウイルスの新規感染者数が劇的に減少していることで、これまで外食を控えていた人が少しずつ外出するようになり、週末の来客数が増加している。また、夜間の営業を再開したこともプラスとなっている。景気が好転する兆しがみられ始めている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・地方自治体による各種支援事業の効果で、個人旅行客、ビジネス客が回復する兆しがみられ始めている。
,,○,旅行代理店（従業員）,来客数の動き,・10月中旬以降、修学旅行などの団体旅行が動き出してきている。前年はＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンによる需要回復が顕著にみられた時期であったため、前年比では回復基調にみえないが、10月後半から11月にかけての地元空港利用者は観光需要、生活需要のいずれも上向いている。
,,○,旅行代理店（従業員）,販売量の動き,・新規感染者数が落ち着いていることに加えて、北海道独自の宿泊旅行商品の割引制度の効果もあり、販売量が増えている。依然として道内旅行が中心ではあるが、３か月前と比べて道外旅行も増えてきている。
,,○,旅行代理店（従業員）,来客数の動き,・緊急事態宣言の解除後から来客数や電話による問合せが増えてきている。
,,○,タクシー運転手,来客数の動き,・11月の売上について、稼働しているタクシー１台当たりでみると、コロナ禍以前の前々年からはマイナス20％であるものの、前年からはプラス30％と回復傾向にある。ただ、コロナ禍の影響による乗務員不足によってタクシーの稼働率が低下しており、会社の収入は前々年比マイナス30％と厳しい状況が続いている。
,,○,タクシー運転手,来客数の動き,・日中の客による利用も、夜間の飲食店帰りの客による利用もやや増加してきている。
,,○,タクシー運転手,販売量の動き,・乗降客数が前々年の70％程度まで回復するなど、少しずつ上向いてきている。ただ、新型コロナウイルス発生以前の水準まで回復するには数年掛かりそうだ。
,,○,タクシー運転手,来客数の動き,・北海道は新型コロナウイルスの影響で大変厳しい状況にあったが、ここに来て新規感染者数が大分減ってきたことで、人の動きが若干増えてきている。地元客の動きも水準としては低いが、前年と比べると多少は増えている。ただ、第６波への警戒はまだまだ必要である。
,,○,タクシー運転手,お客様の様子,・ワクチン接種が進み、新型コロナウイルスの新規感染者数も減少していることから、人の動きが徐々に回復傾向にある。前年比も110％まで回復している。ただ、海外での感染状況をみると、いつ第６波が生じるのかと心配である。
,,○,美容室（経営者）,来客数の動き,・新型コロナウイルスの感染状況が落ち着いていることから、食事や旅行に出掛ける人が増えており、それに伴って髪のおしゃれにも気を遣う人が増えている。関連商材の売上も増加している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・年末に近づくにつれて、工事関連の輸送が増加している。このままの状況で年を越すものとみられる。
,,○,住宅販売会社（経営者）,単価の動き,・ウッドショックの影響で木材、建材などの価格が上昇しており、利益を押し上げている。その反面、原油高の影響でガソリンなどが値上がりし、コスト高になってきている部分もある。
,,□,商店街（代表者）,来客数の動き,・緊急事態宣言が解除されてから２か月が経過したが、当区域において景気が上向いている兆候は確認できない。平日の日中における歩行者は少ないままであり、夜型飲食店においても店舗外から確認する限り利用客の増加はみられない。また、道内他都市からの来街者は、区域内の駐車場の利用状況をみる限り増加しているとは判断できない。
,,□,一般小売店［土産］（経営者）,販売量の動き,・道外客、海外客の利用はいまだにほぼゼロであるが、11月に入っても雪がないこと、９月に東京で新規出店したことなどから、全体売上は増加している。
,,□,一般小売店［土産］（経営者）,お客様の様子,・観光客は少しずつ戻りつつあるものの、売店での買物やレストランでの飲食にまで人の動きが広がっていない。なるべく長い時間店内に滞留しないようにしたり、余計な買物をしないという客の様子がうかがえる。ここ最近の特徴として、特に年配客が増えてきていることが挙げられる。
,,□,スーパー（店長）,それ以外,・新型コロナウイルスの影響がいまだにみられることから、景気は下げ止まりの状態のままで推移している。
,,□,スーパー（従業員）,来客数の動き,・コロナ禍によって落ち込んだ来客数の回復がみえてこない状況にある。
,,□,コンビニ（エリア担当）,来客数の動き,・原油価格の高騰やふだん消費する食品の値上げが相次いでいることから、家計の節約志向がみられ、消費が鈍っている。
,,□,コンビニ（店長）,来客数の動き,・20時以降の来客数に伸びがみられない。
,,□,衣料品専門店（店長）,単価の動き,・外出が増えていることで、前年と比べてアウター、コートの動きが改善しているが、スーツが稼働していないことから、客単価が非常に悪い。
,,□,家電量販店（店員）,お客様の様子,・緊急事態宣言が解除され、新規感染者数も少なくなったにもかかわらず、購買に結び付いてない。下見をしている客が多いと感じる。
,,□,乗用車販売店（従業員）,販売量の動き,・11月はタイヤ交換の時期であり、販売台数の目標が低く設定されているため、当店及び会社全体では目標を達成することができている。ただ、１～３月の繁忙期を迎えると、販売台数の目標が引き上げられるため、厳しい状況となる。
,,□,自動車備品販売店（店長）,お客様の様子,・来客数、客単価の２点から判断すると、３か月前と大きな違いはみられず、売上もそれほど変わっていない。冬タイヤ購入者が若干増加しているものの、景気改善につながるほどのものではない。
