Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,・２月中旬から週末や祝前日の来客数が明らかに増えてきている。これから暖かくなることで新型コロナウイルスの感染動向が抑制傾向になることが見込まれる上、人が動きやすい季節にもなるため、にぎわいの復調が期待できる。
,,○,商店街（代表者）,・新型コロナウイルスの感染者数が減少してきており、終息の兆しが見られる。暖かくなってくる時期でもあるため、今後は徐々に外出が増えることが見込まれる。生活様式は変化してきているが、街にも少しずつ活気が戻ってくることになる。
,,○,商店街（代表者）,・高齢者への新型コロナウイルスワクチンの接種が４月から始まる予定であるため、ワクチン接種を終えた高齢者の来街が増加することが見込まれる。自粛生活が続いているなか、使うことのできる金はあると見込まれるため、一部の業種を除き売上はアップする。
,,○,商店街（代表者）,・鮮度を落とさずに長期保存しているりんごの販売が３月中盤から始まることで、青果市場は持ち直すと見込まれる。また、春野菜などが市場に多く出てくることもプラスである。我慢はまだまだ必要だが、緊急事態宣言の解除に伴い、経済は徐々に回復すると期待している。
,,○,一般小売店［土産］（経営者）,・今後の景気は徐々に良くなるとみているが、当社の売上の45％がアジア人観光客によるものであり、外国人観光客が戻るまで、あと５年くらいは掛かるとみられることから、まだまだ大変な状況は続く。
,,○,一般小売店［酒］（経営者）,・酒類を提供する飲食店舗への休業要請が２月15日に解除されたことで、売上が回復した。新型コロナウイルスの感染者数も減少しているため、今後の景気は徐々に上向くことになる。
,,○,百貨店（販売促進担当）,・新型コロナウイルスワクチンの接種が始まり、新規感染者が抑えられることで、景気も回復傾向に転じることになる。
,,○,百貨店（営業販促担当）,・新型コロナウイルスの感染者数が落ち着いてきたことから、客の来店が徐々に回復してきている。今後はこうした傾向がますます強まることになる。これまで苦戦していた衣料品に動きが出てきていることからも、消費マインドの改善がうかがえる。
,,○,スーパー（店長）,・前年は北海道独自の緊急事態宣言により、外出自粛、休校、食料品以外の店舗休業などが行われていたため、前年以上の売上となることはほぼ間違いない。問題は一昨年と比較してどこまで回復するかということである。密を避ける意識がまだ高いことから、ファッション衣料や化粧品関連は苦戦が見込まれる。
,,○,スーパー（役員）,・新型コロナウイルスの感染が確認されてから１年が経過し、内食が習慣化してきたことで売上のベースが上がってきている。そのため、今後の景気はやや良くなる。
,,○,コンビニ（エリア担当）,・新型コロナウイルスワクチンの接種が始まったことから、明るい雰囲気が出ており、予定どおりに緊急事態宣言が解除されることになれば、人の往来の動きも若干出てくることになる。
,,○,コンビニ（店長）,・新型コロナウイルスワクチンの接種が普及することで、夕夜間の人の動きが以前のように戻ってくると見込まれる。
,,○,乗用車販売店（従業員）,・新型コロナウイルスワクチンの効果が徐々に現れることで、景気の回復につながることを期待している。
,,○,乗用車販売店（従業員）,・新型車種が出るため、今後は販売量が増えると見込まれる。
,,○,その他専門店［造花］（店長）,・新型コロナウイルスが終息し、景気対策が行われることで、経済が多少は上向くことになる。
,,○,高級レストラン（経営者）,・新型コロナウイルスの感染動向が収まってきているなか、新型コロナウイルスワクチンの接種も始まり、このままワクチンの接種がどんどん進むことで、観光客の動きが回復することが見込まれる。そうなれば景気は上向きとなる。
,,○,高級レストラン（スタッフ）,・２月一杯で飲食店への営業時間短縮要請が解除されるため、今後、飲食店利用が少しずつ増えてくることを期待している。ただ、高級店を利用するような年齢の高い世代は、新型コロナウイルス感染への不安感などから、活動が鈍いとみられ、前年比50～60％程度の売上にしかならないことが懸念される。また、このような売上にとどまることになれば、休業中のアルバイトスタッフの再雇用は難しい。
