Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,旅行代理店（従業員）,・東京オリンピック後に観光回復策が集中的に投下されることを期待している。現状から夏季観光需要の大幅回復は見込めないが、その分、レジャー関連の潜在需要がかなり蓄積しているとみられるため、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンなどの施策により、市場の景気回復につなげてほしい。
,,○,商店街（代表者）,・ワクチンの普及に伴って、客の行動範囲が広がっていることから、今後の景気はやや良くなる。
,,○,商店街（代表者）,・コロナ禍以前であれば、２～３か月後は出控えの時期となるが、農作業が落ち着く時期でもあるため、周辺地域からの来街者が増加するとみられる。土産、宿泊については余り期待できないが、衣料品、昼間の飲食などで若干の売上アップが期待できる。
,,○,商店街（代表者）,・果物の流通量の増加が見込まれる。雨風などの悪天候による影響が生じない限り、景気はやや良くなる。
,,○,一般小売店［土産］（経営者）,・ワクチン接種が進展することで景気はやや良くなる。夏から初秋にかけての人出はどうしても抑えられないと考えられるため、新型コロナウイルスの感染者は増えるとみられるが、ワクチンの効果で経済活動が上向くことを期待している。
,,○,一般小売店［酒］（経営者）,・新型コロナウイルスの感染動向にもよるが、消費者の手元資金が蓄えられているようにみえることから、今後の景気は徐々に回復することになる。
,,○,百貨店（販売促進担当）,・新型コロナウイルスの影響がどの程度出てくるかは予測できないが、来客数が安定して増加傾向にあることから、今後、感染者が爆発的に発生しなければ、ワクチン接種の拡大に伴って、景気は少しずつ回復することになる。
,,○,百貨店（営業販促担当）,・ワクチン接種の進み具合にもよるが、接種を終えた高齢者の来店が着実に増えてきていることから、今後の景気はやや良くなる。秋にはプレミアム付商品券の販売も予定されているため、一定の反動増も見込まれる。
,,○,スーパー（店長）,・２～３か月後には東京オリンピック・パラリンピックも終わり、30～40代のワクチン接種も３～４割は１回目の接種を終えている可能性があることから、今後の景気はやや良くなる。
,,○,乗用車販売店（従業員）,・新型コロナウイルスが終息に向かっていくことが期待できるため、今後の景気はやや良くなる。
,,○,観光型ホテル（スタッフ）,・新型コロナウイルスの感染者数の増減に影響を受けている状況はこれまでどおりだが、観光、レジャーを目的とした予約が増加傾向にあることから、今後の景気はやや良くなる。
,,○,旅行代理店（従業員）,・これまでストップしていた行政の施策が再開されることなどを期待できるため、今後、旅行需要が促進されることになる。
,,○,観光名所（従業員）,・ワクチン接種が進むことで、感染対策をした上での経済活動や余暇活動が今までよりも活発になると期待している。
,,○,美容室（経営者）,・今後、ワクチン接種が進行することで、客の行動が活発になり、経済が活性化していくとみている。現在はシルバー層のワクチン接種が中心であるが、今後、中年層、若年層まで広がっていくことで、現在よりも売上が増加すると期待している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・ワクチン接種が進むにつれて、旅行需要も高まるとみられるため、今後の景気はやや良くなる。
,,□,商店街（代表者）,・コロナ禍の影響が続くことが懸念されるため、今後も景気は変わらない。
,,□,百貨店（役員）,・東京オリンピックが始まっていることが消費への追い風になっている。ただ、今後については、どちらともいえないというのが本音である。
,,□,スーパー（店長）,・新型コロナウイルスの感染者が増加傾向にあり、今後のまん延防止等重点措置の適用や緊急事態宣言の発出の噂もみられるなど、先行きが不透明である。ただ、ワクチン接種が進み、感染者数が落ち着くようになれば、大きく回復する可能性もある。
,,□,スーパー（企画担当）,・今年のお盆の消費動向については、極端な移動自粛がみられた前年とは違い、多少なりとも帰省客が増えるとの予測もあったが、実際には墓参りはするが実家には帰らないという人が意外と多くみられる。消費動向について、非常に読みにくい状況が続いていることから、今後も景気は変わらない。
