Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,百貨店（役員）,・緊急事態宣言が解除されたこと、ワクチン接種が徐々に進んでいくことから、今後については緩やかに景気が回復することになる。
,,◎,コンビニ（エリア担当）,・東京オリンピックが開催されること、ワクチン接種が進むことから、今後の景気は良くなる。
,,◎,観光名所（従業員）,・ワクチン接種のスピードが加速していることから、日常の余暇活動が上向きになることが期待できる。現時点でも、ワクチン接種が終わったから遊びに来たという観光客の声を聞いている。
,,○,商店街（代表者）,・今後、まん延防止等重点措置が解除され、財政出動や消費税減税などの対策が行われることになれば、景気は一気に回復することになる。
,,○,商店街（代表者）,・政府が65歳以上の高齢者のワクチン接種完了時期を７月末としていることから、２～３か月後には他市及び道外客からの観光客が増加することになる。そのため、交通、宿泊、飲食、土産品などの売上が伸びると期待している。
,,○,一般小売店［土産］（経営者）,・ワクチン接種が進み始めているため、今後の景気はやや良くなる。東日本大震災のときに被災者の行動が諸外国から絶賛されたように、今回の首相からのお願いにしたがって感染者数を減少させることができたのであれば、諸外国に日本人の見事さを示す良いチャンスであったと思うと残念な面もある。
,,○,一般小売店［土産］（経営者）,・少しずつだがワクチン接種が進んでいることが安心感につながり、近場での旅行や飲食から、飛行機を利用したちょっとした遠出の旅行というふうに、徐々に人の移動が活発になることを期待している。このため、ワクチン接種のスピードと感染状況次第ではあるが、２～３か月後の景気はやや良くなる。メンタルが明るくなることが何よりの希望であり、これ以上新型コロナウイルスが長引かないことを願っている。
,,○,一般小売店［酒］（経営者）,・ワクチン接種が進んでいることで、緊急事態宣言やまん延防止等重点措置が発出されるケースが少なくなると期待できるため、先行きは明るくなる。
,,○,百貨店（売場主任）,・新型コロナウイルスの感染者数が現状のまま推移すれば、買物しようという消費者心理が高まってくることが期待できるため、今後の景気はやや良くなる。
,,○,百貨店（販売促進担当）,・このまま感染者数の減少傾向が続けば、夏物商材の動きが活発になり、景気が上向くことになる。
,,○,百貨店（営業販促担当）,・２～３か月後には65歳以上のワクチン接種がほぼ終わっていると見込まれる。それ以外の年代についても、職域接種や集団接種が進むとみられるため、今後については徐々に客足が回復することになる。
,,○,スーパー（店長）,・ワクチン接種と東京オリンピックの開催により、現在のネガティブな傾向が若干改善されることになる。
,,○,スーパー（店長）,・１か月以上に渡る緊急事態宣言が解除され、ワクチン接種も徐々に進んでいることから、外出する人が増えてくると期待している。ただし、テレワークの推進や海外旅行の自粛などの動きはそう簡単に変わらないと考えられるため、前々年の水準に回復するまでにはまだ時間が掛かる。
,,○,スーパー（企画担当）,・ワクチン接種が進むことで、夏季行楽に向けて人流が増加することが期待できるため、観光を中心に好影響が生じることになる。
,,○,スーパー（役員）,・新型コロナウイルスのワクチン接種が進むにつれて、人の動きが通常時に戻ってくることが期待できる。
,,○,コンビニ（エリア担当）,・週末に外出する人が増えてきていること、新型コロナウイルスのワクチン接種が進んでいること、感染状況が落ち着き出していることなどから、前年よりも夏休みの行動範囲が拡大するとみられる。そのため、客の動きも上向いてくると期待している。
,,○,コンビニ（エリア担当）,・飲食店などでの酒類の提供時間に関する制限はまだあるが、酒類の販売に関する制限がなくなったことから、今後の景気は徐々に回復することになる。
,,○,家電量販店（経営者）,・ワクチン接種の広がりにより、消費者の安心感が醸成されることで、来客数が増加することを期待している。また、東京オリンピック開催によりテレビを中心に販売量の増加も期待できる。
,,○,家電量販店（店員）,・今後については、東京オリンピックの開催需要やエアコン需要が期待できることから、景気はやや良くなる。
