Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,・例年観光最盛期を迎える時期だが、特に今年は前年末の当地域を舞台とした映画公開にともなう集客が期待できる。
,,○,商店街（代表者）,・このまま株価が回復し、上昇していくと、景況感が良くなり、個人消費に良い影響が出てくる。
,,○,商店街（代表者）,・夏物バーゲンのスタート時期がばらばらという面もあるが、今後、かなりの猛暑が続くことになれば、夏物の在庫を持っている店舗では８月まで売上を取ることができる。
,,○,商店街（代表者）,・２～３か月後においては、４千人が参加予定の全日本ママチャリ８時間耐久レースや４万人が参加予定の北海道バルーンフェスティバルなど、大きな大会が予定されているため、交通、土産、宿泊、飲食等での売上増加が高い確率で期待できる。
,,○,商店街（代表者）,・４～５月は前年よりも売上を落としているが、新政権の経済対策の効果で市場の期待感が高まっているため、今後、来客数は増えることになる。
,,○,商店街（代表者）,・北海道内の商店街の現場最前線を担う若者に道内各地の景気動向を聞く機会があり、ぼんやりだが明るい兆しを感じているコメントがほとんどだった。今までは悪いとしか言わなかったため、これは大きな進展である。ただ、まだ景気回復を実感しておらず、これからの期待感が込められていた。また、円安の悪影響についても尋ねたが、菓子店など、容器類を使うところでは、資材高騰で困っていた。小麦を使う業種については、地場産を積極的に使用しているところは、相場に大きな変動がなく、安どしていた。
,,○,一般小売店［土産］（経営者）,・２～３か月後の景気は今よりも良くなるムードがある。前月も言ったように、給料や売上の増加への期待感よりも諸経費の負担増がこたえているが、新政権の経済対策に対する期待感は非常に強いものがある。
,,○,百貨店（売場主任）,・宝飾品のほか、衣料品についても売上が回復傾向にある。外国人観光客の来店も大きく伸びており、購入額も前年比140％前後となった。シェアの大きな婦人アパレルの回復が大きく、フルカテゴリーで伸びが感じられる。
,,○,百貨店（販売促進担当）,・海外特選ブランドや国内高級ブティックの売上増加は落ちついてきたが、客単価アップの流れは、確実にボリュームラインまで広がってきており、今後もこの傾向は続く。
,,○,百貨店（販売促進担当）,・長期予報では前年並みの夏が予想されている。20度を超える天候が安定して数日続けば、衣料品を中心に購買意欲が高まることになる。
,,○,スーパー（店長）,・株や為替は今後も乱高下するとみられるが、来年の消費税増税まで消費マインドは上がるとみており、現にその傾向が続いている。
,,○,スーパー（役員）,・過去数か月は、近年にないほど、来客数の悪い状況であったが、徐々に回復傾向となっている。しかし、ローカル地域では、客の所得が上昇しているわけではないことに加えて、消費税増税も控えているため、今後も来客数が増加するような材料がない。
,,○,衣料品専門店（店員）,・新政権の経済対策の影響が出始めており、株に投資する客もみられ、商店街を歩く客、展示会で来店する客も購買意欲が向上している。
,,○,家電量販店（地区統括部長）,・長期予報では、今夏は暑くなると予想されており、エアコンや扇風機等の夏物家電の需要が期待されることから、全体的には微増となる。
,,○,住関連専門店（経営者）,・当社で管理しているビルの賃貸部分の空きが２件決まった。周りのビルの空きも埋まってきているようだ。
,,○,高級レストラン（経営者）,・これから観光シーズンに突入するため、良くなると期待している。
,,○,観光型ホテル（スタッフ）,・製薬会社による講演会、イベントが予定されているため、予約が好調である。７月には近隣アジアからのチャーター便運航も予定されている。ただし、週末特化の傾向が強く、平日は苦戦傾向にある。
,,○,旅行代理店（従業員）,・天候が回復することで、農作業の遅れも回復してくる。また、夏場の外国人観光客について、円安による回復が期待でき、活気が出てくる。
,,○,タクシー運転手,・６月はＹＯＳＡＫＯＩソーラン祭り、札幌祭りなどのイベントがあるため、タクシーの利用が少し良くなると期待している。
,,○,タクシー運転手,・これから競馬開催や夏休みなどで観光客の入込が期待できるため、やや良くなる。
