Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,・観光シーズンを迎えて、輸送量が大幅に増加する傾向が例年みられる。
,,◎,住宅販売会社（経営者）,・新政権の経済政策の効果が徐々に出てくることで、３～４か月先への期待感があり、景気は上向くことになる。
,,○,商店街（代表者）,・実感としてまだまだ厳しさを感じているが、単価の高い商品に動きが出てきているなど、景気回復の兆しが出ている。
,,○,商店街（代表者）,・世の中全体の雰囲気として、先行きが良くなるのではないかという期待をもたらしている。
,,○,商店街（代表者）,・例年、ゴールデンウィーク前やゴールデンウィーク中については、地域住民は外へ出かけ、観光客も中心部には足を運ばない傾向にあるため、売上の増加は見込めない。ただし、ゴールデンウィーク以降については、徐々に地元客が増加することになり、月全体としては今月より売上はアップする。
,,○,百貨店（販売促進担当）,・現状、記録的な大雪や低温の影響で消費に対する意欲が下がっているが、今後は気温の上昇や雪解けにともなって、購買意欲が高まってくる。
,,○,百貨店（販売促進担当）,・給料日以降の動きについて、今までと異なる上昇機運がうかがえる。春先に向けて、前向きな気持ちの変化の芽が出てくることに期待している。
,,○,スーパー（店長）,・これからの政治に期待を込めて、良くなるのではないかと期待している。
,,○,スーパー（企画担当）,・新政権の経済政策の効果や株価上昇、円安進行などにより、多少なりとも活気付く。
,,○,コンビニ（エリア担当）,・昼間は来客数が前年並みに戻っている。除雪が進み気温が上昇すれば夜間帯の来客数も戻る。
,,○,コンビニ（エリア担当）,・新政権の経済対策に対して、社会全体が反応することになる。
,,○,コンビニ（エリア担当）,・公共事業が増えることが期待される。
,,○,衣料品専門店（店員）,・雪解けにともない各家庭の暖房費が少なくなる中、春の新入学や転勤の時期を迎えることで消費が増えることになり、着物業界も催事が多くなる。
,,○,家電量販店（経営者）,・春や夏の季節商材の動きに加えて、冷蔵庫やＬＥＤ照明等の省エネ商品への需要増が見込まれる。
,,○,家電量販店（店員）,・３月は新入学や１人暮らしなどの需要が見込めるため、家電全般に期待感が出てくる。
,,○,家電量販店（地区統括部長）,・引き続きテレビの販売量が回復傾向で推移しているため、微増ながらも売上が増加する。
,,○,乗用車販売店（従業員）,・北海道の場合、暖かくなるにつれて販売台数が伸びることになり、全体的に盛り上がっていくことは間違いないため、今後２～３か月は上向きで推移する。
,,○,乗用車販売店（営業担当）,・国内の政策や世界経済の動向にも左右されるが、今の流れから判断すると、若干の上昇が見込める。
,,○,高級レストラン（経営者）,・雪解けとともに客足が戻ってくると期待している。
,,○,高級レストラン（スタッフ）,・新政権の景気対策の効果が現場まで届き、好景気になる。
,,○,スナック（経営者）,・１～２月と来客数が、現状維持よりも少し良くなっている。これから３～４月にかけて、少しずつ良くなっていく。
,,○,旅行代理店（従業員）,・株高、円安による景気の上向き感を受けて法人の活力が上がる。企業も前向きな姿勢となることで、需要増加が見込まれる。
,,○,通信会社（企画担当）,・競合他社の商品、サービスに対して、高い評価をする声が若干ではあるが減りつつあり、自社製品、サービスへの流入、新規獲得が期待できる。
,,○,観光名所（従業員）,・５月になると、台湾との国際線定期便が週１便増加するため、今よりも外国人観光客の入込が増加することを期待できる。
,,○,美容室（経営者）,・全体的に明るい気分が出てきているため、何かを買ったり、出かけたりといった能動的な行動が以前よりも増えてきている雰囲気を客から感じられる。
,,○,住宅販売会社（従業員）,・消費税増税前の駆け込み需要が増える。
,,□,商店街（代表者）,・トレンドとして、ほぼ例年並み又は前年を下回る状況は変わっておらず、先行きを見通す要素がみられない。
