Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・消費税増税前の駆け込み需要に向けた商戦がそろそろ始まるため、高額品、消耗品を中心に売上が良くなる。
,,◎,家電量販店（経営者）,・消費税増税前の駆け込み需要に加えて、電気料金の値上げ対策として、省エネ性能の高い冷蔵庫、ＬＥＤ照明などの省エネ商品の販売増が見込まれる。
,,◎,家電量販店（地区統括部長）,・消費税増税前の駆け込み需要がピークとなり、前倒しではあるが、販売量が増える。
,,○,商店街（代表者）,・消費税増税前の駆け込み需要が予想されるため、３月までは良くなる。
,,○,百貨店（売場主任）,・全体での売上が前年並みであるのに対して、特選品、宝飾品の売上が前年を５％以上上回るなど引き続き好調である。高額品の購入が目立っていることから、消費税増税に向けた防衛策ともみられるが、顧客以外の新規客の購入も増えているため、市場全体に期待感がある。
,,○,スーパー（役員）,・客単価上昇の要因は商品単価の上昇によるものであるが、顧客の商品選定の動向をみると、若干質の高い商品が動いており、景気がやや上向いている。
,,○,スーパー（役員）,・消費税増税にともなう需要が見込める来年の３月までは、売上が前年を上回って推移する。
,,○,衣料品専門店（経営者）,・年末から新年にかけて、新春福袋などの売上が伸びることが期待できる。また、百貨店や家電量販店、大型スーパーなどではチラシで売出しを打ってくる。
,,○,衣料品専門店（店長）,・消費税増税前の駆け込み需要が見込める。
,,○,乗用車販売店（営業担当）,・消費税増税前の駆け込み需要の影響に加えて、各メーカーの新型車発表による相乗効果があり、販売量の増加が見込まれる。
,,○,スナック（経営者）,・現政権の経済対策により景気が大分良い企業もあるため、忘年会や新年会が数多く行われることを期待している。
,,○,タクシー運転手,・例年、年末はタクシーの利用が最も多くなる月であり、これから冬期間に向かって売上も良くなってくる。
,,○,タクシー運転手,・２～３か月先になると、寒くなり、雪が積もるようになるため、タクシーの利用も増える。また、年末年始にかけて帰省客が増えるため、帰省客による需要も見込める。
,,○,観光名所（従業員）,・今年度は、毎月、前年比で10％以上利用客が増えており、このトレンドへのマイナス要素を見付けることができない。さらに冬期間は東南アジアからの観光客がこれまで以上に期待できる。
,,□,商店街（代表者）,・商店街を日々見ていても、地域の経済や消費動向などに変化がみられず、景況感をつかめないのが実感である。
,,□,商店街（代表者）,・２～３か月後はバーゲン月に入ってくるため、バーゲンで買物をしようという客も来店することになるが、その一方で消費税増税を控えて買わずに我慢しようという客もかなり多いとみられるため、全体としてはプラスマイナスゼロでそれほど変わらない。
,,□,商店街（代表者）,・株価等は良い方向で動いているが、このまま続くのかが不透明である。
,,□,商店街（代表者）,・氷まつり等のイベントも行われるが、売上増加に直結するような各店舗の販促活動は一部を除き計画されていない。さらに、気象条件の厳しい時期であるため、消費税増税の直前とはいえ購買意欲の沈滞ムードが継続する。
,,□,商店街（代表者）,・デフレ脱却に向けて取り組んでいるが、結局、消費者は安いものを中心にしか買わない状況である。
,,□,一般小売店［土産］（経営者）,・本州の大きな街から来た観光客からは相当景気が良くなったという話も聞くが、北海道では土木関係者以外はかえって悪くなったと話す人の方が多い。特に燃料価格が上がっていることで、これから冬を迎えて、秋より景気が良くなる様子はない。
,,□,一般小売店［酒］（経営者）,・高いものが売れたり、客の購買頻度が上がったりという消費行動がみられるまでには至っていないため、ここ２～３か月は今の横ばいの状態が続く。
,,□,百貨店（売場主任）,・３か月の長期予報によると、12月以降は寒さが厳しくなるため、特に防寒コート、ニット関連の動きが活発になる。また、現在、クリスマスシーズンに向けての商品、お歳暮などが早期展開で順調に動いているほか、おせちも順調に予約が入っていることから、今後に期待できる。
