Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,百貨店（売場主任）,・ラグジュアリーブランドの価格改定で価格上昇が継続しているなかでも、購買動向が上向いている。
,,◎,スナック（経営者）,・株高、円安になり、世の中自体が少し浮かれているため、これから景気が良くなる。
,,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,・春を迎えて観光シーズンが始まり、人、物ともに輸送量が増加する。
,,◎,住宅販売会社（経営者）,・新政権の経済対策の効果に期待している。
,,○,商店街（代表者）,・客の様子をみても、持っていた株が上がったなどの景気回復感のうかがえる明るい話題が出てくるようになった。
,,○,商店街（代表者）,・政権交替後、景気が徐々に上向いているとの判断も聞かれるが、当地においては現在のところ実感できるものはない。しかしながら、２～３か月前後は道外客が増加してくる時期となるため、客単価のアップ及び販売量の増加等で収益の増加が期待できる。
,,○,商店街（代表者）,・来月から東京との航空路線での新規就航があるため、来客数の増加が見込まれる。また、株高円安の動きもあり、少しずつ消費に回るようになる。
,,○,商店街（代表者）,・高額品が少しずつ動き始めており、景気回復の兆しがみられるようになってきている。ただ、北海道は本州に比べて効果が遅れてくるため、実感できるのは早くても夏の終わりになる。
,,○,百貨店（販売促進担当）,・大雪や厳冬に悩まされた北海道であったが、４～５月にかけて雪解けが進み、春の訪れとともに、春物衣料を中心とした購買意欲が高まる。
,,○,百貨店（販売促進担当）,・２月末以降、気温の上昇とともに購買動向が上向きにある。降雪や前年の爆弾低気圧のような特殊な天候要因がなければ、好転する兆しがうかがえる。
,,○,百貨店（役員）,・先行きへの期待感に消費者が反応してくることを期待している。
,,○,スーパー（店長）,・酒類売場では価格の安い新ジャンル系のビールが好調であるが、特出しすべきは高級ビールが動くようになってきており、それ以外のビールも好調になってきている。
,,○,スーパー（店長）,・気温上昇とともに消費のモチベーションが上がる。価格競争は消費税増税以降に顕著になるとみら、今年は高額商材の需要が十分見込める。
,,○,スーパー（店長）,・消費税増税までは、客の購買意欲が高まることになる。
,,○,コンビニ（エリア担当）,・株価も上がっており、給料も上がる気配が出ている。その感覚がすそ野まで広がれば消費が刺激されることになる。
,,○,自動車備品販売店（店長）,・来客数が２か月連続で伸びている傾向から、期待感も含めて良くなる。
,,○,高級レストラン（スタッフ）,・このまま新政権の経済対策の効果が続けば景気は良くなる。
,,○,観光型ホテル（スタッフ）,・需要を喚起するような学会、イベントがいくつか開催される予定である。
,,○,旅行代理店（従業員）,・本格的に景気が良くなると断言できるまでにはまだ時間がかかる。企業のベースアップの動きもみられるなど、企業活動が活性化することで法人需要が増えることになる。
,,○,旅行代理店（従業員）,・ＴＰＰ問題などで１次産業では先行きへの不安を抱えているが、東京便の一部で運賃値下げを実施することで需要喚起が期待される。
,,○,旅行代理店（従業員）,・当地区は、農業に携わっている方が多いが、前年度の収穫高が良かったため、今後はやや良くなる。
,,○,タクシー運転手,・これから花見やゴールデンウィークがあるため、観光客の入込が期待できる。
,,○,通信会社（企画担当）,・直近の活動で客に対するイメージアップが期待できるため、今後はやや良くなる。
,,○,観光名所（従業員）,・空路において、４月から国内線の新規就航や増便があるほか、国際線でも５月から台湾との定期便の増便などがあり、プラス要素の効果が期待できる。
,,○,美容室（経営者）,・最近、客との会話で明るい話題が多くなってきている。旅行や外出のための来店も増加してきている。
,,○,設計事務所（所長）,・問い合わせの増加が受注につながることを期待している。
,,○,住宅販売会社（従業員）,・現状でもかなり良好な水準で身の回りの景気は推移しているが、今後２～３か月は更に良くなる。分譲マンションの購入に際して、キャンセル待ちの客がいることに加えて、最近の給与水準の引上げにともない新たな分譲マンションの購入予備軍が増えてきている。
