Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,・これから本格的な観光シーズンを迎えるに当たり、修学旅行生は愛知万博にかなり取られていると感じるが、国内旅行に関しては、一部北海道に流れてきている。特に高齢者層の小団体が増えてきていると感じる。法人需要の部分では、依然として落ち込みがあるが、店での購買状況をみると個人旅行や個人消費ではメンタル的にも回復していると感じることができる。
,,○,商店街（代表者）,・秋物商戦はどうなるのかはいまいち見えてないが、夏商戦が早めに終わることで、秋の立ち上がりが早くなり、高額のものが動き出す。
,,○,商店街（代表者）,・人が動くようになり、消費の購買力もついてきた。所得も３か月前より、かなり良くなっていると感じる。その影響で街中や観光地へ出かける機会も多くなっている。
,,○,百貨店（役員）,・気温の上昇もあるが、衣料品のまとめ買いや高単価の商品の動きが目立つようになっている。衣料品の売上は、若干ではあるが、前年を上回る状況になってきた。
,,○,スーパー（店長）,・５月よりは若干販売量が落ちているが、前年比でみると、販売量は３％ほど伸びている。
,,○,衣料品専門店（店長）,・北海道の夏物の販売期間は全国と比べて短いにもかかわらず、ここ２～３か月、販売量が継続して増加傾向にあることから、上向いている傾向が感じられる。
,,○,衣料品専門店（店員）,・現在、現金での買上率が上がってきているので、クレジットカードで利用できる金額の枠にも余裕が生まれ、今後はカードを利用しての買物も出てくる。
,,○,その他専門店［造花］（店長）,・２～３か月後はクリスマス商品が動き出す時期であるが、客の様子から前年よりも上向くことが期待される。
,,○,一般レストラン（スタッフ）,・客単価が１年ぶりに前年の水準まで戻ってきている。領収書の発行枚数も増えてきて、法人の利用が伸びてきている。
,,○,旅行代理店（従業員）,・沖縄直行便が９月に再就航すること、また機材も大型のものに変更されることによって、熟年や20～30代の需要喚起が期待できる。
,,○,美容室（経営者）,・客の会話の中でレジャーや買物に関する内容が増えてきた。
,,□,商店街（代表者）,・６月に入って少しずつ売上も上昇気運になってきているが、抜本的に景気が良くなってきているとはまだ考えられない。先行き不安に対する問題が多すぎるので、なかなか景気が上向くところまではいっていない。
,,□,一般小売店［酒］（経営者）,・今月の売上をみると幾分良くなってきているのかと見受けられるが、天候等不確定要素が多く、３か月先まではこのまま良い状態が続くとは楽観できない。
,,□,百貨店（売場主任）,・郊外型量販店の増加や市内中心部でも競争が激しくなっており、同じような商品なら単価の安いものをという客が郊外店に出向いているケースが非常に多くみられる。商売が分散されていて、今後もその状態が続く。
,,□,スーパー（店長）,・これからピークを迎えるお中元の出足をみても、前年を大きく割り込んでおり、先行きの景気の明るさはなかなか見えない。
,,□,コンビニ（エリア担当）,・デフレの状況がしばらく続く。
,,□,コンビニ（エリア担当）,・市町村の予算は前年比較で更に減額されていることと、増税の話が出ていることから、将来的に景気が良くなる要素は見当たらず、消費が増加するとは考えられない。
,,□,衣料品専門店（店長）,・年配の客が多いので、年金を心配しており、この先も消費の回復は見込めない。
,,□,家電量販店（地区統括部長）,・前年は猛暑による季節商材と、オリンピック需要によるＡＶ商品が大きく寄与した。現状はデジタル家電が依然として好調を維持しているため、全体的には大きな変動はないと思う。
,,□,乗用車販売店（従業員）,・これから新型車が出る様子もなく、このままの状態が続く。
,,□,乗用車販売店（従業員）,・一般客の中で景気が良くなったという話はないため、販売台数は増えない。
,,□,高級レストラン（スタッフ）,・予約状況は良いが、客単価が下がっており、売上増は望めない。天候状況の良さや景気の悪くない道外企業の動きはみられるが、ランチの客層から判断すると、道内企業の厳しさもうかがえ、景気が良くなってくるとは予想しにくい。
