Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,＊,＊
,,○,スーパー（店長）,・他店との競合が落ち着いてくることで、商品単価が上昇することが見込まれる。
,,○,コンビニ（エリア担当）,・７、８月は前年の猛暑の反動で飲料水やアイスクリームなどの夏型商品が伸び悩み、全体の売上に影響したが、それを除けば安定してきた気配があり、今後も堅調に推移するとみられる。
,,○,コンビニ（エリア担当）,・北海道新幹線の工事を含めて、工事関係者による需要が若干見込める。
,,○,衣料品専門店（店長）,・現状では上向きとなるような要素は非常に少ないが、今年の夏の状況から判断すると、気温が低下し、本格的に冬を迎える頃には上向きになる。夏の傾向としては、客が商品を欲しいと思う、実売期といわれる時期には非常に売上が良く、客の様子としてもお金を出し惜しむというよりは、必要だから買いそろえるという感覚だったようにみえ、これらのことからも３か月後は上向きになるはずである。
,,○,家電量販店（地区統括部長）,・札幌市及び周辺地域の地上デジタル放送の2006年開局を控えて、家電量販店が一斉に早期需要獲得に向けた取組を実施する。
,,○,観光型ホテル（スタッフ）,・９、10月の予約状況は前年の同時期と比較して強含みで推移している。
,,○,旅行代理店（従業員）,・知床の世界自然遺産への登録により、道内客の動きも活発になってきている。沖縄便も利用機材の大型化によって人員を伸ばしており、期待ができる。
,,○,美容室（経営者）,・最近、近所の店で改装をするところが出てきており、商店街に元気な雰囲気が少しずつではあるが感じられる。
,,□,商店街（代表者）,・財布の中身が増えない限り、景気が良くなるという実感はない。中心街でも屋台村がオープンして夜のにぎわいが創出されるが、大型店の集客は落ちている。
,,□,商店街（代表者）,・秋冬物商材の最盛期ということで、今年のトレンドがはっきりしてきて防寒物が動けば、今よりアップするが、今のところ秋物商材の動きがみられないので、どちらとも言えない。
,,□,一般小売店［酒］（経営者）,・ここ数か月の売上の動きをみると、一進一退の状態が続いており、特にこれから良くなるという期待も大きく低下するという不安もない。
,,□,百貨店（売場主任）,・ウォームビズの関連で秋物商材の動きが少し助長される感じが見受けられる。紳士物、婦人物とも羽織物やベストなどの動きが期待される。
,,□,百貨店（売場主任）,・今年度に入り、販売数量、平均買上金額とも減少していて、今後も基本的な売上ベースでの販売量はすぐには回復しない。
,,□,百貨店（役員）,・比較的好調を持続していた来客数や販売量も減少傾向にあり、客の購入態度も分かりにくく、今後も売上が低迷したままの状態が続く。
,,□,スーパー（店長）,・原油が高騰し続けており、これから需要期に入る北海道としては、非常に厳しい条件となりそうだ。
,,□,スーパー（企画担当）,・原油の高騰がどのよう影響するか分からない。
,,□,コンビニ（エリア担当）,・現状では天候に恵まれ、農作物の収穫量が増加見込みとなっている。農家の収入が増えそうなので農業地帯に関しては景気が上向きになる可能性があるが、原油の高騰など、生活費の上昇も見込まれ、トータルすると景気はあまり変わらない。
,,□,コンビニ（店長）,・非常に動きの良い商品とそうでない商品がかなりはっきりしてきている。好調に推移している商品については４、５年前の好調な時期と変わらない動きをしているものや、むしろ上回る動きをしているものもある。弁当などは売上的には最盛期の半分と変わらないが、売れているものの動きが違ってきている。全体としてはプラスマイナスゼロで変わらないが、客の様子が変わってきている。
,,□,家電量販店（店員）,・同業者には低価格で集客をしているところもある。一般の人は少しでも安い商品を探しており、景気はまだ良くはならない。
,,□,住関連専門店（経営者）,・商店街の店舗がまた一店舗閉店する。すぐに新しい店舗が出店すれば良いが、閉店したままの状態の店舗もあり、商店街全体としては非常に損失が大きい。
