Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,・去年の秋口は、沖縄など他方面に客をかなり取られた。今年も海外、沖縄とも伸びてはいるが、昨年離れた反動で北海道に戻ってくる。国際情勢の不安定な状況から、旅行全体に対する悪影響が出なければと感じている。
,,◎,衣料品専門店（店長）,・依然として客の買物点数が多く、また初秋物の立ち上げが年々早くなる中、消費動向が比較的好調な婦人服で、初秋物の売れ行きが本格化することで、好調が見込める。
,,○,商店街（代表者）,・日中の動向は上向き傾向に感じられるが大きな変化にはならない。飲食を中心とした夜間の動向は、屋台村が10月にオープン予定されていることから、地元客や観光客、視察などでにぎわいが予想される。また新規飲食店の開店や空き店舗への問い合わせが数件みられる。
,,○,百貨店（役員）,・催事等で納得のいく商品やプライスを提案すれば、集客も良く、高単価の商品やまとめ買いで売上が確保できるようになってきた。
,,○,スーパー（店長）,・前年の猛暑の反動もあり、７月単月では夏物商材が低迷しているが、家電や日用消耗品、水産物、青果などで売上回復の兆しが見えてきており、消費は回復しつつある。
,,○,スーパー（店長）,・野菜の収穫時期に入り、客数をしっかり捉えつつ単価もキープしようと、採れたて野菜の販売に力を入れており、その成果が少しずつ現れてきているため、今後についても期待できる。
,,○,スーパー（店長）,・６月に引き続き販売量が前年を上回っている。前年比は107％と確実に前年より売れている。
,,○,衣料品専門店（店員）,・来客数が増え、単価が上昇しており、売上も増加しているため、今後は状況が良くなる。
,,○,乗用車販売店（営業担当）,・知床が世界自然遺産に登録されたことから、観光を中心に景気が良くなる。
,,○,観光型ホテル（経営者）,・知床の世界自然遺産登録による効果に期待している。かつての知床ブームを知る者が減少してきているが、今回の世界自然遺産への登録で異なる世代の知名度が上がり、自然志向と相まって道内外客の増加が期待される。またボーナスの支給具合にもよるだろうが、夏休み、お盆休みの家族連れの増加も期待される。
,,○,観光型ホテル（スタッフ）,・現在の予約状況をみると、８月が前年割れしているものの、９～10月は強含みに推移している。
,,○,旅行代理店（従業員）,・現在は旅行需要に若干勢いがないが、海外の不安定な情勢と円安傾向にあることから、国内では秋旅需要が伸びる。
,,○,美容室（経営者）,・以前よりも客の購買意欲が高まっており、気に入ったものは買う意欲が感じられる。
,,○,住宅販売会社（従業員）,・東京の景気の良さがじわじわと伝わってきて、ムードが上がりつつある。住宅業界では増改築等を検討する動きが一部みられる。ただし新築についてはまだまだそういう雰囲気はない。
,,□,商店街（代表者）,・商品のトレンドは、秋物に関しても今の流れを追っていくだろうが、天候の影響もかなりあるので何とも言えない状態である。
,,□,一般小売店［酒］（経営者）,・今年に入ってから多少の増減はあるものの、基本的な売上ベースはそう変わっていないため、今後も変わらない。
,,□,百貨店（売場主任）,・秋物の商品が少し良くなる。クールビズから秋に向けてのウォームビズで紳士カジュアル関連の動きが良くなる気配がある。
,,□,百貨店（売場主任）,・郊外型量販店との競争の激化が今後も更に過激になる。
,,□,コンビニ（エリア担当）,・販売量は大きくは減少していないが、客単価が低下している。物価の下落に伴い、商品単価が下がっているということが大きな要因となっている。このため客数増加の対策を取っても、販売量が追いつかない状況になっている。
,,□,コンビニ（店長）,・客の様子を見る限り、やはり必要以上に商品を買わない傾向がここ数年継続している。飲食を中心に最小限の買物点数で終わっている。企業が領収書を下さいというような買物が増えると、店としてはプラスになっていくが、各企業や店の体力が回復しない限りそれは望めない。
,,□,家電量販店（店員）,・デジタル家電の中で、ＤＶＤレコーダの落ち込みがあるので、今後についてもあまり期待できない。
,,□,高級レストラン（スタッフ）,・知床の世界自然遺産への登録がなされたが、特に大きな動きは感じない。
