Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,・愛知万博も終了し、また知床の世界自然遺産登録等もあり、北海道観光へシフトしてくるような流れがこれから現れる。去年が景気の底と考えれば、ここ数か月間は売上、来場数、来客数が増えているので、これから３か月先についてはかなり期待している。
,,◎,家電量販店（地区統括部長）,・来年、札幌市及び近郊地域において地上デジタル放送が開始されるのに先立ち、ますますデジタル家電の需要が加速していく。
,,○,商店街（代表者）,・ここに来て冬物のトレンドがみえてきたことから、ファー物や防寒コートがコンスタントに出れば、売上も上がってくる。
,,○,スーパー（店長）,・食品は単価要因、競合要因等があり、現状のままのトレンドで推移すると予測できるが、衣料品、住居用品は季節商材の動向が良く、前年比が100％を超過している現状のトレンドを年末まで維持できる。
,,○,衣料品専門店（店長）,・近くに大型店の出店計画があるため、地域的に客足が増えることで自店へのプラス効果が期待できる。
,,○,乗用車販売店（営業担当）,・物販の量が前年に比べて増えてきている流れから、今後についても期待できる。
,,○,観光型ホテル（経営者）,・愛知万博の閉幕に伴い、道外からの観光客、特に団体客の増加が期待される。ただし、宿泊単価は、いくぶん強気で出せるが、付帯収入が伸び悩むことが予想される。自社アンケートでは、売店に欲しい商品がないという回答が増加しつつあり、景気よりも企業努力の問題になってきている感がある。
,,○,旅行代理店（従業員）,・選挙後の来店数や申込件数の増加から旅行客の動きが活発になっており、景気が上向いていることを感じる。一方、価格志向の動きが強く、販売商品の工夫をしなければ、良くなってきた波に乗るのが難しい。
,,○,旅行代理店（従業員）,・選挙が一段落し、将来への不安解消が緩和してくるムードになれば、旅行等の余暇にお金を使う傾向が出てくる。海外旅行の動きが活発である。
,,○,観光名所（役員）,・ロープウェイ、レストラン等の予約状況が改善されつつあることから、今後は良くなる。
,,○,設計事務所（職員）,・知床の世界自然遺産登録で、観光入込客数が増加しており、宿泊施設の客入りも、周辺の網走、川湯周辺まで波及する形で増大している。また、室蘭では大手鉄鋼メーカーなどの大企業がフル操業で、経済効果が生まれ始めている。そうした状況のなか、知床周辺の宿泊施設や室蘭市内の事業投資施設の設計依頼が増加傾向にある。
,,□,一般小売店［酒］（経営者）,・９月は天候要因や新規取引先の増加など、たまたま良い材料があって売上が良かったが、来月以降もこういう状態が続くとはまだ判断できない。
,,□,百貨店（役員）,・全体的に季節商材の動きが悪く、客の購入意欲も感じられないものの、特定客を対象にしたイベントを企画し集客を図ると、来客数、売上とも確保できる。現状では先行きの判断が非常に難しい。
,,□,スーパー（店長）,・早くも灯油価格の上昇が話題になっているが、これから需要期に入る北海道としては非常に厳しいものがある。
,,□,スーパー（店長）,・販売量でみると、９月は前年比101.5％と若干伸びているが、このところの売上高の低迷を考えると、景気の足踏み状態はもうしばらく続く。
,,□,コンビニ（エリア担当）,・客数は前年とほぼ同じ数で推移している。しかしながら同じような商品であれば安い商品を買う傾向が続いている。こうした動きが年内に変わるとは思えない。
,,□,コンビニ（エリア担当）,・企業業績が上向きになっているとの報道があるが、原油高、豊作による農作物の価格下落のほか、増税の話も出ており、消費者の買い控えが続く。
,,□,衣料品専門店（店長）,・例年より人出も良くなく、売上ももちろん減少している。これから寒くなるが、石油製品の値上げもあり、決して良くはならない。
,,□,住関連専門店（従業員）,・冬物商材がどう動くかが不鮮明なのではっきりしない。
,,□,高級レストラン（スタッフ）,・観光客は道内客ではなく本州客が多く、特に半分以上が中部圏からの観光客である。愛知万博が閉幕した反動で秋冬にかけて観光客に来道してもらうことができれば、わずかでも期待は持てる。
