Ⅱ．景気の先行きに対する判断理由,,,,,,,
,,,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・リンゴなどの果実類の収穫が盛んになることで、今後の販売量が増えることを期待している。,,,
,,◎,一般小売店［土産］（経営者）,・８月の売上が前年比で106.2％、一昨年比で119.1％と順調に推移していることから、今後については良くなる。,,,
,,○,一般小売店［土産］（経営者）,・北海道における秋の観光シーズンは紅葉を見に来る観光客はいるものの、それほど多くの観光客が訪れるシーズンではないが、今年は平成30年７月豪雨の影響で北海道方面の修学旅行が増えるという情報があり、秋から冬にかけての観光シーズンを支えることを期待している。また、外国人観光客についても引き続きＬＣＣの就航が微増で推移することで堅調に推移するとみられる。このため、全体的には、前年以上の観光客数で推移することになる。,,,
,,○,百貨店（販売促進担当）,・来道者数は引き続き伸びるとみられ、それに伴って当店の来客数もプラスで推移することになる。また、このまま季節の移り変わりが早く進めば、重衣料の動きが活発になり、客単価を押し上げることになるため、全体としてプラスで推移する。,,,
,,○,スーパー（役員）,・秋の農産物の順調な収穫が見込めることに加えて、海産物の漁獲も順調なことから、今後の消費が伸びることを期待している。,,,
,,○,コンビニ（エリア担当）,・今年は秋サケの回帰量が増えるという報道があり、それに伴って漁業者の浜作業が忙しくなり、当店にとってもプラスの効果が生じることを期待している。,,,
,,○,コンビニ（エリア担当）,・来客数の動きは天候に左右される面があるため、天候条件さえ整えば来客数が戻ってくることになり、売上も回復する。,,,
,,○,コンビニ（エリア担当）,・漁業の動きが回復傾向にあるため、今後についてはやや良くなる。,,,
,,○,コンビニ（エリア担当）,・客が夏場に余り消費を行わなかったことで、秋以降の消費が落ち込むといった反動が抑えられることになり、前年比での回復が見込める。,,,
,,○,衣料品専門店（店長）,・秋物への問合せが増えてきており、下見客も増えていることから、客の購買意欲が上向いてきている。,,,
,,○,乗用車販売店（従業員）,・これから先の新型車効果への期待が持てることから、景気はやや良くなる。,,,
,,○,観光型ホテル（スタッフ）,・恒例化しつつあるコンサートイベントに加えて、スポーツイベントの世界大会が開催されるため、今後についてはやや良くなる。,,,
,,○,通信会社（社員）,・年に１度の人気商材のニューモデルの発表時期になるため、業界的には集客、売上共に伸長することを期待している。,,,
,,○,通信会社（企画担当）,・秋の新商材発売を前にして、予約希望の声が想定よりも多く、今後の売上の底上げが期待できる。,,,
,,□,商店街（代表者）,・デフレが解消し、所得の増える状況が生じない限り、消費が増えることは考えられない。,,,
,,□,商店街（代表者）,・政治の方は、首相の動きが平々凡々と動いているが、景気の方は政治とは別に平々凡々と波風が立たないような生活をしていると思う。,,,
,,□,商店街（代表者）,・２～３か月後はハロウィーンなどの収穫祭に関連したイベントが終了し、冬のイベントが始まる前の月となるため、景気はやや悪い状態で推移する。また、外国人観光客についても、近年は小グループでの来街が中心となっていることから、現状維持程度で推移する。,,,
,,□,商店街（代表者）,・北海道を訪れる外国人観光客の国籍に変化がみられるなか、商材の購入よりも楽しみを求める傾向が強くなっており、一般的な商材に対する購買単価が低下している。今は来客数の増加で落ち込み分を補うことができているが、今後については心配である。,,,
,,□,一般小売店［酒］（経営者）,・ここ最近、売上が好調に推移していることから、２～３か月後も同じような傾向で推移する。,,,
,,□,百貨店（売場主任）,・外国人観光客の売上が底堅く推移しているため、今後も景気は変わらない。,,,
,,□,百貨店（担当者）,・必要なものにはお金をかけるが、ほかの出費は極力控えるという傾向が客にみられることから、今後も慎重な消費行動が続く。,,,
,,□,百貨店（役員）,・買上客数は緩やかな減少を続けているが、買上単価の変動が激しいことから、今後の動向については判断が難しい。,,,
