Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,乗用車販売店（従業員）,・決算期に向けて、各店への配車がある程度進んでいることから、今後の景気はやや良くなる。利益が上向くことで、ベースアップに向けた原資も確保できると期待している。
,,◎,旅行代理店（従業員）,・旅行需要が回復し、来客数が増えていることから、今後の景気は良くなる。
,,○,商店街（代表者）,・インバウンドの来店が多く、活況をみせている。例年であれば、正月明けに動きが少し落ち着くが、今年は好調が続いており、例年にない動きとなっている。そのため、今後にも期待できる。
,,○,一般小売店［土産］（経営者）,・例年１月の景気は落ち込む傾向にあるが、今年は春節を前に中国人観光客が増加しており、観光地としては景気の良い状況にある。一般商店街の客足は隣接する都市部に流れているが、全体的な景気はやや良くなると期待している。
,,○,一般小売店［土産］（経営者）,・例年であれば、冬の観光シーズンが終わると北海道を訪れる観光客の動きは落ち着くことになるが、ここ最近、航空運賃や宿泊料金が高くなり過ぎているため、春先の利用客が減るタイミングで、航空運賃や宿泊料金の値下げが行われると期待している。そのため、需要の底上げにつながり、国内線の利用客が堅調に伸びることになる。
,,○,百貨店（販売促進担当）,・今年は例年よりも春の訪れが早くなる予報が出ていることから、冬の間の光熱費が少しでも抑えられることで、客の消費行動が活発になると期待している。
,,○,家電量販店（店員）,・大型暖房機の動きが悪いものの、エアコン目的で来店する客が増えていることから、今年もエアコンの販売が好調に推移すると期待している。
,,○,乗用車販売店（従業員）,・北海道においてはこれからタイヤ交換の時期を迎えることもあって、客の動きが活発になる。春を迎えて需要も増してくるため、今後の景気は上向くことになる。
,,○,旅行代理店（従業員）,・景気の悪い状態が続いているが、４月から大阪・関西万博が開催されること、沖縄県でレジャー施設が新規開業することなど、明るい材料があることから、多少は販売量が増加することになる。
,,○,タクシー運転手,・２月に冬の一大イベントがあることから、観光客、特にインバウンドの利用が増えることで景気がやや良くなると期待している。
,,○,通信会社（企画担当）,・春商戦における販売施策の内容が、ここ数年で最も充実していることから、前年以上の販売量となることを期待している。特に今年は都市部だけではなく、地方での販売量増加も期待できる。
,,○,観光名所（従業員）,・冬季シーズンの需要がピークを迎えるなか、春に向かって勢いが衰える気配もないことから、今後の景気はやや良くなる。ただし、交通機関や宿泊施設などの受入体制に余裕がなくなっていることから、景気が大幅に上向くとは考えにくい。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・季節的なこともあって、今後については、輸送量が徐々に増加することになる。特にインバウンドは前年を上回る利用が見込まれる。
,,○,住宅販売会社（経営者）,・賃上げの効果が出てきているのか、客がインフレに慣れたのかは分からないが、半年前と比べると客の動きが良くなっている。ただし、マンション市場を活性化させるためには、一層の所得の増加とインフレの抑制が必要である。
,,□,商店街（代表者）,・物価上昇が続いていることで、販売にも影響が出ている。このままでは景気が上向くとは考えにくい。景気がますます悪くなる懸念もある。
,,□,商店街（代表者）,・新年度を迎えて、ビジネス目的の来街者が増加するとみられるものの、景気を上向かせるほどの効果は期待できない。区域内で解体中のビルについて、解体後の計画に向けた動きがみえてくるようになれば、今後に向けた明るい材料となり、地域住民の来訪が増えるのではないかと期待している。
,,□,一般小売店［酒］（経営者）,・例年２月及び３月は売上が好調なため、今後についても期待している。ただし、こうした動きは季節要因によるものであり、基調は今後も変わらない。
,,□,スーパー（店長）,・インバウンドが増えているものの、それ以外に景気が変化するような要因が見当たらないことから、しばらくは現状維持の状態が続くことになる。
,,□,スーパー（役員）,・物価上昇が続くなか、節約するときとぜいたくに金を使うときの２極化が以前よりも進んでおり、客の節約疲れがうかがえる。ただし、全体的な景気は今後も変わらないまま推移する。
