Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,お客様の様子,・５月の売上は、2024年比で119.2％、2023年比で156.7％、2022年比で279.4％、2021年比で1205.1％、2020年比で3707.5％、2019年比で113.8％となっている。客船の寄港が４隻あったこともプラスであった。
,,○,スーパー（企画担当）,来客数の動き,・ゴールデンウィークが過ぎ、本格的な行楽シーズンを迎えていることで、来客数が前年を上回っている。販売量も前年並みを維持しており、商品単価の上昇分が売上の増加につながっている。
,,○,コンビニ（エリア担当）,販売量の動き,・パンや総菜の販売量が前年比99％ほどと、前年を僅かに下回るくらいの数値となっており、３か月前と比べると、景気は若干上向いている。
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・医薬品業界についても、商材の値上げが続いていることもあって、値上げ前の駆け込み需要がみられるようになっている。ただし、今後に向けて、気の抜けない状況である。
,,○,高級レストラン（スタッフ）,来客数の動き,・ゴールデンウィーク以降、当地の行楽シーズンに入っていることで、観光客が増えており、それに伴って来客数も増加している。売上もレストラン部門を中心に伸びている。大型クルーズ船の寄港やインバウンドの増加も来客数の増加要因となっている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・インバウンドを含む個人客の利用が順調に推移しており、輸送量が伸びている。
,,○,住宅販売会社（経営者）,お客様の様子,・今の建築単価が下がらないことが、世間の常識になりつつあることで、そろそろ建築しようという客の動きが出始めている。
,,□,商店街（代表者）,来客数の動き,・地域住民の買物姿が余りみられない。公共交通機関を利用して来街する買物客もまばらである。外国人観光客も、街中で日本語以外の会話がほとんど聞かれないことから、例年以上に少ないと感じる。毎日のように商材の値上げが行われていることもあって、客の消費マインドが刺激されることもない。
,,□,一般小売店［酒］（経営者）,販売量の動き,・平日の売上が低調であり、週末の売上でカバーする状況が続いている。
,,□,百貨店（販売促進担当）,来客数の動き,・５月に入り、インバウンドの来客数が減少傾向にある。そのため、ブティックを始めとしたインバウンド需要の高い商材の動きが悪くなっている。また、地域の景況感は、依然として厳しい状況が続いているため、景気は若干の下向きとなっている。
,,□,スーパー（店長）,来客数の動き,・気温がそれほど上がっていないこともあって、衣料品などの季節商材の動きは今一つである。一方、ランドセルなど、購入する必要のある商材の動き出しは早い。客は、不要不急の買物は先送りするが、必要な買物にはしっかりと金を掛けている。
,,□,スーパー（従業員）,単価の動き,・物価高騰の影響により、景気は今一つである。今後についても不安がある。
,,□,コンビニ（エリア担当）,お客様の様子,・商材が値上がりしていることで、売上は一見良くみえるものの、来客数が減少していることから、販売量が減少している。今後、消費が増えてくることも考えにくい。
,,□,衣料品専門店（エリア担当）,販売量の動き,・気温が上がり始めたことで、衣料品を買い求める客が増えている。ただし、天候や気温に左右されることが多いため、必要に応じて必要な物だけを買う傾向はそれほど変わっていない。
,,□,家電量販店（経営者）,販売量の動き,・エアコンの販売は順調に推移しているものの、商品全般が値上げ傾向にあるため、全体的に横ばいでの推移となっている。
,,□,乗用車販売店（従業員）,販売量の動き,・ここ最近、販売量及び来客数に大きな変化がみられない状態が続いている。
,,□,乗用車販売店（従業員）,販売量の動き,・サービス部門の収益による下支えはあるものの、新車も中古車も受注量が前年を30％下回っている。
,,□,自動車備品販売店（店長）,それ以外,・小売部門の売上は前年比で10％減となっているものの、車検台数は前年比125％と好調に推移している。客からは、欲しいけど買えない、他で使う費用があるといった声をよく聞く。
,,□,高級レストラン（スタッフ）,販売量の動き,・昼食の動きが良かったことから、５月の売上は前年並みが見込まれる。夕食は振り客が少なく、限られた予約客のみの利用にとどまっているうえ、全体的になじみの地元客の利用割合が減っている。食材は、輸入品を中心に仕入価格の高騰が止まらない。一方、地元の高級飲食店などが北海道産の高級魚の利用を控えたことで、通常よりも安値で仕入れることができる週もある。漁業者や卸会社にとっては厳しいのかもしれないが、安く購入できた高級魚を客にアピールして、適正価格で販売していきたい。
,,□,スナック（経営者）,来客数の動き,・外出する地元客はなかなか増えてこないものの、観光客はまずまず増えてきている。ただし、地元客を中心に、バーやスナックに立ち寄ることがかなり少なくなっている。
,,□,旅行代理店（従業員）,販売量の動き,・個人旅行の来店販売量が引き続きやや減少している。一方、大阪・関西万博などを目的とした団体旅行の販売量が増加している。
,,□,旅行代理店（従業員）,お客様の様子,・前月と同様に、先行きの旅行に対する問合せ件数が例年よりも少ない状況が続いている。
,,□,タクシー運転手,来客数の動き,・イベント関連の注文は例年並みであった。毎日の来客数についても変化がみられず、特に変化がみられない状況にある。
,,□,通信会社（企画担当）,お客様の様子,・地域の中核都市も含めて、都市部で競合他社への流出が加速しており、加入者数が前年を下回る状況が続いている。一方、全国的に展開している附帯サービスの利用による収入と法人部門の売上が増加していることから、全体的には何とか現状を維持できている。
,,□,美容室（経営者）,お客様の様子,・暖かくなり、暖房費や除雪費などの負担が減少していることで、以前よりも客の来店周期が多少短くなっている。そのため、売上が約10％増加している。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客の多くが生活費のことを気にしており、そのことがマンション購入の抑制につながっている。
,,□,住宅販売会社（従業員）,単価の動き,・地価や建築単価が高止まりしていることから、景気は変わらない。
,,▲,商店街（代表者）,単価の動き,・物価高が続くなか、米の価格も上昇していることで、将来不安がますます大きくなっている。倹約する消費者が増えており、価格に対して敏感になっている。
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良くない。景気の良い話も全くみられない。
,,▲,商店街（代表者）,来客数の動き,・物価の高騰やガソリン価格の高騰により、客の消費が著しく減少している。生活防衛意識の高まりにより、外出機会も激減しており、来客数が大幅に減少している。特に飲食店は、米や燃料、原材料の価格高騰の影響が大きく、価格転嫁せざるを得ない状況となっている。一方、価格が上がってしまうことで、大人数や家族での利用が大きく減少するといった影響もみられている。
,,▲,スーパー（店長）,お客様の様子,・客から、物価高で生活が苦しいという話をよく聞く。
,,▲,スーパー（企画担当）,販売量の動き,・主食の米を始めとする食品全体の値上げの影響が、買上点数の減少という形で現れている。
,,▲,スーパー（役員）,お客様の様子,・米の価格の高止まりが、弁当類の価格にも影響してきた。昼の弁当が高くて大変だという客の声をよく聞くようになった。
,,▲,コンビニ（エリア担当）,来客数の動き,・売上は前年並みを維持しているが、商品の値上げによるものである。一方、来客数は前年を下回っている。
,,▲,コンビニ（エリア担当）,来客数の動き,・客の購入点数が減っている。来客数も減っており、客のコンビニ離れが加速している。
,,▲,衣料品専門店（経営者）,お客様の様子,・物価高騰により客の節約志向が強まっている。会社としても、仕入価格及び人件費の上昇により、利益が出づらくなっている。
,,▲,乗用車販売店（従業員）,競争相手の様子,・業界を巡る経営統合の動きに加え、米国の関税の動きを受けて相場が下落していることから、景気はやや悪くなっている。
,,▲,住関連専門店（役員）,販売量の動き,・３か月前と比べると、売上の前年比が低下している。季節商材の売上も低調に推移しており、景気は下向きとなっている。
,,▲,その他専門店［造花］（店長）,お客様の様子,・前期の数字が落ち込んでいるなか、５月も利益が１割ほど減少しており、厳しい状況にある。物価高もマイナスである。
,,▲,高級レストラン（スタッフ）,来客数の動き,・来客数が減少している。ただし、様々な物の価格上昇が影響しているのか、販売施策の失策によるものなのか、要因が今一つ判断できない。
,,▲,観光型ホテル（経営者）,来客数の動き,・国内客も、外国人観光客も落ち込んでいる。特に国内客は、旅行会社の集客も、オンライン旅行代理店の集客も減少しており、物価高の影響を強く受けていることがうかがえる。
