I．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,旅行代理店（従業員）,来客数の動き,・２月は各地で冬の大型イベントが行われることもあり、冬季観光のピークとなる。国内客の観光需要が堅調に推移するなか、国際便の就航路線が１月から増加していることで、観光客の増加につながっている。韓国路線は好調が続いており、中国路線も、観光ビザの発給要件緩和により、上海や北京などの大都市からの便が増えている。関東圏や関西圏からの乗り継ぎも増えている。インバウンド需要が観光消費を底上げしている状況にある。
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は24年度比で156.3％、23年度比で198.8％、22年度比で931.3％、21年度比で1811.4％、20年度比で299.3％、コロナ禍前の19年度比で190.5％となっている。
,,○,乗用車販売店（従業員）,販売量の動き,・来客数が伸びており、それに伴って新規客も増えていることから、景気は上向いている。ローンの金利を低めに設定している施策面での効果が出ていること、今年は雪解けが早く、春先需要が例年よりも早く始まっていることが要因となっている。
,,○,高級レストラン（スタッフ）,販売量の動き,・売上は前年を僅かに超える程度であり、景気はほとんど変わらない。ランチは観光客とみられるおしゃれした客の来店が多く、混雑している。夜は余り混雑していないが、予約客で客席が１回転する。ただし、食材の値上げの影響が大きく、利益はそれほど出ていない。先日、知り合いの店を訪問したところ、作り慣れていないような料理が何品も出てきて驚いた。コロナ禍の後も営業を続けているだけでも大変なことではあるが、経営面での厳しさがうかがえた。
,,○,観光型ホテル（スタッフ）,来客数の動き,・１室当たりの宿泊人数が増えていることで、景気はやや良くなっている。
,,○,タクシー運転手,来客数の動き,・前々年より乗務員の採用に注力していることで、乗務員が前々年比で50％、前年比で30％増えている。その結果、タクシーの稼働台数が増えており、売上は前年比プラス60％と大幅な増収となった。タクシー１台当たりの売上も前年比プラス13％と好調であった。
,,○,観光名所（従業員）,来客数の動き,・外国人観光客について、個人客が引き続き伸びており、コロナ禍前に記録した月間最高利用人数に迫る勢いで推移している。その効果で施設内にあるレストランや売店も過去最高の来客数と売上を更新している。
,,□,商店街（代表者）,来客数の動き,・燃料価格の高騰が止まらないことから、ガソリンや灯油の節約、日配品の買い控えが顕著となっている。昼夜を問わず外出する人が減少している。
,,□,商店街（代表者）,販売量の動き,・今冬のイベント期間中は外国人客の入込が多く、非常に好調であった。また、例年であれば、イベント後は外国人客が減少する傾向にあるが、今年はそのようなこともなく、好調を維持している。
,,□,一般小売店［酒］（経営者）,販売量の動き,・月全体の売上はまずまずの金額となっているものの、日ごとの売上はかなりのばらつきがあり、安定していない状況にある。
,,□,一般小売店（経営者）,販売量の動き,・決算セールを開催したこともあって、来客数及び売上が回復した。
,,□,百貨店（売場主任）,単価の動き,・全体売上に占めるインバウンドのシェアが一定のところで安定し始めている。
,,□,百貨店（販売促進担当）,来客数の動き,・相変わらずインバウンドによる買物が多く、消費がインバウンドに支えられている。一方、道内生活者の購買動向は、物価上昇に賃金が追い付いていない状況が続いていることもあって芳しくない。
,,□,スーパー（店長）,販売量の動き,・売上は前年以上に伸びているが、商品単価の上昇による影響が大きく、来客数や１人当たりの買上点数が前年を下回る日もみられる。好景気で売上が伸びているのではなく、物価高の影響で売上が増えている状況のため、景気は変わらない。
,,□,コンビニ（エリア担当）,来客数の動き,・前月に続き、来客数、買上点数が前年並みを維持している。対応に難しい面はあるが、客が離れないような価格設定、サービス維持が必要になってきている。
,,□,衣料品専門店（店長）,お客様の様子,・今年は人事異動を理由としたスーツの買換え需要が増えている。買換えの時期も前倒しとなっており、売上が底上げされている。
,,□,衣料品専門店（エリア担当）,来客数の動き,・ここ数か月、気温が急に上昇したり、大雪が降ったりと天候が安定していなかったことから、天候に左右される日が多かった。ただし、来客数がほぼ前年並みで、客単価が前年をやや下回る状況はこれまでとさほど変わっていない。
,,□,乗用車販売店（従業員）,来客数の動き,・有料のバイクイベントにブース出展したところ、イベント全体の来場者数が前年の83％と減少したことから、趣味に使う金が減っていることがうかがえる。気軽な気持ちで会場をのぞいてみようという客も減っている。
,,□,乗用車販売店（従業員）,販売量の動き,・新車も中古車も販売量が前年を30％ほど下回っている。一方、サービス部門は前年から40％ほど収益が増加しており、全体としては景気は変わらない。
,,□,自動車備品販売店（店長）,来客数の動き,・カー用品店にとって２月は閑散期であるが、今年は来客数が前年比89％と落ち込んでいる。必要な物がないと購買しないという流れが、これまで以上に強く表れていることがうかがえる。
,,□,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比に変化がなく、販売動向にも変化がみられないことから、景気は変わらない。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・新型コロナウイルス感染症やインフルエンザの流行が収まってきたことから、顧客がようやく動き始めた。ただし、天候の変化が極端なため、今後の動向が心配である。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・石油製品価格が高止まりしていることで客の節約志向が強まっている。販売量が前年より落ち込んでおり、厳しい状況が続いている。
,,□,その他専門店［造花］（店長）,来客数の動き,・自社イベントを開催したところ、期間中の来場者がこれまでよりも１割強減少するなど、落ち込みが目立っていた。業界として景気の悪い状態が続いていることで、購買意欲の低下に加えて、新しいことに挑戦する意欲の落ち込みがみられ、そのことが来場者の減少につながったとみられる。
,,□,スナック（経営者）,来客数の動き,・観光客が増えていることで、飲食店街でも観光客を見掛ける機会が増えているものの、スナックのような夜型飲食店では観光客の姿は余り見掛けない。地元客の客足も遠のいたままであり、景気は変わっていない。
,,□,観光型ホテル（経営者）,来客数の動き,・台湾、韓国を中心にインバウンドの集客が堅調であった。
,,□,タクシー運転手,来客数の動き,・日中の利用状況については、天候の急な変化や公共交通機関のトラブルの影響による増減はあるものの、大きな変化はみられなかった。夜間については、週末の利用が多少伸びるものの、月曜から木曜は余り変化がみられなかった。
,,□,タクシー運転手,販売量の動き,・乗務員不足が顕著なため、思うような稼働台数を維持できない状況にある。乗務員の育成にも取り組んでいるが、自動車教習所の人手不足もあって、免許取得まで相当な時間を要している。
,,□,通信会社（企画担当）,競争相手の様子,・大型商業施設での出張販売を行う際に、条件の良い場所や出店場所そのものを競合他社に取られてしまうことが増えている。予算にも限界があるため、対応に苦慮している。
,,□,美容室（経営者）,来客数の動き,・大雪と灯油価格高騰の影響で来客数がかなり減少すると見込んでいたが、余り落ち込みがみられず、例年並みの来客数であった。
,,□,住宅販売会社（経営者）,お客様の様子,・資材価格が上昇したままであり、金利も上昇局面にあることから、住宅の着工意欲が盛り上がっていない状況にある。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを来訪する客について、購入判断に要する時間が数か月前と比べて短くなっている。
,,□,住宅販売会社（従業員）,販売量の動き,・住宅ローン金利が上昇していること、建築コストが高止まりしていることから、消費者マインドは回復していない状況にある。
,,▲,商店街（代表者）,単価の動き,・販売動向をみると、低価格品と高額品の２極化が大きくなっており、中間価格帯の商材の動きが鈍くなっている。売上も全体的に減っている。
,,▲,スーパー（店長）,お客様の様子,・物価が高くて困るという話を客からよく聞く。
,,▲,スーパー（店長）,販売量の動き,・物価の上昇に賃金が追い付いていないため、景気はやや悪くなっている。金利が上昇傾向にあることもマイナスである。
,,▲,スーパー（企画担当）,販売量の動き,・米や野菜に加えて、加工食品も価格が高騰している。来客数は前年並みを維持しているが、販売量が減少傾向にある。
,,▲,コンビニ（エリア担当）,販売量の動き,・売上は前年並みを維持しているが、インバウンド効果による面が大きく、国内客による売上は減っている。買上点数は22か月連続で前年を下回っており、国内客が必要な物しか購入していないことがうかがえる。
,,▲,コンビニ（エリア担当）,来客数の動き,・地方の観光地の店舗では、インバウンドの利用が少しずつ増加している。一方、周辺住民の利用は減少している。商品の値上げが影響しているためとみられる。
