Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,高級レストラン（スタッフ）,・夏休みやお盆を迎えて、帰省客を含めた観光客が増加すると見込まれることから、当店の観光客利用も増加することになる。
,,○,一般小売店［土産］（経営者）,・雨の日が少ないなど、天候に恵まれたことから、外国人観光客を中心に、来客数が増加している。最近は外国人観光客の増加が目立っており、特に東南アジアなどからの旅行客は購買力が強いことから、今後の景気はやや良くなる。この先、アジアが世界を引っ張っていく時代が来るのではないかと考えるほどである。
,,○,衣料品専門店（エリア担当）,・今年の夏は、全国的に気温が高めの予報が出ていることから、暑さをしのぐための冷感商品や節電グッズの需要が増えると見込まれる。
,,○,家電量販店（経営者）,・エアコンを中心とした季節商材の売行きが好調なことから、今後の景気はやや良くなる。ただし、売上の増加幅は前年を下回るペースにとどまっている。
,,○,自動車備品販売店（店長）,・洗車用品、車内用品、サービス部門の好調な動きが、今後も続くことになれば、景気はやや良くなる。ただし、物価高の動向によっては、状況が一変することも懸念される。
,,○,高級レストラン（スタッフ）,・イベントの開催や新規大型店のオープンが予定されていることから、今後、人の動きが増えることを期待している。
,,○,旅行代理店（従業員）,・今後については、夏の観光繁忙期を迎えて、国内及び海外からの観光客が増加すると期待している。ただし、ＳＮＳ上で７月に日本で災害が起きるという情報が出回っていることで、国際線利用者の伸びが鈍化する傾向がみられていることが気掛かりである。
,,○,旅行代理店（従業員）,・例年の傾向から、これから客の動きが活発になってくると期待している。実際、来客数が徐々に増えてきている。
,,○,タクシー運転手,・気温が高くなると、タクシーの利用客が増えてくる傾向があるため、これから夏を迎えてタクシー１台当たりの売上が増えると期待している。乗務員も順調に採用できていることから、会社の売上も前年と比べて大幅に増加することを期待している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・宿泊施設から、既にキャンセル待ちが多くみられているとの情報があるため、今後、観光シーズンのピークに合わせて、輸送量が一層増えると見込まれる。
,,□,商店街（代表者）,・今後については、農業従事者を始めとして、周辺自治体からの来街者が増加する時期となる。ただし、最近の来街者の動向から、大幅な売上アップまでは期待できない。
,,□,一般小売店［酒］（経営者）,・最近の売上や取引先の状況から、景気が上向くような気配がうかがえない。こうした状況はしばらく続くことになる。
,,□,百貨店（売場主任）,・先行き不透明感が強いこともあって、景気が好転するような材料に乏しい。
,,□,スーパー（店長）,・米国の関税施策や中東紛争の影響により、先行きが不透明になっていることから、現在の景気が大きく変わることは考えにくい。
,,□,スーパー（企画担当）,・客の購買行動に大きな変化はみられない。政府が検討している給付金も年末頃の支給になると見込まれるため、消費に回るのはしばらく先になる。今後については、米の価格動向、農作物の収穫状況次第の面がある。
,,□,コンビニ（エリア担当）,・し好品を中心に客の買い控えがみられることで、来客数が前年を下回っている。値頃感を出していくことで、来客数の回復に取り組んでいるものの、現状大きな成果は出ていないことから、今後も横ばいでの推移となる。
,,□,コンビニ（エリア担当）,・来客数が減少傾向で推移しているものの、長期予報によると、例年よりも気温が高くなると見込まれているため、飲料やアイスなどの夏物商材がよく売れるようになると期待している。
,,□,コンビニ（エリア担当）,・備蓄米を始め、より安い商品を買い求める客が多いことから、家計の厳しさがうかがえる。今後もこうした状況は続くことになる。
,,□,コンビニ（エリア担当）,・６月の動きがかなり良かったため、景気が今以上に上向くことは考えにくい。一方、今年も暑い夏が見込まれていることはプラスであり、景気が下向くことも考えにくい。
,,□,衣料品専門店（経営者）,・国の経済対策について、効果的な対策が行われるような様子もないため、今後も景気は変わらない。
