Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・４月は大型クルーズ船の寄港が相次いだことで、ほぼ毎日、多くの外国人観光客でにぎわっている。４月25日時点の当施設の来客数は例年を20％上回っている。このままの勢いが続けば、４月としては過去最多の来客数となりそうである。
,,○,一般小売店［土産］（経営者）,お客様の様子,・売上が好調に推移していることから、景気はやや良くなっている。４月の売上は、2024年比で131.6％、2023年比で150.3％、2022年比で327.9％、2021年比で832.5％、2020年比で2053.3％となっている。客船の寄港が５隻あったこともプラスである。
,,○,旅行代理店（従業員）,販売量の動き,・来客数は微減だが、販売額が増加しているため、景気はやや良くなっている。ただし、国内の団体旅行について、受入れ側の人手不足の影響で、貸切バスや宿泊施設の手配が難しくなってきていることが気掛かりである。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・例年と同様に、観光客が順調に増加している。特に乗用車を積載するケースが増えている。
,,○,住宅販売会社（経営者）,お客様の様子,・分譲マンションに対する客からの資料請求が増えており、モデルルーム来訪の予約件数も増えている。また、契約に至るまでの商談日数も短くなってきている。
,,□,商店街（代表者）,来客数の動き,・当区域を訪れる来街者数は少ないままである。観光客を見掛ける機会は増えているが、前年よりも増えている実感はない。ビジネス客は前月に引き続き少なく、増加するような兆候もみられない。また、歓迎会などもそれほど行われていないため、夜型飲食店の売上も伸び悩んでいる。
,,□,一般小売店［酒］（経営者）,販売量の動き,・景気はやや回復しているものの、今一つ力強さに欠けている。
,,□,百貨店（販売促進担当）,お客様の様子,・インバウンドの来客数が伸び悩んでいる。道内客の消費行動も停滞したままである。そのため、足元の消費は小康状態が続いている。
,,□,スーパー（店長）,競争相手の様子,・競合各社において、チラシなどに掲載する商品のグレードをこれまでよりも少し下げる傾向がみられる。客もそうした商品に目を向けるようになっている。
,,□,コンビニ（エリア担当）,来客数の動き,・商品単価が上がっていることから、売上は前年を上回っているものの、来客数は前年を下回っている。支出を抑えるため、客が来店頻度を低下させる傾向が続いている。
,,□,コンビニ（エリア担当）,来客数の動き,・米の高値が家計に大きく影響している。直近の来客数は前年を下回っており、客の節約志向が続いていることがうかがえる。
,,□,衣料品専門店（経営者）,来客数の動き,・円安を要因とした物価高騰により、客の節約志向が続いている。一方、企業としても、円安に伴う原価高騰により粗利益が減少しているなか、人件費負担が増加しており、景気の悪い状態が続いている。
,,□,乗用車販売店（従業員）,販売量の動き,・今はあらゆる物が値上がりしており、車の価格も上がっていることから、景気は厳しいまま変わらない。また、金利が上昇傾向にあることで、今後の販売に影響が出てくることも懸念される。
,,□,乗用車販売店（従業員）,販売量の動き,・決算の数字は前年と変わりがなく、決算手当も前年並みの水準にとどまっている。景気が大きく変動するような状況にはなく、横ばいでの推移が続いている。
,,□,乗用車販売店（従業員）,販売量の動き,・サービス工場の売上による下支えはあるものの、新車も中古車も受注台数及び売上が前年を下回っている。
,,□,自動車備品販売店（店長）,単価の動き,・例年４月はタイヤ販売が集中する時期である。今年もタイヤの販売量が前年比110％、店舗全体の売上が前年比130％と好調である。ただし、販売内容をみると、単価の低い商材が多く、内容としては決して良いものではない。
,,□,その他専門店［造花］（店長）,お客様の様子,・計画どおりに前年並みの売上を達成することができたが、前年が１割減だったことから、景気が上向いているとはいえない状況にある。
,,□,高級レストラン（スタッフ）,販売量の動き,・ランチの新規客が増えたことで、売上は何とか前年並みとなりそうである。一方、身なりが小ぎれいで産地や食材に興味を持つようななじみ客が少なくなっていることは気掛かりである。また、コロナ禍前は、ゴールデンウィーク期間中に、家族や親戚が集まるような昼の予約がみられたが、今はそういった団体利用はなくなっている。地元客がＳＮＳに外食の投稿を行うことも少なくなっている。米国の関税政策の動きを受けて、国内の株価が大幅に下がった際に、株式投資を行っている客が困っていたことがあり、飲食店の客足にも影響が生じることがあるのかと怖くなった。
,,□,高級レストラン（スタッフ）,販売量の動き,・３月と比べると売上は良いが、前年を下回っている。ただし、売上が伸びないのは、景気が悪いせいなのか、入居しているホテルの販売戦略の問題なのか判断が付かない。
,,□,高級レストラン（スタッフ）,来客数の動き,・桜の開花とゴールデンウィークが重なったことから、来客数の増加を見込んでいたが、前年と比べて観光客の動きが鈍く、来客数に大きな変動がみられなかった。
,,□,スナック（経営者）,来客数の動き,・３か月前と比べて、状況が余り変わっていない。来月も同じような状況が続くとみられる。
,,□,観光型ホテル（スタッフ）,単価の動き,・客単価は上昇しているものの、来客数は微減していることから、全体でみると、景気は変わらない。
,,□,旅行代理店（従業員）,販売量の動き,・インバウンド需要の増加により宿泊施設の単価が上昇しており、そのことが国内旅行の落ち込みの一因となっている。
,,□,旅行代理店（従業員）,販売量の動き,・３月までは販売量が前年を上回る状況が続いていたが、４月の販売量は前年並みにとどまっている。
,,□,タクシー運転手,販売量の動き,・夜間の人出が少なく、活気のない状態が続いている。それに伴って、売上も減少している。また、乗務員不足も深刻な状態が続いている。３か月前と比べて、変化のない状況が続いている。
,,□,美容室（経営者）,販売量の動き,・物価高による消費の落ち込みを懸念していたが、売上が前月を下回ることはなかった。前年と比べても、ほとんど変わっていないため、景気は変わっていない。
,,□,住宅販売会社（従業員）,単価の動き,・賃上げに伴う人件費の増加と原材料価格の高騰で、販売単価が高止まりしている。
,,▲,商店街（代表者）,来客数の動き,・物価上昇の影響により、特に趣味し好の商材について客の動きが鈍化している。
,,▲,商店街（代表者）,お客様の様子,・客の動きは決して良いものではない。あらゆる物が値上がりしていることで、少しでも価格の安い商品を買い求めるようになっている。
,,▲,商店街（代表者）,来客数の動き,・物価高が続くなか、ガソリン価格が高騰し始めたことで、客の節約志向が強まっている。車を使っての来街も大幅に減っており、今年に入り、消費が急激に落ち込んでいる。人が来ないため、商店街としては厳しい状況となっており、早めの経済対策が求められる。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・例年４月になると、インバウンドが激減する傾向があり、今年も同様の動きがみられている。特に今年の場合は、航空便が春ダイヤに切り替わったタイミングで中国便が減ったことが大きく影響している。また、ここに来て為替が円高に振れていることも少なからず影響しているとみられる。
,,▲,スーパー（企画担当）,販売量の動き,・主食である米の価格が高止まりしていることで、価格に対する客の意識がかなり高まっている。米以外の食材を買い控える傾向も強まっており、これらのことが来店頻度や買上点数の減少といった動きとして現れている。
,,▲,スーパー（企画担当）,販売量の動き,・インバウンド効果もあって、観光地の店舗は好調だが、仕入単価の上昇が続いていることで、販売点数が減少傾向にある。来客数は維持できているものの、客単価が低下しており、売上の伸びを見込めない状況にある。
,,▲,スーパー（役員）,お客様の様子,・米の値上がりが連日のように報道されていることで、客の心理面に影響が出ている。当地では米の価格は比較的安定しているにもかかわらず、客の節約志向が強まっているようにみられる。
,,▲,スーパー（従業員）,単価の動き,・物価上昇によって客の動きが鈍化している。
,,▲,コンビニ（エリア担当）,単価の動き,・値上げの影響で客の購入金額が減っている。
,,▲,衣料品専門店（エリア担当）,来客数の動き,・前月と同様に、物価高騰の影響が続いている。客単価が上昇せず、販売点数や来客数も増えてこないことから、売上も厳しくなっている。
,,▲,乗用車販売店（経営者）,競争相手の様子,・新車の受注台数が地区全体で前年比80％という厳しい状況にある。中古車販売も同様の状況であり、全体的に客の動きが悪い。サービス部門の売上も厳しい状況にある。
,,▲,乗用車販売店（経営者）,販売量の動き,・当業界を巡るネガティブな報道が多く、商品に何も問題がないにもかかわらず、客からの問合せが増えている。
,,▲,住関連専門店（役員）,販売量の動き,・３か月前と比べて、売上の前年比が減少している。特に日用品や家電、季節商材など、この時期に売れるはずの商品が低調なことから、客の節約志向が強まっていることがうかがえる。そのため、景気はやや悪化している。
