Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・例年３月は卒業旅行シーズンであることから、若者の利用が増える傾向にある。今年は若者の利用が例年よりも多く、好調であった。全体の利用客も見込みを２割ほど上回った。また、かなりの客が土産を買っており、以前のような消費行動が戻りつつある。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は2024年比で153.8％、2023年比で165.8％、2022年比で456.5％、2021年比で878.8％、2020年比で856％、2019年比で211.8％となっている。,
,,○,衣料品専門店（店長）,お客様の様子,・スーツの売れる時期を迎えるなか、今年は人事異動が多いことから、買換えが進んでいる。来月も人事異動の着任に伴って買換え需要が生じるとみられる。,
,,○,乗用車販売店（従業員）,販売量の動き,・３月までローンの金利を低く設定している車種があるため、前月と同様に販売量が伸びている。周りをみても同じような動きになっている。,
,,○,旅行代理店（従業員）,来客数の動き,・今冬は恒例の冬のイベント、スキーなどの冬型スポーツに対するインバウンドの需要が特に好調であった。アジア圏からは直行便を利用して、欧米圏からは国内の主要空港から乗り継ぐケースが多くみられた。また、国内客についても、アイドルグループのコンサートや春休み旅行などのプラス要因がみられた。これらのことから、航空需要は好調に推移した。,
,,○,旅行代理店（従業員）,お客様の様子,・３月半ばから新規案件の問合せがとても増えている。旅行にかける予算も、前月と比べて増加している。,
,,○,タクシー運転手,来客数の動き,・１年以上にわたって、乗務員を順調に採用できており、３月の乗務員数は前年から約40％の増加となった。タクシー１台当たりの売上も前年比プラス10％と好調であった。この結果、３月の売上は前年から55％の増加となった。,
,,□,商店街（代表者）,単価の動き,・販売価格の２極化がますます進んでいる。,
,,□,商店街（代表者）,来客数の動き,・物価高や燃料価格高騰の影響で、地域住民の来街は減少したままである。前月や前々月は、夜型飲食店でまずまずのにぎわいがみられたが、３月の平日の様子をみる限り、酔客などの姿が減っている。外国人観光客の姿を見掛けることも当区域では少ないままである。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・景気に力強さがない。前年後半からの閉塞感が変わっていない。,
,,□,百貨店（売場主任）,来客数の動き,・ここ数か月、地元客による買物が低調なまま変わらない。,
,,□,百貨店（販売促進担当）,お客様の様子,・インバウンドの安定的な入込により、全体的な消費動向は堅調に推移しているものの、道内の一般消費者による購買は、物価高の影響で低調なままである。こうした状況はしばらく続くことになる。,
,,□,スーパー（店長）,来客数の動き,・来客数は伸び悩んでいるものの、携帯電話やランドセルなどの高単価商材は売れている。金を使う物、使わない物の線引きがシビアになっている様子がうかがえる。,
,,□,スーパー（企画担当）,来客数の動き,・雪解けやインバウンド効果もあって、来客数が前年並みに近づいている。一方、買上点数は減少しているが、客単価の上昇がそれを補っている。,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数はどうにか維持できているが、商品の値上げが収まらないことから、酒、たばこなどのし好品の売上が低迷している。,
,,□,コンビニ（エリア担当）,来客数の動き,・米やガソリンの価格高騰により、引き続き家計には大きな影響が出ている。インバウンドの入込が落ち着いていることもあって、来客数は減少傾向にある。,
,,□,乗用車販売店（従業員）,販売量の動き,・直近の新車の販売状況について、変化がみられない。新型車が投入されたものの、価格面の問題と割当て台数の少なさから、景気を変化させるような材料とはなっていない。,
,,□,乗用車販売店（従業員）,販売量の動き,・１月及び２月の販売量が奮わなかったため、納車のタイミングとなる３月の売上が例年と比べて減少している。ただし、サービス部門の利益は例年並みとなっている。,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・前年12月以降、燃料油価格激変緩和補助金の補助率が段階的に引き下げられていることで、石油製品の価格が高止まりしている。灯油の需要期となる冬季に補助金が減額されたことで、特に灯油価格に与える影響が大きくなっている。,
,,□,高級レストラン（スタッフ）,販売量の動き,・ランチが順調なことから、３月も前年並みの売上が期待できる。昼はなじみ客が減少しているものの、新規客が増えている。ただし、新規客は料理の説明をしても反応が薄く、物足りなさを感じる。夜は早い時間帯の予約客ばかりで、歓送迎会のような集まりは多くなかった。以前は歓送迎会の予約が早い時期から入っていたが、今は大分少なくなっている。先日、ピッツァの認定店を訪ねた人から聞いたところ、ランチが混雑しており、量が多めで価格も適正なピッツァセットが好評なようでうらやましかった。,
,,□,スナック（経営者）,来客数の動き,・３月に入っても、景気は余り変わらなかった。,
,,□,旅行代理店（従業員）,販売量の動き,・景気のやや悪い状態が続いている。大阪・関西万博の開催に向けて、旅行需要が盛り上がることを期待していたが、開幕１か月前になっても申込みが増えるような様子がみられない。,
,,□,タクシー運転手,来客数の動き,・天候の悪い日は利用が増えるものの、一時的な動きにとどまっている。日中も夜間も状況は大きく変わっていない。,
,,□,タクシー運転手,販売量の動き,・乗務員不足が顕著であり、想定しているような稼働台数を維持できない状況にある。,
,,□,美容室（経営者）,来客数の動き,・前年から、各種商品の値上げに対する客の警戒感が強くなっており、来店周期も長期化していたが、最近になって、徐々に以前の来店周期に戻りつつある。多少ではあるが、売上も増加傾向にある。,
,,□,住宅販売会社（経営者）,販売量の動き,・住宅市場は、資材価格の高騰、人件費の増加、金利上昇の影響で厳しい状況が続いている。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを訪れる客について、購入の意思決定に要する時間が短くなっている。また、少しずつではあるが、来客数も増加傾向にある。,
,,□,住宅販売会社（従業員）,お客様の様子,・建築単価が高止まりしているなか、住宅ローン金利が上昇していることで、消費者の購入意欲が停滞している。,
,,▲,商店街（代表者）,お客様の様子,・客の話を聞く限り、景気は良くなっていない。,
,,▲,商店街（代表者）,来客数の動き,・前年末から来客数と売上が減少し始めており、３月に入ってからは落ち込みが顕著に表れている。特に駐車場の稼働率が低いことから、客が来街を控えていることがうかがえる。物価、特にガソリン価格の高騰が客の消費行動にボディーブローのように効いていることから、今後の動向にも不安がある。,
,,▲,スーパー（役員）,お客様の様子,・３月は春のお彼岸があったが、花や菓子などの関連商材の売上が良くなかった。客の生活防衛意識が強まり、生活必需品以外は買わない傾向が強まっていることがうかがえる。,
,,▲,コンビニ（エリア担当）,来客数の動き,・物価高の影響もあって、売上は増加傾向にあるものの、来客数は減少している。客の来店頻度が低下している状況にある。,
,,▲,衣料品専門店（経営者）,それ以外,・今年は春の訪れが遅いことから、春物商材が売れていない。原材料価格が高騰しているが、客の節約志向が強まっているため、価格転嫁も思うようにできない。売上は前年並みで推移しているものの、人件費の増加などにより、利益が圧迫されている。,
,,▲,衣料品専門店（エリア担当）,来客数の動き,・米を始め、食料品の価格が高騰していることから、客が衣料品への支出を控えている様子がうかがえる。客単価が上昇していないこともそれを裏付けている。,
,,▲,乗用車販売店（経営者）,販売量の動き,・物価高や貸出金利上昇の影響が顕著に表れている。個人客は消費マインドが低下しており、法人客は様子見している状況がうかがえる。,
,,▲,住関連専門店（役員）,販売量の動き,・３か月前と比較すると、売上の前年比が低下している。特に春物商材の売上が低調なことから、食料品の値上げを要因に客の買い控えが強まっていることがうかがえる。このため、景気はやや悪くなっている。,
,,▲,その他専門店［造花］（店長）,お客様の様子,・３月に開催したイベントの来客数が例年よりも１割ほど減少するなど、来客数の減少傾向が続いている。また、客の様子をみると、必要品のみを購入する客が多い。新商品への関心も薄れている。,
,,▲,高級レストラン（スタッフ）,お客様の様子,・各種値上げの報道ばかりで、景気を上向かせるような報道がないこともあって、停滞感が強まっている。,
,,▲,高級レストラン（スタッフ）,来客数の動き,・観光の閑散期ということもあって、来客数の落ち込みが大きくなっている。,
