Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,お客様の様子,・６月の売上は、2024年比で113.7％、2023年比で135.1％、2022年比で263.7％、2021年比で1857.1％、2020年比で1407.2％、2019年比で145.6％となっている。
,,○,スーパー（店長）,お客様の様子,・トラベル関連やゲームなど、趣味への消費が活発になっていることから、生活に多少の余裕が出てきている様子がうかがえる。
,,○,コンビニ（エリア担当）,販売量の動き,・気温の上昇もあって、アイスや飲料などの暑い日に売れる商材の販売量が増加している。特に、ボーナス支給日とみられる６月15日以降の動きが良くなっている。そのため、景気は３か月前よりも良くなっている。
,,○,衣料品専門店（エリア担当）,来客数の動き,・気温の上昇が続いていることで、夏物商材を買い求める客が増加しており、来客数が前年を上回っている。また、客単価も上昇していることから、景気は良くなっている。
,,○,自動車備品販売店（店長）,販売量の動き,・物価高が続くなか、店舗の売上は前年比120％、前々年比105％となっており、増加傾向にある。サービス部門のほか、洗車用品、車内用品が好調で数字を底上げしている。特に、洗車用品は、外資系メーカーの高単価商材がよく売れている。これらの好調部門は、ぜいたく品と捉えられることから、景気はやや良くなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・当地への入込が、多少増えていることから、景気はやや良くなっている。
,,○,旅行代理店（従業員）,来客数の動き,・国内線も、国際線も前年を上回る利用者数となっていることから、人流が活発になっていることがうかがえる。特に、国内線は、首都圏便の利用者数の増加が目立っている。
,,○,タクシー運転手,販売量の動き,・当地において、全国的なイベントが開催されたことから、６月の売上は多少増加した。ただし、依然として、乗務員不足が続いているため、厳しい状況は変わっていない。
,,○,美容室（経営者）,販売量の動き,・６月の売上は５月よりも５％ほど増えている。５月は４月と同じような売上であったことから、景気はやや良くなっている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・国内のツアー客が減少傾向にあるものの、インバウンドや国内の個人客が増加していることから、輸送量は順調に増えている。
,,□,商店街（代表者）,来客数の動き,・例年であれば、来街者が徐々に増加してくる時期であるものの、今年は日中の午前10時から午後２時にかけての徒歩客は少ないままである。また、区域外でイベントが開催された際も、以前のように区域内に客が流れてくる様子がほとんどみられなくなっている。ホテルに宿泊している観光客やビジネス客も、コンビニの袋を携えてホテルに戻る姿をよく見掛ける。
,,□,商店街（代表者）,来客数の動き,・大阪・関西万博の開催期間中であることから、国内観光客の落ち込みを懸念していたが、今のところ大きな落ち込みはみられない。ただし、まだ油断はできない。一般消費は、物価の上昇、ガソリン価格の高騰、電気料金の負担増などの要因により、節約志向が浸透しており、買い控えが続いている。飲食店は客足が大幅に落ち込んでいる。
,,□,一般小売店［土産］（経営者）,来客数の動き,・ゴールデンウィーク以降、道外からの修学旅行がかなり増えていることから、６月は学生の客が多くみられた。また、年配のグループ客も多くみられた。学生や年配の客は、懐が割と暖かいのか、客単価が高い傾向にある。
,,□,一般小売店［酒］（経営者）,販売量の動き,・依然として一進一退の状況が続いており、先行きが読めなくなっている。
,,□,百貨店（販売促進担当）,来客数の動き,・急激な気温の上昇で、来客数が減少傾向になっている。一方、本格的な夏の到来に合わせて、道内への観光客は増加することになる。全体でみると、プラスマイナスゼロで景気の動向に余り変化はみられない。
,,□,コンビニ（エリア担当）,販売量の動き,・前年からの商品値上げの動きや消費者の買い控え傾向は変わらない。商品が値上げしている分の上乗せがあることで、売上はどうにか前年並みを維持している。
,,□,コンビニ（エリア担当）,来客数の動き,・米の価格高騰もあって、おにぎりや弁当の値上げが続いている。その影響で、販売量が減少傾向にある。
,,□,コンビニ（エリア担当）,単価の動き,・気温が上がっていることで、来客数は増加傾向にある。ただし、全体的な動向は、前年と変わっていない。物価が上昇していることで、売上は増えているが、景気が良くなっているとはいえない。
,,□,乗用車販売店（従業員）,販売量の動き,・当店の販売量については、販売部門もサービス部門も目標を達成している。ただし、全体的にみると、サービス部門の入庫状況が良い一方で、販売部門が苦戦している店舗もみられる。新型車の発売が余りないこともあって、夏枯れがみられ始めている。新車ローンの金利を下げるような動きが出てくれば、販売量が増えてくるとみられる。
,,□,乗用車販売店（従業員）,単価の動き,・依然として、受注できる車両が少ないことから、新車購入客の来店が少ないままである。新車登録も前年並みで推移している。
,,□,住関連専門店（役員）,販売量の動き,・売上の前年比をみると、３か月前と６月で変化がないため、景気は良くも悪くもなっていない。
,,□,その他専門店［造花］（店長）,お客様の様子,・物価高が続いていることから、４月以降、客の買い控え傾向が続いている。
,,□,スナック（経営者）,来客数の動き,・客の人数がほとんど変わっておらず、売上も大きく変わっていない。
,,□,旅行代理店（従業員）,来客数の動き,・個人客の国内旅行はやや減少しているものの、グループ客の団体旅行や個人客の海外旅行はやや増加している。全体的には、横ばいでの推移となっている。
,,□,旅行代理店（従業員）,販売量の動き,・客の動きがやや落ち着いてきている。
,,□,タクシー運転手,来客数の動き,・毎年恒例のイベントが行われたことで、タクシーの利用は前月よりも多少増えている。当社における６月のタクシー１台当たりの売上は、前年比プラス３％であった。また、乗務員の採用に注力したことにより、乗務員が前年比プラス30％と45名増加しており、タクシーの稼働台数も増えている。会社の売上は前年比プラス33％であった。ただし、採用コストが増えているため、利益は前年並みであった。
,,□,タクシー運転手,来客数の動き,・観光客やイベント関係の利用客について、特に変化がみられなかったため、景気は変わっていない。
,,□,住宅販売会社（経営者）,お客様の様子,・物価高が続いているなか、金利も上昇していることから、住宅を建てようという動きが停滞している。個人消費の買い控えも進んでおり、景気はなかなか好転してこない状況にある。
,,□,住宅販売会社（従業員）,来客数の動き,・地価や建築費が高止まりしており、住宅ローンの金利も上昇していることから、消費者の購入マインドが低下している。
,,▲,商店街（代表者）,販売量の動き,・米の価格上昇や止まらない物価高の影響で、商品の買上点数が減っている。
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良いものではない。景気が良くなっているといった話は全く聞こえてこない。
,,▲,一般小売店（経営者）,来客数の動き,・来客数は多少回復してきたものの、購入意欲の低い状況が続いている。
,,▲,百貨店（売場主任）,単価の動き,・来客数は変わらないものの、客単価が低くなっている。
,,▲,スーパー（店長）,お客様の様子,・客から生活が苦しいとの話をよく聞く。
,,▲,スーパー（企画担当）,単価の動き,・来客数は前年並みを維持しているが、客単価が前年を下回っている。消費者物価指数は前年比で３％台の上昇と報道されているが、実態とかい離しすぎている印象がある。
,,▲,スーパー（役員）,お客様の様子,・お中元商戦が始まったが、メロン、魚介類などが値上がりしていることもあって、乾麺や油のセットなどの実用品に需要がシフトしている。客の生活防衛意識の高まりがうかがえる。
,,▲,衣料品専門店（経営者）,お客様の様子,・物価高騰の影響で、引き続き客の節約志向がみられる。
,,▲,衣料品専門店（店長）,単価の動き,・この時期はシャツなどの単価の低い商材がよく売れる傾向にあるが、今年は暑さの割に商材の動きが非常に鈍い。セール品を探している様子の客を見掛けることも増えている。客から、安い商品はないかと問いかけられることも多く、価格にシビアな環境が戻ってきている。
,,▲,乗用車販売店（経営者）,販売量の動き,・多数の商材のモデル変更を控え、販売中の車の商品力が低下している。また、メーカーのネガティブイメージが強まっていることもあって、来客数が大幅に減少している。
,,▲,乗用車販売店（従業員）,販売量の動き,・４月以降、新車の受注量が低調なまま推移している。中古車販売は、前月よりも落ち込んでいる。来客数も６月は少なかった。
