Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,・ツアーを含めて予約が増加していることから、今後の景気は良くなる。インバウンドの個人利用が増加することも期待できる。
,,○,商店街（代表者）,・今後については、当地の祭り期間に入るため、帰省客及び観光客が増加し、一部の業種を除いて売上を伸ばすと期待できる。
,,○,一般小売店［土産］（経営者）,・雪解けが進み、日々春めいてきていることから、これから観光客にとっては良い季節を迎えることになる。売上は前月と大きく変わっていないものの、客の表情から景気が少しずつ良くなっていることもうかがえる。このため、今後の景気はやや良くなると期待している。ただし、大阪・関西万博の影響で、国内観光客も外国人観光客も前月と比べて入込が減っていることは気掛かりである。
,,○,百貨店（売場主任）,・今年の４月は例年ほど気温が上がらなかったことから、春物の動きが悪かった。その分、５月以降の販売量が増えると見込まれる。ただし、インバウンドによる買物は今後も回復しないことが懸念される。
,,○,家電量販店（経営者）,・エアコンを始めとした季節商材の販売が好調に推移すると見込まれる。
,,○,家電量販店（店員）,・夏物商材の売行きが良くなってきた。長期予報によると、今年の夏も気温が高くなると見込まれているため、エアコンの販売量が伸びることも期待できる。ただし、その他の商品の売行きが良くないことは気掛かりである。
,,○,観光型ホテル（スタッフ）,・販売単価が引き続き好調なことに加えて、国内客もインバウンドも堅調な来客が見込めることから、今後の景気はやや良くなる。
,,○,旅行代理店（従業員）,・１月に過去最高の国際線利用者数を記録した空港をゲートウェイとした北海道へのインバウンドの勢いは、夏季観光シーズンも継続すると期待できる。また、半導体工場の稼働に伴って新たなビジネス需要が喚起されることも期待できる。
,,○,通信会社（企画担当）,・当社の料金プランやサービスについて、メディアを通じた徹底周知や宣伝を行うことで、現状からの改善につながると期待している。
,,□,商店街（代表者）,・国民の可処分所得が増えて、使える金が増えない限り、景気はどんどん冷え込んでいくことになる。
,,□,一般小売店［酒］（経営者）,・例年であれば５月から繁忙期に入るが、最近の基調は良いとはいえないため、しばらくは景気の余り良くない状況が続くことになる。
,,□,百貨店（販売促進担当）,・インバウンドによる消費が好調なものの、地元客による消費が力強さに欠ける。こうした状況はしばらく続くと見込まれることから、景気回復はまだ先のことになる。
,,□,スーパー（店長）,・今後については、ガソリン価格が低下することで、より広域からの集客が見込めるようになる。一方、物価が上がり続けていることから、劇的に景気が良くなることは考えにくい。
,,□,コンビニ（エリア担当）,・主食の米の価格が高止まりしていることから、今後も景気は変わらない。夏以降、前年のように米が不足した場合に、客の動きがどうなるかが不安である。
,,□,コンビニ（エリア担当）,・景気が上向く要素が見当たらない。米国の関税の動きも不透明なことから、先行きが不安である。
,,□,コンビニ（店長）,・物価高が影響して、客の買上点数が増えてこない状況にあるため、今後も景気は変わらない。
,,□,衣料品専門店（経営者）,・物価高騰による客の節約志向の強まり、原価の高騰や人件費の増加によるコスト増など、当社にとって厳しい経営環境が続いている。商品開発や営業努力でこれ以上の影響が出ないようにどうにか耐えている状況であることから、今後も景気は変わらない。
,,□,乗用車販売店（経営者）,・様々な物の価格が高止まりしていることに加えて、国内外の動きが不安定なことから、今後も景気は変わらないまま推移する。
,,□,乗用車販売店（従業員）,・車両登録台数が大きく増えるような見込みがなく、新型車が出ても当社への割当て台数が決まっていることから、景気が上向くような要因が見当たらない。今後も同じような状態が続くことになる。
,,□,乗用車販売店（従業員）,・今後、メーカーではほとんどの車種で価格改定を予定している。現在、受注がストップしている車種が受注を再開したとしても、新車の受注はかなり厳しい状況になるとみられる。
